epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684574331099,2023-05-20T11:18:51.099,0.000,176.730,-86.621,359.978,359.978
1684574331109,2023-05-20T11:18:51.109,0.010,176.730,-86.621,359.970,359.970
1684574331119,2023-05-20T11:18:51.119,0.020,176.740,-86.630,359.960,359.960
1684574331129,2023-05-20T11:18:51.129,0.030,176.754,-86.644,359.946,359.946
1684574331139,2023-05-20T11:18:51.139,0.040,176.768,-86.657,359.932,359.932
1684574331149,2023-05-20T11:18:51.149,0.050,176.782,-86.671,359.918,359.918
1684574331159,2023-05-20T11:18:51.159,0.060,176.798,-86.687,359.902,359.902
1684574331169,2023-05-20T11:18:51.169,0.070,176.815,-86.704,359.891,359.891
1684574331179,2023-05-20T11:18:51.179,0.080,176.832,-86.720,359.888,359.888
1684574331189,2023-05-20T11:18:51.189,0.090,176.849,-86.738,359.888,359.888
1684574331199,2023-05-20T11:18:51.199,0.100,176.870,-86.759,359.886,359.886
1684574331209,2023-05-20T11:18:51.209,0.110,176.892,-86.781,359.885,359.885
1684574331219,2023-05-20T11:18:51.219,0.120,176.914,-86.803,359.883,359.883
1684574331229,2023-05-20T11:18:51.229,0.130,176.937,-86.825,359.876,359.876
1684574331239,2023-05-20T11:18:51.239,0.140,176.957,-86.845,359.865,359.865
1684574331249,2023-05-20T11:18:51.249,0.150,176.975,-86.863,359.847,359.847
1684574331259,2023-05-20T11:18:51.259,0.160,176.995,-86.881,359.836,359.836
1684574331269,2023-05-20T11:18:51.269,0.170,177.012,-86.896,359.831,359.831
1684574331279,2023-05-20T11:18:51.279,0.180,177.032,-86.916,359.824,359.824
1684574331289,2023-05-20T11:18:51.289,0.190,177.056,-86.939,359.815,359.815
1684574331299,2023-05-20T11:18:51.299,0.200,177.080,-86.963,359.805,359.805
1684574331309,2023-05-20T11:18:51.309,0.210,177.103,-86.985,359.796,359.796
1684574331319,2023-05-20T11:18:51.319,0.220,177.124,-87.006,359.785,359.785
1684574331329,2023-05-20T11:18:51.329,0.230,177.145,-87.024,359.774,359.774
1684574331339,2023-05-20T11:18:51.339,0.240,177.167,-87.043,359.762,359.762
1684574331349,2023-05-20T11:18:51.349,0.250,177.189,-87.062,359.753,359.753
1684574331359,2023-05-20T11:18:51.359,0.260,177.210,-87.079,359.748,359.748
1684574331369,2023-05-20T11:18:51.369,0.270,177.232,-87.097,359.744,359.744
1684574331379,2023-05-20T11:18:51.379,0.280,177.254,-87.118,359.742,359.742
1684574331389,2023-05-20T11:18:51.389,0.290,177.275,-87.139,359.743,359.743
1684574331399,2023-05-20T11:18:51.399,0.300,177.296,-87.157,359.741,359.741
1684574331409,2023-05-20T11:18:51.409,0.310,177.320,-87.176,359.733,359.733
1684574331419,2023-05-20T11:18:51.419,0.320,177.343,-87.195,359.721,359.721
1684574331429,2023-05-20T11:18:51.429,0.330,177.364,-87.213,359.709,359.709
1684574331439,2023-05-20T11:18:51.439,0.340,177.385,-87.230,359.697,359.697
1684574331449,2023-05-20T11:18:51.449,0.350,177.405,-87.246,359.688,359.688
1684574331459,2023-05-20T11:18:51.459,0.360,177.424,-87.262,359.679,359.679
1684574331469,2023-05-20T11:18:51.469,0.370,177.443,-87.276,359.671,359.671
1684574331479,2023-05-20T11:18:51.479,0.380,177.462,-87.290,359.659,359.659
1684574331489,2023-05-20T11:18:51.489,0.390,177.480,-87.305,359.641,359.641
1684574331499,2023-05-20T11:18:51.499,0.400,177.502,-87.321,359.614,359.614
1684574331509,2023-05-20T11:18:51.509,0.410,177.524,-87.339,359.580,359.580
1684574331519,2023-05-20T11:18:51.519,0.420,177.545,-87.356,359.548,359.548
1684574331529,2023-05-20T11:18:51.529,0.430,177.564,-87.372,359.512,359.512
1684574331539,2023-05-20T11:18:51.539,0.440,177.585,-87.388,359.474,359.474
1684574331549,2023-05-20T11:18:51.549,0.450,177.607,-87.404,359.431,359.431
1684574331559,2023-05-20T11:18:51.559,0.460,177.628,-87.418,359.388,359.388
1684574331569,2023-05-20T11:18:51.569,0.470,177.648,-87.432,359.349,359.349
1684574331579,2023-05-20T11:18:51.579,0.480,177.666,-87.445,359.311,359.311
1684574331589,2023-05-20T11:18:51.589,0.490,177.682,-87.459,359.279,359.279
1684574331599,2023-05-20T11:18:51.599,0.500,177.697,-87.470,359.252,359.252
1684574331609,2023-05-20T11:18:51.609,0.510,177.714,-87.486,359.228,359.228
1684574331619,2023-05-20T11:18:51.619,0.520,177.731,-87.501,359.211,359.211
1684574331629,2023-05-20T11:18:51.629,0.530,177.746,-87.515,359.196,359.196
1684574331639,2023-05-20T11:18:51.639,0.540,177.763,-87.531,359.179,359.179
1684574331649,2023-05-20T11:18:51.649,0.550,177.781,-87.547,359.154,359.154
1684574331659,2023-05-20T11:18:51.659,0.560,177.800,-87.564,359.126,359.126
1684574331669,2023-05-20T11:18:51.669,0.570,177.818,-87.580,359.094,359.094
1684574331679,2023-05-20T11:18:51.679,0.580,177.835,-87.596,359.063,359.063
1684574331689,2023-05-20T11:18:51.689,0.590,177.851,-87.610,359.037,359.037
1684574331699,2023-05-20T11:18:51.699,0.600,177.865,-87.623,359.016,359.016
1684574331709,2023-05-20T11:18:51.709,0.610,177.880,-87.635,359.002,359.002
1684574331719,2023-05-20T11:18:51.719,0.620,177.894,-87.648,358.987,358.987
1684574331729,2023-05-20T11:18:51.729,0.630,177.909,-87.661,358.965,358.965
1684574331739,2023-05-20T11:18:51.739,0.640,177.923,-87.673,358.941,358.941
1684574331749,2023-05-20T11:18:51.749,0.650,177.933,-87.682,358.915,358.915
1684574331759,2023-05-20T11:18:51.759,0.660,177.942,-87.689,358.888,358.888
1684574331769,2023-05-20T11:18:51.769,0.670,177.949,-87.695,358.864,358.864
1684574331779,2023-05-20T11:18:51.779,0.680,177.955,-87.700,358.847,358.847
1684574331789,2023-05-20T11:18:51.789,0.690,177.961,-87.705,358.834,358.834
1684574331799,2023-05-20T11:18:51.799,0.700,177.968,-87.712,358.821,358.821
1684574331809,2023-05-20T11:18:51.809,0.710,177.976,-87.718,358.805,358.805
1684574331819,2023-05-20T11:18:51.819,0.720,177.976,-87.719,358.795,358.795
1684574331829,2023-05-20T11:18:51.829,0.730,177.976,-87.719,358.787,358.787
1684574331839,2023-05-20T11:18:51.839,0.740,177.977,-87.719,358.781,358.781
1684574331849,2023-05-20T11:18:51.849,0.750,177.983,-87.725,358.768,358.768
1684574331859,2023-05-20T11:18:51.859,0.760,177.992,-87.732,358.760,358.760
1684574331869,2023-05-20T11:18:51.869,0.770,177.994,-87.735,358.758,358.758
1684574331879,2023-05-20T11:18:51.879,0.780,177.997,-87.738,358.747,358.747
1684574331889,2023-05-20T11:18:51.889,0.790,178.001,-87.742,358.733,358.733
1684574331899,2023-05-20T11:18:51.899,0.800,178.004,-87.746,358.723,358.723
1684574331909,2023-05-20T11:18:51.909,0.810,178.007,-87.749,358.714,358.714
1684574331919,2023-05-20T11:18:51.919,0.820,178.010,-87.752,358.711,358.711
1684574331929,2023-05-20T11:18:51.929,0.830,178.012,-87.754,358.710,358.710
1684574331939,2023-05-20T11:18:51.939,0.840,178.014,-87.756,358.714,358.714
1684574331949,2023-05-20T11:18:51.949,0.850,178.016,-87.759,358.719,358.719
1684574331959,2023-05-20T11:18:51.959,0.860,178.019,-87.763,358.725,358.725
1684574331969,2023-05-20T11:18:51.969,0.870,178.022,-87.766,358.730,358.730
1684574331979,2023-05-20T11:18:51.979,0.880,178.023,-87.769,358.736,358.736
1684574331989,2023-05-20T11:18:51.989,0.890,178.024,-87.771,358.744,358.744
1684574331999,2023-05-20T11:18:51.999,0.900,178.024,-87.771,358.757,358.757
1684574332009,2023-05-20T11:18:52.009,0.910,178.024,-87.772,358.774,358.774
1684574332019,2023-05-20T11:18:52.019,0.920,178.023,-87.772,358.790,358.790
1684574332029,2023-05-20T11:18:52.029,0.930,178.023,-87.772,358.806,358.806
1684574332039,2023-05-20T11:18:52.039,0.940,178.023,-87.773,358.820,358.820
1684574332049,2023-05-20T11:18:52.049,0.950,178.023,-87.774,358.829,358.829
1684574332059,2023-05-20T11:18:52.059,0.960,178.024,-87.777,358.834,358.834
1684574332069,2023-05-20T11:18:52.069,0.970,178.024,-87.779,358.840,358.840
1684574332079,2023-05-20T11:18:52.079,0.980,178.024,-87.780,358.849,358.849
1684574332089,2023-05-20T11:18:52.089,0.990,178.023,-87.780,358.861,358.861
1684574332099,2023-05-20T11:18:52.099,1.000,178.021,-87.780,358.872,358.872
1684574332109,2023-05-20T11:18:52.109,1.010,178.026,-87.785,358.877,358.877
1684574332119,2023-05-20T11:18:52.119,1.020,178.029,-87.789,358.886,358.886
1684574332129,2023-05-20T11:18:52.129,1.030,178.033,-87.794,358.894,358.894
1684574332139,2023-05-20T11:18:52.139,1.040,178.038,-87.800,358.899,358.899
1684574332149,2023-05-20T11:18:52.149,1.050,178.045,-87.807,358.904,358.904
1684574332159,2023-05-20T11:18:52.159,1.060,178.052,-87.811,358.909,358.909
1684574332169,2023-05-20T11:18:52.169,1.070,178.060,-87.817,358.912,358.912
1684574332179,2023-05-20T11:18:52.179,1.080,178.069,-87.824,358.914,358.914
1684574332189,2023-05-20T11:18:52.189,1.090,178.079,-87.833,358.914,358.914
1684574332199,2023-05-20T11:18:52.199,1.100,178.091,-87.845,358.914,358.914
1684574332209,2023-05-20T11:18:52.209,1.110,178.105,-87.860,358.912,358.912
1684574332219,2023-05-20T11:18:52.219,1.120,178.123,-87.878,358.909,358.909
1684574332229,2023-05-20T11:18:52.229,1.130,178.144,-87.900,358.903,358.903
1684574332239,2023-05-20T11:18:52.239,1.140,178.166,-87.923,358.890,358.890
1684574332249,2023-05-20T11:18:52.249,1.150,178.186,-87.943,358.870,358.870
1684574332259,2023-05-20T11:18:52.259,1.160,178.202,-87.956,358.854,358.854
1684574332269,2023-05-20T11:18:52.269,1.170,178.211,-87.962,358.846,358.846
1684574332279,2023-05-20T11:18:52.279,1.180,178.218,-87.965,358.846,358.846
1684574332289,2023-05-20T11:18:52.289,1.190,178.224,-87.967,358.854,358.854
1684574332299,2023-05-20T11:18:52.299,1.200,178.221,-87.958,358.877,358.877
1684574332309,2023-05-20T11:18:52.309,1.210,178.223,-87.953,358.897,358.897
1684574332319,2023-05-20T11:18:52.319,1.220,178.217,-87.942,358.927,358.927
1684574332329,2023-05-20T11:18:52.329,1.230,178.217,-87.936,358.954,358.954
1684574332339,2023-05-20T11:18:52.339,1.240,178.221,-87.933,358.979,358.979
1684574332349,2023-05-20T11:18:52.349,1.250,178.224,-87.930,359.001,359.001
1684574332359,2023-05-20T11:18:52.359,1.260,178.228,-87.928,359.019,359.019
1684574332369,2023-05-20T11:18:52.369,1.270,178.232,-87.926,359.033,359.033
1684574332379,2023-05-20T11:18:52.379,1.280,178.236,-87.923,359.046,359.046
1684574332389,2023-05-20T11:18:52.389,1.290,178.240,-87.918,359.065,359.065
1684574332399,2023-05-20T11:18:52.399,1.300,178.246,-87.913,359.089,359.089
1684574332409,2023-05-20T11:18:52.409,1.310,178.254,-87.912,359.114,359.114
1684574332419,2023-05-20T11:18:52.419,1.320,178.264,-87.912,359.136,359.136
1684574332429,2023-05-20T11:18:52.429,1.330,178.273,-87.910,359.156,359.156
