epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684580592731,2023-05-20T13:03:12.731,0.000,0.442,2.309,0.732
1684580592741,2023-05-20T13:03:12.741,0.010,0.145,3.796,4.093
1684580592751,2023-05-20T13:03:12.751,0.020,0.191,2.142,1.494
1684580592761,2023-05-20T13:03:12.761,0.030,0.869,2.096,1.364
1684580592771,2023-05-20T13:03:12.771,0.040,1.143,2.066,1.380
1684580592781,2023-05-20T13:03:12.781,0.050,0.808,2.195,1.258
1684580592791,2023-05-20T13:03:12.791,0.060,0.663,2.736,1.387
1684580592801,2023-05-20T13:03:12.801,0.070,1.128,3.095,1.502
1684580592811,2023-05-20T13:03:12.811,0.080,2.256,3.346,1.852
1684580592821,2023-05-20T13:03:12.821,0.090,3.285,3.498,2.081
1684580592831,2023-05-20T13:03:12.831,0.100,4.070,3.628,2.073
1684580592841,2023-05-20T13:03:12.841,0.110,4.489,3.811,1.921
1684580592851,2023-05-20T13:03:12.851,0.120,4.588,4.047,1.898
1684580592861,2023-05-20T13:03:12.861,0.130,4.977,4.207,2.012
1684580592871,2023-05-20T13:03:12.871,0.140,5.282,4.604,2.119
1684580592881,2023-05-20T13:03:12.881,0.150,5.091,5.091,1.913
1684580592891,2023-05-20T13:03:12.891,0.160,5.008,5.396,1.654
1684580592901,2023-05-20T13:03:12.901,0.170,4.954,5.511,1.547
1684580592911,2023-05-20T13:03:12.911,0.180,4.680,5.709,1.418
1684580592921,2023-05-20T13:03:12.921,0.190,4.268,5.854,1.372
1684580592931,2023-05-20T13:03:12.931,0.200,3.887,5.998,1.418
1684580592941,2023-05-20T13:03:12.941,0.210,3.224,6.258,1.540
1684580592951,2023-05-20T13:03:12.951,0.220,2.485,6.791,1.814
1684580592961,2023-05-20T13:03:12.961,0.230,1.486,7.271,1.997
1684580592971,2023-05-20T13:03:12.971,0.240,-0.282,7.492,1.989
1684580592981,2023-05-20T13:03:12.981,0.250,-2.927,7.713,1.852
1684580592991,2023-05-20T13:03:12.991,0.260,-5.671,8.209,1.875
1684580593001,2023-05-20T13:03:13.001,0.270,-7.790,8.902,2.073
1684580593011,2023-05-20T13:03:13.011,0.280,-9.101,9.291,2.088
1684580593021,2023-05-20T13:03:13.021,0.290,-10.328,9.352,1.905
1684580593031,2023-05-20T13:03:13.031,0.300,-11.181,9.139,1.547
1684580593041,2023-05-20T13:03:13.041,0.310,-10.938,8.354,1.540
1684580593051,2023-05-20T13:03:13.051,0.320,-10.084,7.942,1.913
1684580593061,2023-05-20T13:03:13.061,0.330,-9.253,7.500,2.127
1684580593071,2023-05-20T13:03:13.071,0.340,-9.268,6.715,2.142
1684580593081,2023-05-20T13:03:13.081,0.350,-10.229,6.166,2.294
1684580593091,2023-05-20T13:03:13.091,0.360,-11.387,6.303,2.462
1684580593101,2023-05-20T13:03:13.101,0.370,-12.264,6.524,2.485
1684580593111,2023-05-20T13:03:13.111,0.380,-12.309,6.509,2.652
1684580593121,2023-05-20T13:03:13.121,0.390,-11.349,6.585,3.049
1684580593131,2023-05-20T13:03:13.131,0.400,-10.450,6.745,3.308
1684580593141,2023-05-20T13:03:13.141,0.410,-9.680,6.471,3.552
1684580593151,2023-05-20T13:03:13.151,0.420,-9.055,6.159,3.674
1684580593161,2023-05-20T13:03:13.161,0.430,-8.056,5.610,3.796
1684580593171,2023-05-20T13:03:13.171,0.440,-6.319,5.236,4.032
1684580593181,2023-05-20T13:03:13.181,0.450,-3.796,4.931,4.253
1684580593191,2023-05-20T13:03:13.191,0.460,-1.616,4.619,4.497
1684580593201,2023-05-20T13:03:13.201,0.470,-0.526,4.063,4.627
1684580593211,2023-05-20T13:03:13.211,0.480,0.030,3.674,4.588
1684580593221,2023-05-20T13:03:13.221,0.490,0.366,3.178,4.505
1684580593231,2023-05-20T13:03:13.231,0.500,0.922,2.630,4.505
1684580593241,2023-05-20T13:03:13.241,0.510,1.791,2.248,4.200
1684580593251,2023-05-20T13:03:13.251,0.520,2.515,2.119,3.963
1684580593261,2023-05-20T13:03:13.261,0.530,2.706,1.905,3.956
1684580593271,2023-05-20T13:03:13.271,0.540,2.218,1.662,3.986
1684580593281,2023-05-20T13:03:13.281,0.550,1.784,1.875,4.002
1684580593291,2023-05-20T13:03:13.291,0.560,1.928,2.157,3.819
1684580593301,2023-05-20T13:03:13.301,0.570,1.761,1.776,3.392
1684580593311,2023-05-20T13:03:13.311,0.580,0.617,1.235,3.277
1684580593321,2023-05-20T13:03:13.321,0.590,-0.808,1.189,3.224
1684580593331,2023-05-20T13:03:13.331,0.600,-1.898,1.364,3.034
1684580593341,2023-05-20T13:03:13.341,0.610,-3.216,1.677,2.858
1684580593351,2023-05-20T13:03:13.351,0.620,-4.672,2.088,2.957
1684580593361,2023-05-20T13:03:13.361,0.630,-6.082,2.508,3.064
1684580593371,2023-05-20T13:03:13.371,0.640,-7.012,2.752,3.087
1684580593381,2023-05-20T13:03:13.381,0.650,-7.287,2.973,3.079
1684580593391,2023-05-20T13:03:13.391,0.660,-7.607,3.049,2.988
1684580593401,2023-05-20T13:03:13.401,0.670,-7.995,2.942,2.774
1684580593411,2023-05-20T13:03:13.411,0.680,-8.422,2.675,2.530
1684580593421,2023-05-20T13:03:13.421,0.690,-8.491,2.081,2.508
1684580593431,2023-05-20T13:03:13.431,0.700,-8.262,1.684,2.553
1684580593441,2023-05-20T13:03:13.441,0.710,-7.858,1.357,2.370
1684580593451,2023-05-20T13:03:13.451,0.720,-7.073,1.296,2.127
1684580593461,2023-05-20T13:03:13.461,0.730,-5.991,1.067,2.127
1684580593471,2023-05-20T13:03:13.471,0.740,-4.459,0.808,2.370
1684580593481,2023-05-20T13:03:13.481,0.750,-2.530,0.945,2.523
1684580593491,2023-05-20T13:03:13.491,0.760,-0.960,1.151,2.508
1684580593501,2023-05-20T13:03:13.501,0.770,-0.099,1.387,2.508
1684580593511,2023-05-20T13:03:13.511,0.780,0.610,1.425,2.591
1684580593521,2023-05-20T13:03:13.521,0.790,1.402,0.998,2.706
1684580593531,2023-05-20T13:03:13.531,0.800,1.700,0.739,2.591
1684580593541,2023-05-20T13:03:13.541,0.810,1.944,0.678,2.218
1684580593551,2023-05-20T13:03:13.551,0.820,2.066,0.648,1.974
1684580593561,2023-05-20T13:03:13.561,0.830,1.646,0.389,1.982
1684580593571,2023-05-20T13:03:13.571,0.840,0.991,0.282,2.081
1684580593581,2023-05-20T13:03:13.581,0.850,0.777,0.046,2.218
1684580593591,2023-05-20T13:03:13.591,0.860,0.450,0.053,2.271
1684580593601,2023-05-20T13:03:13.601,0.870,-0.457,0.229,2.317
1684580593611,2023-05-20T13:03:13.611,0.880,-1.608,0.373,2.287
1684580593621,2023-05-20T13:03:13.621,0.890,-2.652,0.366,2.302
1684580593631,2023-05-20T13:03:13.631,0.900,-2.988,0.694,2.370
1684580593641,2023-05-20T13:03:13.641,0.910,-2.668,0.915,2.256
1684580593651,2023-05-20T13:03:13.651,0.920,-2.035,0.831,2.256
1684580593661,2023-05-20T13:03:13.661,0.930,-1.517,0.617,2.172
1684580593671,2023-05-20T13:03:13.671,0.940,-0.938,0.572,1.966
1684580593681,2023-05-20T13:03:13.681,0.950,-0.495,0.412,1.677
