epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684581523137,2023-05-20T13:18:43.137,0.000,-1.059,0.381,0.305
1684581523147,2023-05-20T13:18:43.147,0.010,-0.610,1.288,2.104
1684581523157,2023-05-20T13:18:43.157,0.020,-0.495,0.595,0.800
1684581523167,2023-05-20T13:18:43.167,0.030,-0.511,0.419,0.892
1684581523177,2023-05-20T13:18:43.177,0.040,-0.442,0.564,1.029
1684581523187,2023-05-20T13:18:43.187,0.050,-0.152,0.518,1.037
1684581523197,2023-05-20T13:18:43.197,0.060,0.267,0.267,1.044
1684581523207,2023-05-20T13:18:43.207,0.070,0.137,-0.030,0.991
1684581523217,2023-05-20T13:18:43.217,0.080,-0.046,-0.023,0.922
1684581523227,2023-05-20T13:18:43.227,0.090,-0.122,-0.061,0.762
1684581523237,2023-05-20T13:18:43.237,0.100,-0.198,-0.259,0.602
1684581523247,2023-05-20T13:18:43.247,0.110,-0.899,-0.701,0.549
1684581523257,2023-05-20T13:18:43.257,0.120,-2.416,-0.922,0.236
1684581523267,2023-05-20T13:18:43.267,0.130,-3.338,-0.892,-0.015
1684581523277,2023-05-20T13:18:43.277,0.140,-4.101,-0.747,-0.053
1684581523287,2023-05-20T13:18:43.287,0.150,-4.741,-0.701,-0.084
1684581523297,2023-05-20T13:18:43.297,0.160,-5.175,-0.541,0.008
1684581523307,2023-05-20T13:18:43.307,0.170,-5.122,-0.313,0.473
1684581523317,2023-05-20T13:18:43.317,0.180,-4.748,-0.358,0.640
1684581523327,2023-05-20T13:18:43.327,0.190,-4.345,-0.427,0.450
1684581523337,2023-05-20T13:18:43.337,0.200,-4.444,-0.816,0.229
1684581523347,2023-05-20T13:18:43.347,0.210,-5.046,-1.120,0.152
1684581523357,2023-05-20T13:18:43.357,0.220,-4.878,-0.922,0.244
1684581523367,2023-05-20T13:18:43.367,0.230,-4.459,-0.473,0.381
1684581523377,2023-05-20T13:18:43.377,0.240,-3.567,-0.236,0.404
1684581523387,2023-05-20T13:18:43.387,0.250,-2.462,-0.206,0.381
1684581523397,2023-05-20T13:18:43.397,0.260,-1.852,-0.297,0.191
1684581523407,2023-05-20T13:18:43.407,0.270,-2.012,-0.595,0.122
1684581523417,2023-05-20T13:18:43.417,0.280,-2.813,-0.678,-0.076
1684581523427,2023-05-20T13:18:43.427,0.290,-3.712,-0.793,-0.183
1684581523437,2023-05-20T13:18:43.437,0.300,-4.230,-0.701,-0.099
1684581523447,2023-05-20T13:18:43.447,0.310,-4.657,-0.579,0.145
1684581523457,2023-05-20T13:18:43.457,0.320,-4.527,-0.488,0.259
1684581523467,2023-05-20T13:18:43.467,0.330,-4.398,-0.602,0.145
1684581523477,2023-05-20T13:18:43.477,0.340,-3.826,-0.480,0.526
1684581523487,2023-05-20T13:18:43.487,0.350,-3.285,-0.297,0.976
1684581523497,2023-05-20T13:18:43.497,0.360,-2.066,-0.229,1.380
1684581523507,2023-05-20T13:18:43.507,0.370,-0.739,-0.023,1.623
1684581523517,2023-05-20T13:18:43.517,0.380,0.404,0.229,1.715
1684581523527,2023-05-20T13:18:43.527,0.390,1.029,0.373,1.883
1684581523537,2023-05-20T13:18:43.537,0.400,1.570,0.549,2.127
1684581523547,2023-05-20T13:18:43.547,0.410,2.759,0.579,2.241
1684581523557,2023-05-20T13:18:43.557,0.420,2.881,0.434,2.348
1684581523567,2023-05-20T13:18:43.567,0.430,2.348,0.297,2.279
1684581523577,2023-05-20T13:18:43.577,0.440,2.149,0.625,2.127
1684581523587,2023-05-20T13:18:43.587,0.450,1.944,1.174,2.096
1684581523597,2023-05-20T13:18:43.597,0.460,1.258,1.120,2.142
1684581523607,2023-05-20T13:18:43.607,0.470,1.021,1.044,2.127
1684581523617,2023-05-20T13:18:43.617,0.480,0.930,0.983,2.180
1684581523627,2023-05-20T13:18:43.627,0.490,0.541,1.037,2.409
1684581523637,2023-05-20T13:18:43.637,0.500,0.396,1.159,2.530
1684581523647,2023-05-20T13:18:43.647,0.510,0.709,1.113,2.500
1684581523657,2023-05-20T13:18:43.657,0.520,0.816,1.098,2.500
1684581523667,2023-05-20T13:18:43.667,0.530,1.120,1.288,2.523
1684581523677,2023-05-20T13:18:43.677,0.540,1.425,1.509,2.637
1684581523687,2023-05-20T13:18:43.687,0.550,1.616,1.502,2.744
1684581523697,2023-05-20T13:18:43.697,0.560,2.226,1.745,2.691
1684581523707,2023-05-20T13:18:43.707,0.570,2.797,1.692,2.576
1684581523717,2023-05-20T13:18:43.717,0.580,3.095,1.410,2.607
1684581523727,2023-05-20T13:18:43.727,0.590,3.125,1.174,2.538
1684581523737,2023-05-20T13:18:43.737,0.600,3.064,1.136,2.378
1684581523747,2023-05-20T13:18:43.747,0.610,2.736,1.059,2.172
1684581523757,2023-05-20T13:18:43.757,0.620,2.210,1.044,1.860
1684581523767,2023-05-20T13:18:43.767,0.630,1.486,0.732,1.540
1684581523777,2023-05-20T13:18:43.777,0.640,0.595,0.320,1.280
1684581523787,2023-05-20T13:18:43.787,0.650,0.152,0.168,1.159
1684581523797,2023-05-20T13:18:43.797,0.660,0.076,0.274,1.151
1684581523807,2023-05-20T13:18:43.807,0.670,-0.107,0.282,1.044
1684581523817,2023-05-20T13:18:43.817,0.680,-0.236,0.030,0.960
1684581523827,2023-05-20T13:18:43.827,0.690,0.000,-0.130,0.960
1684581523837,2023-05-20T13:18:43.837,0.700,0.633,0.152,1.296
1684581523847,2023-05-20T13:18:43.847,0.710,1.303,0.274,1.540
1684581523857,2023-05-20T13:18:43.857,0.720,1.707,0.267,1.547
1684581523867,2023-05-20T13:18:43.867,0.730,2.294,0.465,1.502
1684581523877,2023-05-20T13:18:43.877,0.740,2.569,0.739,1.738
1684581523887,2023-05-20T13:18:43.887,0.750,2.614,0.823,1.822
1684581523897,2023-05-20T13:18:43.897,0.760,2.561,0.785,1.677
1684581523907,2023-05-20T13:18:43.907,0.770,2.439,0.808,1.585
1684581523917,2023-05-20T13:18:43.917,0.780,2.073,0.945,1.677
