epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1684581639392,2023-05-20T13:20:39.392,0.000,-0.903,-0.279,-0.173
1684581639402,2023-05-20T13:20:39.402,0.010,-0.911,-0.279,-0.175
1684581639412,2023-05-20T13:20:39.412,0.020,-0.911,-0.281,-0.174
1684581639422,2023-05-20T13:20:39.422,0.030,-0.915,-0.282,-0.178
1684581639432,2023-05-20T13:20:39.432,0.040,-0.914,-0.281,-0.180
1684581639442,2023-05-20T13:20:39.442,0.050,-0.912,-0.281,-0.180
1684581639452,2023-05-20T13:20:39.452,0.060,-0.912,-0.278,-0.178
1684581639462,2023-05-20T13:20:39.462,0.070,-0.912,-0.273,-0.178
1684581639472,2023-05-20T13:20:39.472,0.080,-0.914,-0.269,-0.177
1684581639482,2023-05-20T13:20:39.482,0.090,-0.915,-0.266,-0.179
1684581639492,2023-05-20T13:20:39.492,0.100,-0.911,-0.261,-0.184
1684581639502,2023-05-20T13:20:39.502,0.110,-0.908,-0.259,-0.182
1684581639512,2023-05-20T13:20:39.512,0.120,-0.912,-0.260,-0.181
1684581639522,2023-05-20T13:20:39.522,0.130,-0.915,-0.264,-0.180
1684581639532,2023-05-20T13:20:39.532,0.140,-0.912,-0.265,-0.182
1684581639542,2023-05-20T13:20:39.542,0.150,-0.908,-0.269,-0.179
1684581639552,2023-05-20T13:20:39.552,0.160,-0.909,-0.276,-0.177
1684581639562,2023-05-20T13:20:39.562,0.170,-0.911,-0.277,-0.174
1684581639572,2023-05-20T13:20:39.572,0.180,-0.913,-0.283,-0.175
1684581639582,2023-05-20T13:20:39.582,0.190,-0.915,-0.292,-0.176
1684581639592,2023-05-20T13:20:39.592,0.200,-0.914,-0.300,-0.177
1684581639602,2023-05-20T13:20:39.602,0.210,-0.905,-0.301,-0.177
1684581639612,2023-05-20T13:20:39.612,0.220,-0.899,-0.296,-0.178
1684581639622,2023-05-20T13:20:39.622,0.230,-0.901,-0.293,-0.182
1684581639632,2023-05-20T13:20:39.632,0.240,-0.906,-0.292,-0.182
1684581639642,2023-05-20T13:20:39.642,0.250,-0.906,-0.291,-0.182
1684581639652,2023-05-20T13:20:39.652,0.260,-0.907,-0.295,-0.177
1684581639662,2023-05-20T13:20:39.662,0.270,-0.909,-0.300,-0.176
1684581639672,2023-05-20T13:20:39.672,0.280,-0.910,-0.298,-0.176
1684581639682,2023-05-20T13:20:39.682,0.290,-0.907,-0.296,-0.177
1684581639692,2023-05-20T13:20:39.692,0.300,-0.904,-0.291,-0.178
1684581639702,2023-05-20T13:20:39.702,0.310,-0.900,-0.289,-0.175
1684581639712,2023-05-20T13:20:39.712,0.320,-0.904,-0.291,-0.173
1684581639722,2023-05-20T13:20:39.722,0.330,-0.909,-0.294,-0.176
1684581639732,2023-05-20T13:20:39.732,0.340,-0.913,-0.297,-0.177
1684581639742,2023-05-20T13:20:39.742,0.350,-0.910,-0.302,-0.177
1684581639752,2023-05-20T13:20:39.752,0.360,-0.906,-0.306,-0.176
1684581639762,2023-05-20T13:20:39.762,0.370,-0.907,-0.303,-0.177
1684581639772,2023-05-20T13:20:39.772,0.380,-0.908,-0.295,-0.178
1684581639782,2023-05-20T13:20:39.782,0.390,-0.906,-0.290,-0.176
1684581639792,2023-05-20T13:20:39.792,0.400,-0.906,-0.288,-0.171
1684581639802,2023-05-20T13:20:39.802,0.410,-0.911,-0.289,-0.169
1684581639812,2023-05-20T13:20:39.812,0.420,-0.909,-0.288,-0.169
1684581639822,2023-05-20T13:20:39.822,0.430,-0.905,-0.295,-0.169
1684581639832,2023-05-20T13:20:39.832,0.440,-0.907,-0.298,-0.169
1684581639842,2023-05-20T13:20:39.842,0.450,-0.904,-0.296,-0.174
1684581639852,2023-05-20T13:20:39.852,0.460,-0.906,-0.300,-0.172
1684581639862,2023-05-20T13:20:39.862,0.470,-0.909,-0.298,-0.174
1684581639872,2023-05-20T13:20:39.872,0.480,-0.908,-0.296,-0.175
1684581639882,2023-05-20T13:20:39.882,0.490,-0.905,-0.301,-0.175
1684581639892,2023-05-20T13:20:39.892,0.500,-0.902,-0.302,-0.176
1684581639902,2023-05-20T13:20:39.902,0.510,-0.902,-0.304,-0.179
1684581639912,2023-05-20T13:20:39.912,0.520,-0.903,-0.302,-0.181
1684581639922,2023-05-20T13:20:39.922,0.530,-0.909,-0.297,-0.178
1684581639932,2023-05-20T13:20:39.932,0.540,-0.913,-0.292,-0.179
1684581639942,2023-05-20T13:20:39.942,0.550,-0.913,-0.288,-0.181
1684581639952,2023-05-20T13:20:39.952,0.560,-0.912,-0.284,-0.179
1684581639962,2023-05-20T13:20:39.962,0.570,-0.910,-0.279,-0.184
1684581639972,2023-05-20T13:20:39.972,0.580,-0.908,-0.274,-0.186
1684581639982,2023-05-20T13:20:39.982,0.590,-0.906,-0.272,-0.185
1684581639992,2023-05-20T13:20:39.992,0.600,-0.908,-0.277,-0.182
1684581640002,2023-05-20T13:20:40.002,0.610,-0.907,-0.281,-0.183
1684581640012,2023-05-20T13:20:40.012,0.620,-0.911,-0.283,-0.183
1684581640022,2023-05-20T13:20:40.022,0.630,-0.912,-0.285,-0.181
1684581640032,2023-05-20T13:20:40.032,0.640,-0.910,-0.287,-0.179
1684581640042,2023-05-20T13:20:40.042,0.650,-0.908,-0.286,-0.178
1684581640052,2023-05-20T13:20:40.052,0.660,-0.907,-0.285,-0.175
1684581640062,2023-05-20T13:20:40.062,0.670,-0.911,-0.281,-0.176
1684581640072,2023-05-20T13:20:40.072,0.680,-0.914,-0.279,-0.172
1684581640082,2023-05-20T13:20:40.082,0.690,-0.910,-0.279,-0.171
1684581640092,2023-05-20T13:20:40.092,0.700,-0.911,-0.274,-0.173
1684581640102,2023-05-20T13:20:40.102,0.710,-0.913,-0.273,-0.175
1684581640112,2023-05-20T13:20:40.112,0.720,-0.910,-0.271,-0.176
1684581640122,2023-05-20T13:20:40.122,0.730,-0.910,-0.277,-0.179
1684581640132,2023-05-20T13:20:40.132,0.740,-0.910,-0.282,-0.180
1684581640142,2023-05-20T13:20:40.142,0.750,-0.909,-0.290,-0.178
1684581640152,2023-05-20T13:20:40.152,0.760,-0.908,-0.293,-0.181
1684581640162,2023-05-20T13:20:40.162,0.770,-0.909,-0.290,-0.177
1684581640172,2023-05-20T13:20:40.172,0.780,-0.912,-0.287,-0.176
1684581640182,2023-05-20T13:20:40.182,0.790,-0.913,-0.284,-0.175
1684581640192,2023-05-20T13:20:40.192,0.800,-0.913,-0.282,-0.172
1684581640202,2023-05-20T13:20:40.202,0.810,-0.912,-0.281,-0.176
1684581640212,2023-05-20T13:20:40.212,0.820,-0.906,-0.281,-0.179
1684581640222,2023-05-20T13:20:40.222,0.830,-0.904,-0.285,-0.179
1684581640232,2023-05-20T13:20:40.232,0.840,-0.907,-0.286,-0.177
1684581640242,2023-05-20T13:20:40.242,0.850,-0.909,-0.288,-0.178
1684581640252,2023-05-20T13:20:40.252,0.860,-0.909,-0.291,-0.179
1684581640262,2023-05-20T13:20:40.262,0.870,-0.908,-0.288,-0.177
1684581640272,2023-05-20T13:20:40.272,0.880,-0.911,-0.284,-0.175
1684581640282,2023-05-20T13:20:40.282,0.890,-0.910,-0.281,-0.175
1684581640292,2023-05-20T13:20:40.292,0.900,-0.909,-0.280,-0.173
1684581640302,2023-05-20T13:20:40.302,0.910,-0.908,-0.282,-0.179
1684581640312,2023-05-20T13:20:40.312,0.920,-0.911,-0.288,-0.179
1684581640322,2023-05-20T13:20:40.322,0.930,-0.907,-0.291,-0.178
1684581640332,2023-05-20T13:20:40.332,0.940,-0.910,-0.292,-0.181
1684581640342,2023-05-20T13:20:40.342,0.950,-0.908,-0.294,-0.179
1684581640352,2023-05-20T13:20:40.352,0.960,-0.907,-0.292,-0.179
1684581640362,2023-05-20T13:20:40.362,0.970,-0.908,-0.288,-0.181
1684581640372,2023-05-20T13:20:40.372,0.980,-0.907,-0.286,-0.177
1684581640382,2023-05-20T13:20:40.382,0.990,-0.909,-0.282,-0.176
1684581640392,2023-05-20T13:20:40.392,1.000,-0.910,-0.283,-0.176
1684581640402,2023-05-20T13:20:40.402,1.010,-0.909,-0.280,-0.178
1684581640412,2023-05-20T13:20:40.412,1.020,-0.910,-0.281,-0.176
1684581640422,2023-05-20T13:20:40.422,1.030,-0.911,-0.281,-0.176
1684581640432,2023-05-20T13:20:40.432,1.040,-0.912,-0.281,-0.179
1684581640442,2023-05-20T13:20:40.442,1.050,-0.912,-0.274,-0.178
1684581640452,2023-05-20T13:20:40.452,1.060,-0.910,-0.271,-0.177
