epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1684781764704,2023-05-22T20:56:04.704,0.000,172.264,-81.338,-0.000,-0.000
1684781764714,2023-05-22T20:56:04.714,0.010,172.272,-81.343,0.001,0.001
1684781764724,2023-05-22T20:56:04.724,0.020,172.293,-81.357,359.980,359.980
1684781764734,2023-05-22T20:56:04.734,0.030,172.306,-81.368,359.967,359.967
1684781764744,2023-05-22T20:56:04.744,0.040,172.318,-81.380,359.955,359.955
1684781764754,2023-05-22T20:56:04.754,0.050,172.331,-81.391,359.941,359.941
1684781764764,2023-05-22T20:56:04.764,0.060,172.342,-81.401,359.930,359.930
1684781764774,2023-05-22T20:56:04.774,0.070,172.355,-81.412,359.918,359.918
1684781764784,2023-05-22T20:56:04.784,0.080,172.368,-81.424,359.904,359.904
1684781764794,2023-05-22T20:56:04.794,0.090,172.380,-81.434,359.892,359.892
1684781764804,2023-05-22T20:56:04.804,0.100,172.390,-81.443,359.882,359.882
1684781764814,2023-05-22T20:56:04.814,0.110,172.402,-81.453,359.871,359.871
1684781764824,2023-05-22T20:56:04.824,0.120,172.414,-81.464,359.858,359.858
1684781764834,2023-05-22T20:56:04.834,0.130,172.428,-81.476,359.845,359.845
1684781764844,2023-05-22T20:56:04.844,0.140,172.440,-81.487,359.839,359.839
1684781764854,2023-05-22T20:56:04.854,0.150,172.453,-81.498,359.826,359.826
1684781764864,2023-05-22T20:56:04.864,0.160,172.466,-81.510,359.813,359.813
1684781764874,2023-05-22T20:56:04.874,0.170,172.479,-81.522,359.807,359.807
1684781764884,2023-05-22T20:56:04.884,0.180,172.492,-81.534,359.805,359.805
1684781764894,2023-05-22T20:56:04.894,0.190,172.504,-81.545,359.806,359.806
1684781764904,2023-05-22T20:56:04.904,0.200,172.516,-81.556,359.810,359.810
1684781764914,2023-05-22T20:56:04.914,0.210,172.528,-81.567,359.814,359.814
1684781764924,2023-05-22T20:56:04.924,0.220,172.541,-81.579,359.815,359.815
1684781764934,2023-05-22T20:56:04.934,0.230,172.552,-81.590,359.817,359.817
1684781764944,2023-05-22T20:56:04.944,0.240,172.564,-81.600,359.820,359.820
1684781764954,2023-05-22T20:56:04.954,0.250,172.576,-81.612,359.822,359.822
1684781764964,2023-05-22T20:56:04.964,0.260,172.587,-81.622,359.825,359.825
1684781764974,2023-05-22T20:56:04.974,0.270,172.597,-81.632,359.827,359.827
1684781764984,2023-05-22T20:56:04.984,0.280,172.609,-81.643,359.830,359.830
1684781764994,2023-05-22T20:56:04.994,0.290,172.620,-81.654,359.832,359.832
1684781765004,2023-05-22T20:56:05.004,0.300,172.631,-81.664,359.832,359.832
1684781765014,2023-05-22T20:56:05.014,0.310,172.642,-81.674,359.829,359.829
1684781765024,2023-05-22T20:56:05.024,0.320,172.652,-81.683,359.825,359.825
1684781765034,2023-05-22T20:56:05.034,0.330,172.663,-81.693,359.820,359.820
1684781765044,2023-05-22T20:56:05.044,0.340,172.675,-81.703,359.808,359.808
1684781765054,2023-05-22T20:56:05.054,0.350,172.687,-81.714,359.796,359.796
1684781765064,2023-05-22T20:56:05.064,0.360,172.699,-81.724,359.784,359.784
1684781765074,2023-05-22T20:56:05.074,0.370,172.709,-81.734,359.774,359.774
1684781765084,2023-05-22T20:56:05.084,0.380,172.718,-81.742,359.765,359.765
1684781765094,2023-05-22T20:56:05.094,0.390,172.725,-81.749,359.765,359.765
1684781765104,2023-05-22T20:56:05.104,0.400,172.733,-81.756,359.766,359.766
1684781765114,2023-05-22T20:56:05.114,0.410,172.740,-81.762,359.771,359.771
1684781765124,2023-05-22T20:56:05.124,0.420,172.747,-81.770,359.776,359.776
1684781765134,2023-05-22T20:56:05.134,0.430,172.755,-81.777,359.776,359.776
1684781765144,2023-05-22T20:56:05.144,0.440,172.764,-81.785,359.773,359.773
1684781765154,2023-05-22T20:56:05.154,0.450,172.773,-81.793,359.763,359.763
1684781765164,2023-05-22T20:56:05.164,0.460,172.782,-81.801,359.754,359.754
1684781765174,2023-05-22T20:56:05.174,0.470,172.789,-81.807,359.747,359.747
1684781765184,2023-05-22T20:56:05.184,0.480,172.789,-81.807,359.747,359.747
1684781765194,2023-05-22T20:56:05.194,0.490,172.789,-81.807,359.747,359.747
1684781765204,2023-05-22T20:56:05.204,0.500,172.789,-81.807,359.747,359.747
1684781765214,2023-05-22T20:56:05.214,0.510,172.789,-81.807,359.747,359.747
1684781765224,2023-05-22T20:56:05.224,0.520,172.790,-81.807,359.747,359.747
1684781765234,2023-05-22T20:56:05.234,0.530,172.790,-81.807,359.747,359.747
1684781765244,2023-05-22T20:56:05.244,0.540,172.790,-81.808,359.747,359.747
1684781765254,2023-05-22T20:56:05.254,0.550,172.790,-81.808,359.747,359.747
1684781765264,2023-05-22T20:56:05.264,0.560,172.790,-81.808,359.746,359.746
1684781765274,2023-05-22T20:56:05.274,0.570,172.790,-81.808,359.746,359.746
1684781765284,2023-05-22T20:56:05.284,0.580,172.790,-81.808,359.746,359.746
1684781765294,2023-05-22T20:56:05.294,0.590,172.790,-81.808,359.746,359.746
1684781765304,2023-05-22T20:56:05.304,0.600,172.790,-81.808,359.746,359.746
1684781765314,2023-05-22T20:56:05.314,0.610,172.790,-81.808,359.746,359.746
1684781765324,2023-05-22T20:56:05.324,0.620,172.791,-81.808,359.746,359.746
1684781765334,2023-05-22T20:56:05.334,0.630,172.790,-81.808,359.752,359.752
1684781765344,2023-05-22T20:56:05.344,0.640,172.791,-81.808,359.752,359.752
1684781765354,2023-05-22T20:56:05.354,0.650,172.791,-81.809,359.751,359.751
1684781765364,2023-05-22T20:56:05.364,0.660,172.791,-81.809,359.751,359.751
1684781765374,2023-05-22T20:56:05.374,0.670,172.791,-81.809,359.751,359.751
1684781765384,2023-05-22T20:56:05.384,0.680,172.791,-81.809,359.751,359.751
1684781765394,2023-05-22T20:56:05.394,0.690,172.791,-81.809,359.758,359.758
1684781765404,2023-05-22T20:56:05.404,0.700,172.790,-81.808,359.767,359.767
1684781765414,2023-05-22T20:56:05.414,0.710,172.789,-81.808,359.776,359.776
