epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685130560840,2023-05-26T21:49:20.840,0.000,2.507,-78.681,-0.000,-0.000
1685130560850,2023-05-26T21:49:20.850,0.010,2.502,-78.681,0.021,0.021
1685130560860,2023-05-26T21:49:20.860,0.020,2.497,-78.680,0.043,0.043
1685130560870,2023-05-26T21:49:20.870,0.030,2.492,-78.680,0.063,0.063
1685130560880,2023-05-26T21:49:20.880,0.040,2.488,-78.679,0.084,0.084
1685130560890,2023-05-26T21:49:20.890,0.050,2.483,-78.678,0.106,0.106
1685130560900,2023-05-26T21:49:20.900,0.060,2.478,-78.676,0.126,0.126
1685130560910,2023-05-26T21:49:20.910,0.070,2.473,-78.674,0.145,0.145
1685130560920,2023-05-26T21:49:20.920,0.080,2.469,-78.672,0.161,0.161
1685130560930,2023-05-26T21:49:20.930,0.090,2.464,-78.670,0.178,0.178
1685130560940,2023-05-26T21:49:20.940,0.100,2.460,-78.669,0.195,0.195
1685130560950,2023-05-26T21:49:20.950,0.110,2.456,-78.668,0.213,0.213
1685130560960,2023-05-26T21:49:20.960,0.120,2.451,-78.668,0.233,0.233
1685130560970,2023-05-26T21:49:20.970,0.130,2.447,-78.667,0.252,0.252
1685130560980,2023-05-26T21:49:20.980,0.140,2.443,-78.667,0.269,0.269
1685130560990,2023-05-26T21:49:20.990,0.150,2.439,-78.667,0.286,0.286
1685130561000,2023-05-26T21:49:21.000,0.160,2.435,-78.667,0.302,0.302
1685130561010,2023-05-26T21:49:21.010,0.170,2.431,-78.667,0.320,0.320
1685130561020,2023-05-26T21:49:21.020,0.180,2.427,-78.667,0.338,0.338
1685130561030,2023-05-26T21:49:21.030,0.190,2.423,-78.667,0.355,0.355
1685130561040,2023-05-26T21:49:21.040,0.200,2.420,-78.668,0.369,0.369
1685130561050,2023-05-26T21:49:21.050,0.210,2.411,-78.669,0.375,0.375
1685130561060,2023-05-26T21:49:21.060,0.220,2.402,-78.671,0.379,0.379
1685130561070,2023-05-26T21:49:21.070,0.230,2.394,-78.672,0.381,0.381
1685130561080,2023-05-26T21:49:21.080,0.240,2.386,-78.673,0.381,0.381
1685130561090,2023-05-26T21:49:21.090,0.250,2.378,-78.675,0.381,0.381
1685130561100,2023-05-26T21:49:21.100,0.260,2.370,-78.676,0.380,0.380
1685130561110,2023-05-26T21:49:21.110,0.270,2.361,-78.678,0.378,0.378
1685130561120,2023-05-26T21:49:21.120,0.280,2.352,-78.680,0.375,0.375
1685130561130,2023-05-26T21:49:21.130,0.290,2.343,-78.681,0.372,0.372
1685130561140,2023-05-26T21:49:21.140,0.300,2.335,-78.683,0.373,0.373
1685130561150,2023-05-26T21:49:21.150,0.310,2.327,-78.683,0.375,0.375
1685130561160,2023-05-26T21:49:21.160,0.320,2.325,-78.683,0.384,0.384
1685130561170,2023-05-26T21:49:21.170,0.330,2.323,-78.682,0.394,0.394
1685130561180,2023-05-26T21:49:21.180,0.340,2.320,-78.681,0.403,0.403
1685130561190,2023-05-26T21:49:21.190,0.350,2.318,-78.679,0.410,0.410
1685130561200,2023-05-26T21:49:21.200,0.360,2.316,-78.679,0.416,0.416
1685130561210,2023-05-26T21:49:21.210,0.370,2.316,-78.678,0.416,0.416
1685130561220,2023-05-26T21:49:21.220,0.380,2.315,-78.677,0.415,0.415
1685130561230,2023-05-26T21:49:21.230,0.390,2.315,-78.676,0.415,0.415
1685130561240,2023-05-26T21:49:21.240,0.400,2.315,-78.675,0.415,0.415
1685130561250,2023-05-26T21:49:21.250,0.410,2.315,-78.675,0.415,0.415
1685130561260,2023-05-26T21:49:21.260,0.420,2.315,-78.674,0.415,0.415
1685130561270,2023-05-26T21:49:21.270,0.430,2.314,-78.674,0.415,0.415
1685130561280,2023-05-26T21:49:21.280,0.440,2.314,-78.674,0.414,0.414
1685130561290,2023-05-26T21:49:21.290,0.450,2.314,-78.674,0.414,0.414
1685130561300,2023-05-26T21:49:21.300,0.460,2.314,-78.673,0.414,0.414
1685130561310,2023-05-26T21:49:21.310,0.470,2.314,-78.673,0.415,0.415
1685130561320,2023-05-26T21:49:21.320,0.480,2.314,-78.673,0.415,0.415
1685130561330,2023-05-26T21:49:21.330,0.490,2.315,-78.672,0.415,0.415
1685130561340,2023-05-26T21:49:21.340,0.500,2.315,-78.672,0.415,0.415
1685130561350,2023-05-26T21:49:21.350,0.510,2.315,-78.671,0.415,0.415
1685130561360,2023-05-26T21:49:21.360,0.520,2.315,-78.671,0.415,0.415
1685130561370,2023-05-26T21:49:21.370,0.530,2.315,-78.670,0.415,0.415
1685130561380,2023-05-26T21:49:21.380,0.540,2.316,-78.669,0.416,0.416
1685130561390,2023-05-26T21:49:21.390,0.550,2.316,-78.667,0.416,0.416
1685130561400,2023-05-26T21:49:21.400,0.560,2.316,-78.666,0.416,0.416
1685130561410,2023-05-26T21:49:21.410,0.570,2.317,-78.664,0.416,0.416
1685130561420,2023-05-26T21:49:21.420,0.580,2.317,-78.663,0.417,0.417
1685130561430,2023-05-26T21:49:21.430,0.590,2.318,-78.661,0.417,0.417
1685130561440,2023-05-26T21:49:21.440,0.600,2.318,-78.660,0.418,0.418
1685130561450,2023-05-26T21:49:21.450,0.610,2.319,-78.659,0.418,0.418
1685130561460,2023-05-26T21:49:21.460,0.620,2.319,-78.659,0.419,0.419
1685130561470,2023-05-26T21:49:21.470,0.630,2.320,-78.658,0.419,0.419
1685130561480,2023-05-26T21:49:21.480,0.640,2.320,-78.658,0.419,0.419
1685130561490,2023-05-26T21:49:21.490,0.650,2.320,-78.658,0.420,0.420
1685130561500,2023-05-26T21:49:21.500,0.660,2.321,-78.657,0.420,0.420
1685130561510,2023-05-26T21:49:21.510,0.670,2.321,-78.657,0.420,0.420
1685130561520,2023-05-26T21:49:21.520,0.680,2.322,-78.657,0.421,0.421
1685130561530,2023-05-26T21:49:21.530,0.690,2.323,-78.657,0.421,0.421
1685130561540,2023-05-26T21:49:21.540,0.700,2.324,-78.657,0.422,0.422
1685130561550,2023-05-26T21:49:21.550,0.710,2.325,-78.657,0.423,0.423
1685130561560,2023-05-26T21:49:21.560,0.720,2.326,-78.657,0.424,0.424
1685130561570,2023-05-26T21:49:21.570,0.730,2.328,-78.656,0.425,0.425
1685130561580,2023-05-26T21:49:21.580,0.740,2.328,-78.656,0.426,0.426
1685130561590,2023-05-26T21:49:21.590,0.750,2.329,-78.656,0.427,0.427
1685130561600,2023-05-26T21:49:21.600,0.760,2.330,-78.656,0.427,0.427
1685130561610,2023-05-26T21:49:21.610,0.770,2.331,-78.655,0.428,0.428
1685130561620,2023-05-26T21:49:21.620,0.780,2.332,-78.654,0.429,0.429
1685130561630,2023-05-26T21:49:21.630,0.790,2.333,-78.653,0.430,0.430
1685130561640,2023-05-26T21:49:21.640,0.800,2.334,-78.652,0.431,0.431
1685130561650,2023-05-26T21:49:21.650,0.810,2.336,-78.651,0.432,0.432
1685130561660,2023-05-26T21:49:21.660,0.820,2.336,-78.650,0.439,0.439
1685130561670,2023-05-26T21:49:21.670,0.830,2.336,-78.649,0.445,0.445
1685130561680,2023-05-26T21:49:21.680,0.840,2.337,-78.648,0.446,0.446
1685130561690,2023-05-26T21:49:21.690,0.850,2.338,-78.648,0.446,0.446
1685130561700,2023-05-26T21:49:21.700,0.860,2.338,-78.647,0.447,0.447
1685130561710,2023-05-26T21:49:21.710,0.870,2.332,-78.649,0.440,0.440
1685130561720,2023-05-26T21:49:21.720,0.880,2.326,-78.650,0.426,0.426
