epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1685131222441,2023-05-26T22:00:22.441,0.000,174.071,-81.101,0.009,0.009
1685131222451,2023-05-26T22:00:22.451,0.010,174.056,-81.091,0.031,0.031
1685131222461,2023-05-26T22:00:22.461,0.020,174.056,-81.091,0.031,0.031
1685131222471,2023-05-26T22:00:22.471,0.030,174.056,-81.091,0.031,0.031
1685131222481,2023-05-26T22:00:22.481,0.040,174.056,-81.091,0.031,0.031
1685131222491,2023-05-26T22:00:22.491,0.050,174.055,-81.091,0.032,0.032
1685131222501,2023-05-26T22:00:22.501,0.060,174.054,-81.090,0.032,0.032
1685131222511,2023-05-26T22:00:22.511,0.070,174.054,-81.090,0.033,0.033
1685131222521,2023-05-26T22:00:22.521,0.080,174.053,-81.090,0.033,0.033
1685131222531,2023-05-26T22:00:22.531,0.090,174.053,-81.090,0.034,0.034
1685131222541,2023-05-26T22:00:22.541,0.100,174.052,-81.089,0.035,0.035
1685131222551,2023-05-26T22:00:22.551,0.110,174.051,-81.089,0.036,0.036
1685131222561,2023-05-26T22:00:22.561,0.120,174.050,-81.088,0.037,0.037
1685131222571,2023-05-26T22:00:22.571,0.130,174.050,-81.088,0.038,0.038
1685131222581,2023-05-26T22:00:22.581,0.140,174.049,-81.088,0.038,0.038
1685131222591,2023-05-26T22:00:22.591,0.150,174.049,-81.088,0.039,0.039
1685131222601,2023-05-26T22:00:22.601,0.160,174.048,-81.087,0.040,0.040
1685131222611,2023-05-26T22:00:22.611,0.170,174.047,-81.087,0.040,0.040
1685131222621,2023-05-26T22:00:22.621,0.180,174.047,-81.087,0.041,0.041
1685131222631,2023-05-26T22:00:22.631,0.190,174.046,-81.086,0.042,0.042
1685131222641,2023-05-26T22:00:22.641,0.200,174.045,-81.086,0.043,0.043
1685131222651,2023-05-26T22:00:22.651,0.210,174.045,-81.086,0.043,0.043
1685131222661,2023-05-26T22:00:22.661,0.220,174.044,-81.086,0.044,0.044
1685131222671,2023-05-26T22:00:22.671,0.230,174.044,-81.086,0.044,0.044
1685131222681,2023-05-26T22:00:22.681,0.240,174.043,-81.086,0.045,0.045
1685131222691,2023-05-26T22:00:22.691,0.250,174.042,-81.086,0.046,0.046
1685131222701,2023-05-26T22:00:22.701,0.260,174.041,-81.086,0.047,0.047
1685131222711,2023-05-26T22:00:22.711,0.270,174.040,-81.086,0.048,0.048
1685131222721,2023-05-26T22:00:22.721,0.280,174.039,-81.085,0.049,0.049
1685131222731,2023-05-26T22:00:22.731,0.290,174.038,-81.085,0.050,0.050
1685131222741,2023-05-26T22:00:22.741,0.300,174.037,-81.085,0.052,0.052
1685131222751,2023-05-26T22:00:22.751,0.310,174.036,-81.085,0.053,0.053
1685131222761,2023-05-26T22:00:22.761,0.320,174.036,-81.085,0.053,0.053
1685131222771,2023-05-26T22:00:22.771,0.330,174.034,-81.085,0.055,0.055
1685131222781,2023-05-26T22:00:22.781,0.340,174.033,-81.084,0.056,0.056
1685131222791,2023-05-26T22:00:22.791,0.350,174.032,-81.084,0.057,0.057
1685131222801,2023-05-26T22:00:22.801,0.360,174.031,-81.083,0.058,0.058
1685131222811,2023-05-26T22:00:22.811,0.370,174.030,-81.083,0.060,0.060
1685131222821,2023-05-26T22:00:22.821,0.380,174.029,-81.083,0.060,0.060
1685131222831,2023-05-26T22:00:22.831,0.390,174.035,-81.087,0.054,0.054
1685131222841,2023-05-26T22:00:22.841,0.400,174.040,-81.091,0.049,0.049
1685131222851,2023-05-26T22:00:22.851,0.410,174.040,-81.091,0.050,0.050
1685131222861,2023-05-26T22:00:22.861,0.420,174.039,-81.091,0.051,0.051
1685131222871,2023-05-26T22:00:22.871,0.430,174.039,-81.091,0.051,0.051
1685131222881,2023-05-26T22:00:22.881,0.440,174.038,-81.091,0.052,0.052
