epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685130110231,2023-05-26T21:41:50.231,0.000,2.729,-0.183,-0.617
1685130110241,2023-05-26T21:41:50.241,0.010,2.866,0.343,0.480
1685130110251,2023-05-26T21:41:50.251,0.020,2.767,0.511,0.587
1685130110261,2023-05-26T21:41:50.261,0.030,2.607,0.572,0.328
1685130110271,2023-05-26T21:41:50.271,0.040,2.462,0.846,0.412
1685130110281,2023-05-26T21:41:50.281,0.050,2.706,1.067,0.587
1685130110291,2023-05-26T21:41:50.291,0.060,1.837,0.732,0.434
1685130110301,2023-05-26T21:41:50.301,0.070,1.494,1.372,0.488
1685130110311,2023-05-26T21:41:50.311,0.080,1.212,1.700,0.572
1685130110321,2023-05-26T21:41:50.321,0.090,0.389,1.563,0.770
1685130110331,2023-05-26T21:41:50.331,0.100,-0.503,1.799,0.869
1685130110341,2023-05-26T21:41:50.341,0.110,-1.044,2.195,0.953
1685130110351,2023-05-26T21:41:50.351,0.120,-1.120,2.447,1.067
1685130110361,2023-05-26T21:41:50.361,0.130,-1.395,2.279,1.174
1685130110371,2023-05-26T21:41:50.371,0.140,-1.509,2.348,1.341
1685130110381,2023-05-26T21:41:50.381,0.150,-1.639,2.378,1.341
1685130110391,2023-05-26T21:41:50.391,0.160,-1.463,2.226,1.159
1685130110401,2023-05-26T21:41:50.401,0.170,-1.341,2.325,1.044
1685130110411,2023-05-26T21:41:50.411,0.180,-1.479,2.370,1.098
1685130110421,2023-05-26T21:41:50.421,0.190,-1.029,2.370,1.105
1685130110431,2023-05-26T21:41:50.431,0.200,-0.488,2.409,0.968
1685130110441,2023-05-26T21:41:50.441,0.210,-0.328,2.317,0.915
1685130110451,2023-05-26T21:41:50.451,0.220,0.015,2.279,0.793
1685130110461,2023-05-26T21:41:50.461,0.230,0.381,2.698,0.793
1685130110471,2023-05-26T21:41:50.471,0.240,0.816,2.538,0.785
1685130110481,2023-05-26T21:41:50.481,0.250,0.938,2.309,0.762
1685130110491,2023-05-26T21:41:50.491,0.260,0.777,2.264,0.777
1685130110501,2023-05-26T21:41:50.501,0.270,0.694,2.302,0.953
1685130110511,2023-05-26T21:41:50.511,0.280,0.351,2.256,0.877
1685130110521,2023-05-26T21:41:50.521,0.290,-0.168,2.127,0.922
1685130110531,2023-05-26T21:41:50.531,0.300,-0.579,2.203,0.991
1685130110541,2023-05-26T21:41:50.541,0.310,-1.120,2.096,1.059
1685130110551,2023-05-26T21:41:50.551,0.320,-1.684,2.149,1.151
1685130110561,2023-05-26T21:41:50.561,0.330,-1.585,2.363,1.120
1685130110571,2023-05-26T21:41:50.571,0.340,-1.326,2.157,1.052
1685130110581,2023-05-26T21:41:50.581,0.350,-1.014,2.393,0.953
1685130110591,2023-05-26T21:41:50.591,0.360,-0.640,2.287,0.846
1685130110601,2023-05-26T21:41:50.601,0.370,-0.381,2.287,0.861
1685130110611,2023-05-26T21:41:50.611,0.380,-0.099,2.607,0.869
1685130110621,2023-05-26T21:41:50.621,0.390,0.069,2.355,0.838
1685130110631,2023-05-26T21:41:50.631,0.400,0.183,2.439,0.694
1685130110641,2023-05-26T21:41:50.641,0.410,0.084,2.515,0.595
1685130110651,2023-05-26T21:41:50.651,0.420,-0.191,2.378,0.640
1685130110661,2023-05-26T21:41:50.661,0.430,-0.305,2.439,0.655
1685130110671,2023-05-26T21:41:50.671,0.440,-0.038,2.995,0.770
1685130110681,2023-05-26T21:41:50.681,0.450,0.191,3.338,0.762
1685130110691,2023-05-26T21:41:50.691,0.460,-0.297,2.896,0.549
1685130110701,2023-05-26T21:41:50.701,0.470,-0.252,2.736,0.572
1685130110711,2023-05-26T21:41:50.711,0.480,-0.152,2.591,0.793
1685130110721,2023-05-26T21:41:50.721,0.490,-0.137,2.828,0.762
1685130110731,2023-05-26T21:41:50.731,0.500,0.137,3.018,0.640
1685130110741,2023-05-26T21:41:50.741,0.510,0.640,2.523,0.526
1685130110751,2023-05-26T21:41:50.751,0.520,0.762,2.264,0.465
1685130110761,2023-05-26T21:41:50.761,0.530,0.625,2.294,0.434
1685130110771,2023-05-26T21:41:50.771,0.540,0.488,2.149,0.343
1685130110781,2023-05-26T21:41:50.781,0.550,0.404,2.035,0.358
