epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685131006215,2023-05-26T21:56:46.215,0.000,0.282,0.511,1.486
1685131006225,2023-05-26T21:56:46.225,0.010,0.274,-0.229,0.320
1685131006235,2023-05-26T21:56:46.235,0.020,0.267,0.351,1.265
1685131006245,2023-05-26T21:56:46.245,0.030,0.335,0.373,1.311
1685131006255,2023-05-26T21:56:46.255,0.040,0.358,0.183,1.341
1685131006265,2023-05-26T21:56:46.265,0.050,0.373,0.183,1.448
1685131006275,2023-05-26T21:56:46.275,0.060,0.373,0.244,1.441
1685131006285,2023-05-26T21:56:46.285,0.070,0.503,0.244,1.326
1685131006295,2023-05-26T21:56:46.295,0.080,0.442,0.221,1.280
1685131006305,2023-05-26T21:56:46.305,0.090,0.434,0.252,1.387
1685131006315,2023-05-26T21:56:46.315,0.100,0.457,0.290,1.357
1685131006325,2023-05-26T21:56:46.325,0.110,0.450,0.328,1.319
1685131006335,2023-05-26T21:56:46.335,0.120,0.396,0.206,1.395
1685131006345,2023-05-26T21:56:46.345,0.130,0.434,0.160,1.380
1685131006355,2023-05-26T21:56:46.355,0.140,0.518,0.191,1.303
1685131006365,2023-05-26T21:56:46.365,0.150,0.534,0.229,1.387
1685131006375,2023-05-26T21:56:46.375,0.160,0.495,0.282,1.334
1685131006385,2023-05-26T21:56:46.385,0.170,0.518,0.366,1.235
1685131006395,2023-05-26T21:56:46.395,0.180,0.526,0.351,1.242
1685131006405,2023-05-26T21:56:46.405,0.190,0.556,0.358,1.212
1685131006415,2023-05-26T21:56:46.415,0.200,0.495,0.290,1.204
1685131006425,2023-05-26T21:56:46.425,0.210,0.511,0.366,1.212
1685131006435,2023-05-26T21:56:46.435,0.220,0.549,0.351,1.242
1685131006445,2023-05-26T21:56:46.445,0.230,0.655,0.358,1.273
1685131006455,2023-05-26T21:56:46.455,0.240,0.854,0.404,1.235
1685131006465,2023-05-26T21:56:46.465,0.250,0.861,0.335,1.151
1685131006475,2023-05-26T21:56:46.475,0.260,0.816,0.328,1.159
1685131006485,2023-05-26T21:56:46.485,0.270,0.831,0.313,1.166
1685131006495,2023-05-26T21:56:46.495,0.280,0.861,0.305,1.242
1685131006505,2023-05-26T21:56:46.505,0.290,0.861,0.328,1.250
1685131006515,2023-05-26T21:56:46.515,0.300,0.800,0.274,1.159
1685131006525,2023-05-26T21:56:46.525,0.310,0.747,0.313,1.113
1685131006535,2023-05-26T21:56:46.535,0.320,0.655,0.366,1.151
1685131006545,2023-05-26T21:56:46.545,0.330,0.617,0.396,1.113
1685131006555,2023-05-26T21:56:46.555,0.340,0.488,0.450,1.128
1685131006565,2023-05-26T21:56:46.565,0.350,0.450,0.358,1.082
1685131006575,2023-05-26T21:56:46.575,0.360,0.450,0.366,1.120
