epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T22:53:52.133;0;173.141;-64.364;0;0
1.6828E+12;2023-04-29T22:53:52.143;0.01;173.137;-64.33;359.983;359.983
1.6828E+12;2023-04-29T22:53:52.153;0.02;173.128;-64.3;359.973;359.973
1.6828E+12;2023-04-29T22:53:52.163;0.03;173.128;-64.271;359.952;359.952
1.6828E+12;2023-04-29T22:53:52.173;0.04;173.129;-64.245;359.93;359.93
1.6828E+12;2023-04-29T22:53:52.183;0.05;173.131;-64.222;359.906;359.906
1.6828E+12;2023-04-29T22:53:52.193;0.06;173.134;-64.2;359.885;359.885
1.6828E+12;2023-04-29T22:53:52.203;0.07;173.139;-64.182;359.867;359.867
1.6828E+12;2023-04-29T22:53:52.213;0.08;173.141;-64.164;359.861;359.861
1.6828E+12;2023-04-29T22:53:52.223;0.09;173.139;-64.146;359.867;359.867
1.6828E+12;2023-04-29T22:53:52.233;0.1;173.143;-64.131;359.878;359.878
1.6828E+12;2023-04-29T22:53:52.243;0.11;173.145;-64.12;359.899;359.899
1.6828E+12;2023-04-29T22:53:52.253;0.12;173.149;-64.113;359.925;359.925
1.6828E+12;2023-04-29T22:53:52.263;0.13;173.153;-64.115;359.956;359.956
1.6828E+12;2023-04-29T22:53:52.273;0.14;173.156;-64.119;359.992;359.992
1.6828E+12;2023-04-29T22:53:52.283;0.15;173.16;-64.124;0.029;0.029
1.6828E+12;2023-04-29T22:53:52.293;0.16;173.165;-64.128;0.06;0.06
1.6828E+12;2023-04-29T22:53:52.303;0.17;173.169;-64.133;0.086;0.086
1.6828E+12;2023-04-29T22:53:52.313;0.18;173.173;-64.138;0.107;0.107
1.6828E+12;2023-04-29T22:53:52.323;0.19;173.176;-64.143;0.125;0.125
1.6828E+12;2023-04-29T22:53:52.333;0.2;173.178;-64.14;0.139;0.139
1.6828E+12;2023-04-29T22:53:52.343;0.21;173.177;-64.135;0.15;0.15
1.6828E+12;2023-04-29T22:53:52.353;0.22;173.18;-64.129;0.147;0.147
1.6828E+12;2023-04-29T22:53:52.363;0.23;173.183;-64.122;0.144;0.144
1.6828E+12;2023-04-29T22:53:52.373;0.24;173.186;-64.116;0.142;0.142
1.6828E+12;2023-04-29T22:53:52.383;0.25;173.189;-64.109;0.14;0.14
1.6828E+12;2023-04-29T22:53:52.393;0.26;173.19;-64.1;0.14;0.14
1.6828E+12;2023-04-29T22:53:52.403;0.27;173.191;-64.091;0.14;0.14
1.6828E+12;2023-04-29T22:53:52.413;0.28;173.192;-64.082;0.141;0.141
1.6828E+12;2023-04-29T22:53:52.423;0.29;173.192;-64.073;0.142;0.142
1.6828E+12;2023-04-29T22:53:52.433;0.3;173.193;-64.066;0.143;0.143
1.6828E+12;2023-04-29T22:53:52.443;0.31;173.193;-64.057;0.144;0.144
1.6828E+12;2023-04-29T22:53:52.453;0.32;173.193;-64.048;0.146;0.146
1.6828E+12;2023-04-29T22:53:52.463;0.33;173.19;-64.039;0.158;0.158
1.6828E+12;2023-04-29T22:53:52.473;0.34;173.186;-64.03;0.176;0.176
1.6828E+12;2023-04-29T22:53:52.483;0.35;173.181;-64.022;0.197;0.197
1.6828E+12;2023-04-29T22:53:52.493;0.36;173.176;-64.015;0.218;0.218
1.6828E+12;2023-04-29T22:53:52.503;0.37;173.171;-64.008;0.236;0.236
1.6828E+12;2023-04-29T22:53:52.513;0.38;173.166;-64;0.26;0.26
1.6828E+12;2023-04-29T22:53:52.523;0.39;173.16;-63.994;0.28;0.28
1.6828E+12;2023-04-29T22:53:52.533;0.4;173.157;-63.993;0.294;0.294
1.6828E+12;2023-04-29T22:53:52.543;0.41;173.154;-63.993;0.305;0.305
1.6828E+12;2023-04-29T22:53:52.553;0.42;173.151;-63.993;0.316;0.316
1.6828E+12;2023-04-29T22:53:52.563;0.43;173.147;-63.993;0.329;0.329
1.6828E+12;2023-04-29T22:53:52.573;0.44;173.144;-63.993;0.341;0.341
1.6828E+12;2023-04-29T22:53:52.583;0.45;173.142;-63.993;0.35;0.35
1.6828E+12;2023-04-29T22:53:52.593;0.46;173.143;-63.993;0.349;0.349
1.6828E+12;2023-04-29T22:53:52.603;0.47;173.143;-63.993;0.348;0.348
1.6828E+12;2023-04-29T22:53:52.613;0.48;173.144;-63.993;0.348;0.348
1.6828E+12;2023-04-29T22:53:52.623;0.49;173.144;-63.993;0.347;0.347
1.6828E+12;2023-04-29T22:53:52.633;0.5;173.144;-63.993;0.347;0.347
1.6828E+12;2023-04-29T22:53:52.643;0.51;173.144;-63.993;0.347;0.347
1.6828E+12;2023-04-29T22:53:52.653;0.52;173.144;-63.993;0.347;0.347
1.6828E+12;2023-04-29T22:53:52.663;0.53;173.141;-63.993;0.358;0.358
1.6828E+12;2023-04-29T22:53:52.673;0.54;173.138;-63.993;0.368;0.368
1.6828E+12;2023-04-29T22:53:52.683;0.55;173.135;-63.993;0.379;0.379
1.6828E+12;2023-04-29T22:53:52.693;0.56;173.131;-63.993;0.392;0.392
1.6828E+12;2023-04-29T22:53:52.703;0.57;173.127;-63.994;0.408;0.408
1.6828E+12;2023-04-29T22:53:52.713;0.58;173.121;-63.994;0.428;0.428
1.6828E+12;2023-04-29T22:53:52.723;0.59;173.115;-63.994;0.451;0.451
1.6828E+12;2023-04-29T22:53:52.733;0.6;173.113;-63.996;0.473;0.473
1.6828E+12;2023-04-29T22:53:52.743;0.61;173.11;-63.998;0.501;0.501
1.6828E+12;2023-04-29T22:53:52.753;0.62;173.107;-64;0.53;0.53
1.6828E+12;2023-04-29T22:53:52.763;0.63;173.105;-64.003;0.559;0.559
1.6828E+12;2023-04-29T22:53:52.773;0.64;173.104;-64.006;0.589;0.589
1.6828E+12;2023-04-29T22:53:52.783;0.65;173.104;-64.009;0.618;0.618
1.6828E+12;2023-04-29T22:53:52.793;0.66;173.103;-64.013;0.647;0.647
1.6828E+12;2023-04-29T22:53:52.803;0.67;173.103;-64.015;0.67;0.67
1.6828E+12;2023-04-29T22:53:52.813;0.68;173.105;-64.018;0.685;0.685
1.6828E+12;2023-04-29T22:53:52.823;0.69;173.101;-64.019;0.7;0.7
1.6828E+12;2023-04-29T22:53:52.833;0.7;173.099;-64.02;0.709;0.709
1.6828E+12;2023-04-29T22:53:52.843;0.71;173.1;-64.021;0.708;0.708
1.6828E+12;2023-04-29T22:53:52.853;0.72;173.101;-64.022;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.863;0.73;173.101;-64.023;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.873;0.74;173.101;-64.023;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.883;0.75;173.101;-64.024;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.893;0.76;173.101;-64.024;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.903;0.77;173.101;-64.024;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.913;0.78;173.101;-64.025;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.923;0.79;173.101;-64.025;0.706;0.706
1.6828E+12;2023-04-29T22:53:52.933;0.8;173.1;-64.026;0.707;0.707
1.6828E+12;2023-04-29T22:53:52.943;0.81;173.097;-64.02;0.72;0.72
1.6828E+12;2023-04-29T22:53:52.953;0.82;173.091;-64.014;0.742;0.742
1.6828E+12;2023-04-29T22:53:52.963;0.83;173.085;-64.008;0.764;0.764
1.6828E+12;2023-04-29T22:53:52.973;0.84;173.086;-64.01;0.776;0.776
1.6828E+12;2023-04-29T22:53:52.983;0.85;173.087;-64.012;0.785;0.785
1.6828E+12;2023-04-29T22:53:52.993;0.86;173.089;-64.015;0.793;0.793
1.6828E+12;2023-04-29T22:53:53.003;0.87;173.091;-64.018;0.803;0.803
1.6828E+12;2023-04-29T22:53:53.013;0.88;173.092;-64.015;0.816;0.816
1.6828E+12;2023-04-29T22:53:53.023;0.89;173.093;-64.01;0.83;0.83
1.6828E+12;2023-04-29T22:53:53.033;0.9;173.093;-64.003;0.844;0.844
1.6828E+12;2023-04-29T22:53:53.043;0.91;173.095;-63.997;0.857;0.857
1.6828E+12;2023-04-29T22:53:53.053;0.92;173.096;-63.991;0.866;0.866
1.6828E+12;2023-04-29T22:53:53.063;0.93;173.094;-63.983;0.879;0.879
1.6828E+12;2023-04-29T22:53:53.073;0.94;173.094;-63.976;0.88;0.88
1.6828E+12;2023-04-29T22:53:53.083;0.95;173.094;-63.968;0.881;0.881
1.6828E+12;2023-04-29T22:53:53.093;0.96;173.094;-63.957;0.884;0.884
1.6828E+12;2023-04-29T22:53:53.103;0.97;173.094;-63.946;0.886;0.886
1.6828E+12;2023-04-29T22:53:53.113;0.98;173.094;-63.937;0.888;0.888
1.6828E+12;2023-04-29T22:53:53.123;0.99;173.094;-63.928;0.89;0.89
1.6828E+12;2023-04-29T22:53:53.133;1;173.094;-63.919;0.892;0.892
