epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.68198E+12;2023-04-20T09:57:48.842;0;171.555;-81.481;0.128;0.128
1.68198E+12;2023-04-20T09:57:48.852;0.01;171.53;-81.461;0.259;0.259
1.68198E+12;2023-04-20T09:57:48.862;0.02;171.51;-81.447;0.385;0.385
1.68198E+12;2023-04-20T09:57:48.872;0.03;171.489;-81.433;0.527;0.527
1.68198E+12;2023-04-20T09:57:48.882;0.04;171.469;-81.42;0.686;0.686
1.68198E+12;2023-04-20T09:57:48.892;0.05;171.45;-81.409;0.861;0.861
1.68198E+12;2023-04-20T09:57:48.902;0.06;171.436;-81.4;1.049;1.049
1.68198E+12;2023-04-20T09:57:48.912;0.07;171.425;-81.393;1.244;1.244
1.68198E+12;2023-04-20T09:57:48.922;0.08;171.397;-81.368;1.458;1.458
1.68198E+12;2023-04-20T09:57:48.932;0.09;171.325;-81.299;1.698;1.698
1.68198E+12;2023-04-20T09:57:48.942;0.1;171.238;-81.215;1.892;1.892
1.68198E+12;2023-04-20T09:57:48.952;0.11;171.163;-81.142;2.029;2.029
1.68198E+12;2023-04-20T09:57:48.962;0.12;171.11;-81.093;2.135;2.135
1.68198E+12;2023-04-20T09:57:48.972;0.13;171.069;-81.055;2.232;2.232
1.68198E+12;2023-04-20T09:57:48.982;0.14;171.036;-81.024;2.333;2.333
1.68198E+12;2023-04-20T09:57:48.992;0.15;171.013;-81;2.45;2.45
1.68198E+12;2023-04-20T09:57:49.002;0.16;170.995;-80.982;2.586;2.586
1.68198E+12;2023-04-20T09:57:49.012;0.17;170.98;-80.968;2.741;2.741
1.68198E+12;2023-04-20T09:57:49.022;0.18;170.97;-80.957;2.92;2.92
1.68198E+12;2023-04-20T09:57:49.032;0.19;170.96;-80.948;3.109;3.109
1.68198E+12;2023-04-20T09:57:49.042;0.2;170.95;-80.938;3.304;3.304
1.68198E+12;2023-04-20T09:57:49.052;0.21;170.94;-80.929;3.491;3.491
1.68198E+12;2023-04-20T09:57:49.062;0.22;170.931;-80.921;3.664;3.664
1.68198E+12;2023-04-20T09:57:49.072;0.23;170.924;-80.915;3.84;3.84
1.68198E+12;2023-04-20T09:57:49.082;0.24;170.916;-80.908;4.017;4.017
1.68198E+12;2023-04-20T09:57:49.092;0.25;170.907;-80.9;4.182;4.182
1.68198E+12;2023-04-20T09:57:49.102;0.26;170.897;-80.89;4.322;4.322
1.68198E+12;2023-04-20T09:57:49.112;0.27;170.889;-80.883;4.447;4.447
1.68198E+12;2023-04-20T09:57:49.122;0.28;170.888;-80.883;4.562;4.562
1.68198E+12;2023-04-20T09:57:49.132;0.29;170.887;-80.883;4.674;4.674
1.68198E+12;2023-04-20T09:57:49.142;0.3;170.887;-80.883;4.781;4.781
1.68198E+12;2023-04-20T09:57:49.152;0.31;170.886;-80.883;4.871;4.871
1.68198E+12;2023-04-20T09:57:49.162;0.32;170.886;-80.883;4.94;4.94
1.68198E+12;2023-04-20T09:57:49.172;0.33;170.886;-80.884;4.993;4.993
1.68198E+12;2023-04-20T09:57:49.182;0.34;170.866;-80.865;5.048;5.048
1.68198E+12;2023-04-20T09:57:49.192;0.35;170.853;-80.851;5.08;5.08
1.68198E+12;2023-04-20T09:57:49.202;0.36;170.849;-80.847;5.1;5.1
1.68198E+12;2023-04-20T09:57:49.212;0.37;170.849;-80.847;5.128;5.128
1.68198E+12;2023-04-20T09:57:49.222;0.38;170.849;-80.847;5.175;5.175
1.68198E+12;2023-04-20T09:57:49.232;0.39;170.848;-80.846;5.231;5.231
1.68198E+12;2023-04-20T09:57:49.242;0.4;170.848;-80.846;5.304;5.304
1.68198E+12;2023-04-20T09:57:49.252;0.41;170.848;-80.845;5.399;5.399
1.68198E+12;2023-04-20T09:57:49.262;0.42;170.853;-80.849;5.505;5.505
1.68198E+12;2023-04-20T09:57:49.272;0.43;170.85;-80.845;5.629;5.629
1.68198E+12;2023-04-20T09:57:49.282;0.44;170.85;-80.844;5.753;5.753
1.68198E+12;2023-04-20T09:57:49.292;0.45;170.849;-80.843;5.873;5.873
1.68198E+12;2023-04-20T09:57:49.302;0.46;170.848;-80.842;5.988;5.988
1.68198E+12;2023-04-20T09:57:49.312;0.47;170.854;-80.847;6.1;6.1
1.68198E+12;2023-04-20T09:57:49.322;0.48;170.863;-80.857;6.211;6.211
1.68198E+12;2023-04-20T09:57:49.332;0.49;170.875;-80.868;6.313;6.313
1.68198E+12;2023-04-20T09:57:49.342;0.5;170.89;-80.883;6.393;6.393
1.68198E+12;2023-04-20T09:57:49.352;0.51;170.91;-80.902;6.441;6.441
1.68198E+12;2023-04-20T09:57:49.362;0.52;170.93;-80.922;6.455;6.455
1.68198E+12;2023-04-20T09:57:49.372;0.53;170.924;-80.915;6.463;6.463
1.68198E+12;2023-04-20T09:57:49.382;0.54;170.918;-80.909;6.447;6.447
1.68198E+12;2023-04-20T09:57:49.392;0.55;170.914;-80.905;6.41;6.41
1.68198E+12;2023-04-20T09:57:49.402;0.56;170.924;-80.914;6.355;6.355
1.68198E+12;2023-04-20T09:57:49.412;0.57;170.932;-80.922;6.305;6.305
1.68198E+12;2023-04-20T09:57:49.422;0.58;170.939;-80.93;6.258;6.258
1.68198E+12;2023-04-20T09:57:49.432;0.59;170.94;-80.93;6.215;6.215
1.68198E+12;2023-04-20T09:57:49.442;0.6;170.939;-80.93;6.171;6.171
1.68198E+12;2023-04-20T09:57:49.452;0.61;170.937;-80.927;6.13;6.13
1.68198E+12;2023-04-20T09:57:49.462;0.62;170.933;-80.923;6.091;6.091
1.68198E+12;2023-04-20T09:57:49.472;0.63;170.929;-80.919;6.048;6.048
1.68198E+12;2023-04-20T09:57:49.482;0.64;170.926;-80.916;6.001;6.001
1.68198E+12;2023-04-20T09:57:49.492;0.65;170.925;-80.915;5.953;5.953
1.68198E+12;2023-04-20T09:57:49.502;0.66;170.926;-80.915;5.915;5.915
1.68198E+12;2023-04-20T09:57:49.512;0.67;170.926;-80.915;5.888;5.888
1.68198E+12;2023-04-20T09:57:49.522;0.68;170.927;-80.915;5.869;5.869
1.68198E+12;2023-04-20T09:57:49.532;0.69;170.926;-80.915;5.862;5.862
1.68198E+12;2023-04-20T09:57:49.542;0.7;170.924;-80.913;5.863;5.863
1.68198E+12;2023-04-20T09:57:49.552;0.71;170.921;-80.91;5.865;5.865
1.68198E+12;2023-04-20T09:57:49.562;0.72;170.924;-80.913;5.851;5.851
1.68198E+12;2023-04-20T09:57:49.572;0.73;170.927;-80.916;5.828;5.828
1.68198E+12;2023-04-20T09:57:49.582;0.74;170.925;-80.914;5.807;5.807
1.68198E+12;2023-04-20T09:57:49.592;0.75;170.929;-80.918;5.782;5.782
1.68198E+12;2023-04-20T09:57:49.602;0.76;170.934;-80.923;5.764;5.764
1.68198E+12;2023-04-20T09:57:49.612;0.77;170.938;-80.926;5.75;5.75
1.68198E+12;2023-04-20T09:57:49.622;0.78;170.939;-80.927;5.738;5.738
1.68198E+12;2023-04-20T09:57:49.632;0.79;170.931;-80.919;5.726;5.726
1.68198E+12;2023-04-20T09:57:49.642;0.8;170.922;-80.91;5.7;5.7
1.68198E+12;2023-04-20T09:57:49.652;0.81;170.914;-80.902;5.664;5.664
1.68198E+12;2023-04-20T09:57:49.662;0.82;170.907;-80.895;5.622;5.622
1.68198E+12;2023-04-20T09:57:49.672;0.83;170.899;-80.888;5.574;5.574
1.68198E+12;2023-04-20T09:57:49.682;0.84;170.893;-80.882;5.518;5.518
1.68198E+12;2023-04-20T09:57:49.692;0.85;170.89;-80.879;5.457;5.457
1.68198E+12;2023-04-20T09:57:49.702;0.86;170.888;-80.877;5.397;5.397
1.68198E+12;2023-04-20T09:57:49.712;0.87;170.888;-80.878;5.333;5.333
1.68198E+12;2023-04-20T09:57:49.722;0.88;170.888;-80.879;5.273;5.273
1.68198E+12;2023-04-20T09:57:49.732;0.89;170.889;-80.879;5.222;5.222
1.68198E+12;2023-04-20T09:57:49.742;0.9;170.888;-80.88;5.181;5.181
1.68198E+12;2023-04-20T09:57:49.752;0.91;170.887;-80.88;5.149;5.149
1.68198E+12;2023-04-20T09:57:49.762;0.92;170.885;-80.878;5.119;5.119
1.68198E+12;2023-04-20T09:57:49.772;0.93;170.881;-80.875;5.084;5.084
1.68198E+12;2023-04-20T09:57:49.782;0.94;170.876;-80.87;5.043;5.043
1.68198E+12;2023-04-20T09:57:49.792;0.95;170.87;-80.864;4.998;4.998
1.68198E+12;2023-04-20T09:57:49.802;0.96;170.865;-80.86;4.945;4.945
1.68198E+12;2023-04-20T09:57:49.812;0.97;170.864;-80.859;4.888;4.888
1.68198E+12;2023-04-20T09:57:49.822;0.98;170.863;-80.858;4.836;4.836
1.68198E+12;2023-04-20T09:57:49.832;0.99;170.868;-80.865;4.78;4.78
1.68198E+12;2023-04-20T09:57:49.842;1;170.876;-80.873;4.721;4.721
1.68198E+12;2023-04-20T09:57:49.852;1.01;170.885;-80.882;4.659;4.659
1.68198E+12;2023-04-20T09:57:49.862;1.02;170.893;-80.891;4.594;4.594
1.68198E+12;2023-04-20T09:57:49.872;1.03;170.899;-80.897;4.532;4.532
1.68198E+12;2023-04-20T09:57:49.882;1.04;170.905;-80.904;4.469;4.469
1.68198E+12;2023-04-20T09:57:49.892;1.05;170.91;-80.909;4.404;4.404
1.68198E+12;2023-04-20T09:57:49.902;1.06;170.914;-80.914;4.34;4.34
1.68198E+12;2023-04-20T09:57:49.912;1.07;170.919;-80.919;4.277;4.277
1.68198E+12;2023-04-20T09:57:49.922;1.08;170.919;-80.919;4.222;4.222
1.68198E+12;2023-04-20T09:57:49.932;1.09;170.919;-80.919;4.174;4.174
1.68198E+12;2023-04-20T09:57:49.942;1.1;170.924;-80.925;4.127;4.127
1.68198E+12;2023-04-20T09:57:49.952;1.11;170.93;-80.931;4.082;4.082
1.68198E+12;2023-04-20T09:57:49.962;1.12;9.063;-80.937;4.036;4.036
1.68198E+12;2023-04-20T09:57:49.972;1.13;9.056;-80.943;3.988;3.988
1.68198E+12;2023-04-20T09:57:49.982;1.14;9.057;-80.942;3.947;3.947
1.68198E+12;2023-04-20T09:57:49.992;1.15;9.059;-80.941;3.901;3.901
1.68198E+12;2023-04-20T09:57:50.002;1.16;9.061;-80.939;3.854;3.854
1.68198E+12;2023-04-20T09:57:50.012;1.17;9.063;-80.936;3.803;3.803
1.68198E+12;2023-04-20T09:57:50.022;1.18;9.059;-80.941;3.754;3.754
1.68198E+12;2023-04-20T09:57:50.032;1.19;9.054;-80.946;3.713;3.713
1.68198E+12;2023-04-20T09:57:50.042;1.2;9.05;-80.95;3.681;3.681
1.68198E+12;2023-04-20T09:57:50.052;1.21;9.048;-80.952;3.654;3.654
1.68198E+12;2023-04-20T09:57:50.062;1.22;9.043;-80.956;3.622;3.622
1.68198E+12;2023-04-20T09:57:50.072;1.23;9.044;-80.956;3.602;3.602
1.68198E+12;2023-04-20T09:57:50.082;1.24;9.037;-80.962;3.594;3.594
1.68198E+12;2023-04-20T09:57:50.092;1.25;9.028;-80.971;3.591;3.591
1.68198E+12;2023-04-20T09:57:50.102;1.26;9.018;-80.981;3.595;3.595
1.68198E+12;2023-04-20T09:57:50.112;1.27;9.009;-80.99;3.606;3.606
1.68198E+12;2023-04-20T09:57:50.122;1.28;9;-80.999;3.615;3.615
1.68198E+12;2023-04-20T09:57:50.132;1.29;8.991;-81.008;3.621;3.621
1.68198E+12;2023-04-20T09:57:50.142;1.3;8.983;-81.016;3.626;3.626
1.68198E+12;2023-04-20T09:57:50.152;1.31;8.976;-81.023;3.629;3.629
1.68198E+12;2023-04-20T09:57:50.162;1.32;8.971;-81.028;3.634;3.634
1.68198E+12;2023-04-20T09:57:50.172;1.33;8.972;-81.027;3.643;3.643
1.68198E+12;2023-04-20T09:57:50.182;1.34;8.974;-81.025;3.645;3.645
1.68198E+12;2023-04-20T09:57:50.192;1.35;8.976;-81.022;3.648;3.648
1.68198E+12;2023-04-20T09:57:50.202;1.36;8.974;-81.025;3.636;3.636
1.68198E+12;2023-04-20T09:57:50.212;1.37;8.972;-81.027;3.621;3.621
1.68198E+12;2023-04-20T09:57:50.222;1.38;8.966;-81.032;3.601;3.601
1.68198E+12;2023-04-20T09:57:50.232;1.39;8.967;-81.031;3.585;3.585
1.68198E+12;2023-04-20T09:57:50.242;1.4;8.968;-81.031;3.57;3.57
