epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:04:05.199;0;161.445;-71.363;0;0
1.6828E+12;2023-04-29T23:04:05.209;0.01;161.458;-71.375;359.995;359.995
1.6828E+12;2023-04-29T23:04:05.219;0.02;161.458;-71.376;359.994;359.994
1.6828E+12;2023-04-29T23:04:05.229;0.03;161.471;-71.389;359.981;359.981
1.6828E+12;2023-04-29T23:04:05.239;0.04;161.487;-71.404;359.965;359.965
1.6828E+12;2023-04-29T23:04:05.249;0.05;161.503;-71.42;359.949;359.949
1.6828E+12;2023-04-29T23:04:05.259;0.06;161.518;-71.436;359.934;359.934
1.6828E+12;2023-04-29T23:04:05.269;0.07;161.529;-71.447;359.923;359.923
1.6828E+12;2023-04-29T23:04:05.279;0.08;161.539;-71.458;359.913;359.913
1.6828E+12;2023-04-29T23:04:05.289;0.09;161.548;-71.466;359.904;359.904
1.6828E+12;2023-04-29T23:04:05.299;0.1;161.558;-71.476;359.894;359.894
1.6828E+12;2023-04-29T23:04:05.309;0.11;161.57;-71.488;359.875;359.875
1.6828E+12;2023-04-29T23:04:05.319;0.12;161.58;-71.499;359.85;359.85
1.6828E+12;2023-04-29T23:04:05.329;0.13;161.589;-71.508;359.823;359.823
1.6828E+12;2023-04-29T23:04:05.339;0.14;161.597;-71.516;359.798;359.798
1.6828E+12;2023-04-29T23:04:05.349;0.15;161.602;-71.521;359.777;359.777
1.6828E+12;2023-04-29T23:04:05.359;0.16;161.607;-71.525;359.762;359.762
1.6828E+12;2023-04-29T23:04:05.369;0.17;161.612;-71.531;359.757;359.757
1.6828E+12;2023-04-29T23:04:05.379;0.18;161.619;-71.537;359.751;359.751
1.6828E+12;2023-04-29T23:04:05.389;0.19;161.627;-71.545;359.749;359.749
1.6828E+12;2023-04-29T23:04:05.399;0.2;161.635;-71.554;359.751;359.751
1.6828E+12;2023-04-29T23:04:05.409;0.21;161.641;-71.56;359.761;359.761
1.6828E+12;2023-04-29T23:04:05.419;0.22;161.641;-71.56;359.785;359.785
1.6828E+12;2023-04-29T23:04:05.429;0.23;161.635;-71.555;359.824;359.824
1.6828E+12;2023-04-29T23:04:05.439;0.24;161.625;-71.545;359.878;359.878
1.6828E+12;2023-04-29T23:04:05.449;0.25;161.616;-71.536;359.943;359.943
1.6828E+12;2023-04-29T23:04:05.459;0.26;161.611;-71.531;0.013;0.013
1.6828E+12;2023-04-29T23:04:05.469;0.27;161.615;-71.536;0.078;0.078
1.6828E+12;2023-04-29T23:04:05.479;0.28;161.626;-71.547;0.138;0.138
1.6828E+12;2023-04-29T23:04:05.489;0.29;161.639;-71.561;0.198;0.198
1.6828E+12;2023-04-29T23:04:05.499;0.3;161.653;-71.576;0.255;0.255
1.6828E+12;2023-04-29T23:04:05.509;0.31;161.67;-71.593;0.31;0.31
1.6828E+12;2023-04-29T23:04:05.519;0.32;161.688;-71.612;0.364;0.364
1.6828E+12;2023-04-29T23:04:05.529;0.33;161.707;-71.632;0.414;0.414
1.6828E+12;2023-04-29T23:04:05.539;0.34;161.729;-71.654;0.461;0.461
1.6828E+12;2023-04-29T23:04:05.549;0.35;161.753;-71.679;0.502;0.502
1.6828E+12;2023-04-29T23:04:05.559;0.36;161.78;-71.706;0.536;0.536
1.6828E+12;2023-04-29T23:04:05.569;0.37;161.808;-71.734;0.567;0.567
1.6828E+12;2023-04-29T23:04:05.579;0.38;161.836;-71.762;0.593;0.593
1.6828E+12;2023-04-29T23:04:05.589;0.39;161.865;-71.791;0.616;0.616
1.6828E+12;2023-04-29T23:04:05.599;0.4;161.891;-71.818;0.638;0.638
1.6828E+12;2023-04-29T23:04:05.609;0.41;161.916;-71.844;0.66;0.66
1.6828E+12;2023-04-29T23:04:05.619;0.42;161.941;-71.868;0.682;0.682
1.6828E+12;2023-04-29T23:04:05.629;0.43;161.964;-71.892;0.703;0.703
1.6828E+12;2023-04-29T23:04:05.639;0.44;161.986;-71.914;0.723;0.723
1.6828E+12;2023-04-29T23:04:05.649;0.45;162.007;-71.935;0.742;0.742
1.6828E+12;2023-04-29T23:04:05.659;0.46;162.028;-71.957;0.76;0.76
1.6828E+12;2023-04-29T23:04:05.669;0.47;162.048;-71.978;0.779;0.779
1.6828E+12;2023-04-29T23:04:05.679;0.48;162.067;-71.996;0.796;0.796
1.6828E+12;2023-04-29T23:04:05.689;0.49;162.082;-72.011;0.811;0.811
1.6828E+12;2023-04-29T23:04:05.699;0.5;162.098;-72.027;0.825;0.825
1.6828E+12;2023-04-29T23:04:05.709;0.51;162.112;-72.041;0.837;0.837
1.6828E+12;2023-04-29T23:04:05.719;0.52;162.126;-72.055;0.848;0.848
1.6828E+12;2023-04-29T23:04:05.729;0.53;162.139;-72.068;0.856;0.856
1.6828E+12;2023-04-29T23:04:05.739;0.54;162.152;-72.081;0.861;0.861
1.6828E+12;2023-04-29T23:04:05.749;0.55;162.166;-72.095;0.863;0.863
1.6828E+12;2023-04-29T23:04:05.759;0.56;162.178;-72.106;0.864;0.864
1.6828E+12;2023-04-29T23:04:05.769;0.57;162.186;-72.114;0.868;0.868
1.6828E+12;2023-04-29T23:04:05.779;0.58;162.19;-72.117;0.873;0.873
1.6828E+12;2023-04-29T23:04:05.789;0.59;162.192;-72.118;0.874;0.874
1.6828E+12;2023-04-29T23:04:05.799;0.6;162.188;-72.114;0.882;0.882
1.6828E+12;2023-04-29T23:04:05.809;0.61;162.184;-72.109;0.889;0.889
1.6828E+12;2023-04-29T23:04:05.819;0.62;162.187;-72.111;0.883;0.883
1.6828E+12;2023-04-29T23:04:05.829;0.63;162.19;-72.113;0.875;0.875
1.6828E+12;2023-04-29T23:04:05.839;0.64;162.193;-72.115;0.866;0.866
1.6828E+12;2023-04-29T23:04:05.849;0.65;162.193;-72.114;0.862;0.862
1.6828E+12;2023-04-29T23:04:05.859;0.66;162.185;-72.106;0.873;0.873
1.6828E+12;2023-04-29T23:04:05.869;0.67;162.177;-72.098;0.884;0.884
1.6828E+12;2023-04-29T23:04:05.879;0.68;162.172;-72.092;0.893;0.893
1.6828E+12;2023-04-29T23:04:05.889;0.69;162.176;-72.094;0.887;0.887
1.6828E+12;2023-04-29T23:04:05.899;0.7;162.184;-72.101;0.872;0.872
