epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.68198E+12;2023-04-20T10:03:47.659;0;-159.966;-69.938;359.864;359.864
1.68198E+12;2023-04-20T10:03:47.669;0.01;-159.912;-69.885;359.722;359.722
1.68198E+12;2023-04-20T10:03:47.679;0.02;-159.863;-69.837;359.609;359.609
1.68198E+12;2023-04-20T10:03:47.689;0.03;-159.813;-69.788;359.526;359.526
1.68198E+12;2023-04-20T10:03:47.699;0.04;-159.775;-69.75;359.483;359.483
1.68198E+12;2023-04-20T10:03:47.709;0.05;-159.739;-69.715;359.47;359.47
1.68198E+12;2023-04-20T10:03:47.719;0.06;-159.707;-69.683;359.482;359.482
1.68198E+12;2023-04-20T10:03:47.729;0.07;-159.669;-69.645;359.501;359.501
1.68198E+12;2023-04-20T10:03:47.739;0.08;-159.637;-69.614;359.533;359.533
1.68198E+12;2023-04-20T10:03:47.749;0.09;-159.608;-69.585;359.572;359.572
1.68198E+12;2023-04-20T10:03:47.759;0.1;-159.578;-69.554;359.61;359.61
1.68198E+12;2023-04-20T10:03:47.769;0.11;-159.549;-69.526;359.643;359.643
1.68198E+12;2023-04-20T10:03:47.779;0.12;-159.521;-69.499;359.667;359.667
1.68198E+12;2023-04-20T10:03:47.789;0.13;-159.494;-69.472;359.685;359.685
1.68198E+12;2023-04-20T10:03:47.799;0.14;-159.468;-69.446;359.697;359.697
1.68198E+12;2023-04-20T10:03:47.809;0.15;-159.442;-69.421;359.705;359.705
1.68198E+12;2023-04-20T10:03:47.819;0.16;-159.416;-69.396;359.71;359.71
1.68198E+12;2023-04-20T10:03:47.829;0.17;-159.39;-69.37;359.712;359.712
1.68198E+12;2023-04-20T10:03:47.839;0.18;-159.365;-69.346;359.712;359.712
1.68198E+12;2023-04-20T10:03:47.849;0.19;-159.343;-69.325;359.718;359.718
1.68198E+12;2023-04-20T10:03:47.859;0.2;-159.322;-69.305;359.733;359.733
1.68198E+12;2023-04-20T10:03:47.869;0.21;-159.302;-69.285;359.752;359.752
1.68198E+12;2023-04-20T10:03:47.879;0.22;-159.282;-69.265;359.776;359.776
1.68198E+12;2023-04-20T10:03:47.889;0.23;-159.262;-69.246;359.808;359.808
1.68198E+12;2023-04-20T10:03:47.899;0.24;-159.249;-69.233;359.857;359.857
1.68198E+12;2023-04-20T10:03:47.909;0.25;-159.233;-69.217;359.921;359.921
1.68198E+12;2023-04-20T10:03:47.919;0.26;-159.215;-69.199;0.006;0.006
1.68198E+12;2023-04-20T10:03:47.929;0.27;-159.206;-69.19;0.122;0.122
1.68198E+12;2023-04-20T10:03:47.939;0.28;-159.206;-69.189;0.264;0.264
1.68198E+12;2023-04-20T10:03:47.949;0.29;-159.214;-69.198;0.423;0.423
1.68198E+12;2023-04-20T10:03:47.959;0.3;-159.233;-69.216;0.591;0.591
1.68198E+12;2023-04-20T10:03:47.969;0.31;-159.259;-69.243;0.77;0.77
1.68198E+12;2023-04-20T10:03:47.979;0.32;-159.287;-69.27;0.955;0.955
1.68198E+12;2023-04-20T10:03:47.989;0.33;-159.32;-69.302;1.145;1.145
1.68198E+12;2023-04-20T10:03:47.999;0.34;-159.357;-69.339;1.338;1.338
1.68198E+12;2023-04-20T10:03:48.009;0.35;-159.398;-69.38;1.535;1.535
1.68198E+12;2023-04-20T10:03:48.019;0.36;-159.443;-69.424;1.735;1.735
1.68198E+12;2023-04-20T10:03:48.029;0.37;-159.493;-69.474;1.929;1.929
1.68198E+12;2023-04-20T10:03:48.039;0.38;-159.546;-69.526;2.12;2.12
1.68198E+12;2023-04-20T10:03:48.049;0.39;-159.601;-69.58;2.305;2.305
1.68198E+12;2023-04-20T10:03:48.059;0.4;-159.656;-69.635;2.482;2.482
1.68198E+12;2023-04-20T10:03:48.069;0.41;-159.711;-69.69;2.657;2.657
1.68198E+12;2023-04-20T10:03:48.079;0.42;-159.763;-69.741;2.821;2.821
1.68198E+12;2023-04-20T10:03:48.089;0.43;-159.813;-69.79;2.978;2.978
1.68198E+12;2023-04-20T10:03:48.099;0.44;-159.862;-69.838;3.129;3.129
1.68198E+12;2023-04-20T10:03:48.109;0.45;-159.908;-69.883;3.272;3.272
1.68198E+12;2023-04-20T10:03:48.119;0.46;-159.952;-69.927;3.414;3.414
1.68198E+12;2023-04-20T10:03:48.129;0.47;-159.994;-69.968;3.551;3.551
1.68198E+12;2023-04-20T10:03:48.139;0.48;-160.034;-70.007;3.686;3.686
1.68198E+12;2023-04-20T10:03:48.149;0.49;-160.073;-70.045;3.816;3.816
