epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6828E+12;2023-04-29T22:39:36.901;0;0.252;1.875;0.526
1.6828E+12;2023-04-29T22:39:36.911;0.01;0.137;2.157;1.265
1.6828E+12;2023-04-29T22:39:36.921;0.02;0.175;1.387;0.96
1.6828E+12;2023-04-29T22:39:36.931;0.03;0.046;1.021;0.899
1.6828E+12;2023-04-29T22:39:36.941;0.04;0.8;0.892;0.991
1.6828E+12;2023-04-29T22:39:36.951;0.05;1.761;0.709;0.938
1.6828E+12;2023-04-29T22:39:36.961;0.06;2.492;0.595;0.991
1.6828E+12;2023-04-29T22:39:36.971;0.07;2.584;0.511;1.052
1.6828E+12;2023-04-29T22:39:36.981;0.08;2.706;0.328;1.037
1.6828E+12;2023-04-29T22:39:36.991;0.09;2.736;0.381;1.098
1.6828E+12;2023-04-29T22:39:37.001;0.1;2.706;0.366;1.082
1.6828E+12;2023-04-29T22:39:37.011;0.11;2.706;0.381;1.143
1.6828E+12;2023-04-29T22:39:37.021;0.12;2.454;0.648;1.258
1.6828E+12;2023-04-29T22:39:37.031;0.13;2.477;0.892;1.28
1.6828E+12;2023-04-29T22:39:37.041;0.14;2.98;0.968;1.029
1.6828E+12;2023-04-29T22:39:37.051;0.15;2.95;0.93;0.793
1.6828E+12;2023-04-29T22:39:37.061;0.16;2.477;0.793;0.724
1.6828E+12;2023-04-29T22:39:37.071;0.17;2.088;0.747;0.671
1.6828E+12;2023-04-29T22:39:37.081;0.18;1.745;0.96;0.511
1.6828E+12;2023-04-29T22:39:37.091;0.19;1.334;1.235;0.328
1.6828E+12;2023-04-29T22:39:37.101;0.2;0.755;1.395;0.259
1.6828E+12;2023-04-29T22:39:37.111;0.21;0.137;1.341;0.213
1.6828E+12;2023-04-29T22:39:37.121;0.22;-0.305;1.288;0.061
1.6828E+12;2023-04-29T22:39:37.131;0.23;-0.739;1.433;-0.099
1.6828E+12;2023-04-29T22:39:37.141;0.24;-1.159;1.242;-0.107
1.6828E+12;2023-04-29T22:39:37.151;0.25;-1.273;1.098;-0.145
1.6828E+12;2023-04-29T22:39:37.161;0.26;-1.25;1.029;-0.107
1.6828E+12;2023-04-29T22:39:37.171;0.27;-1.082;1.006;-0.069
1.6828E+12;2023-04-29T22:39:37.181;0.28;-0.755;0.816;0.084
1.6828E+12;2023-04-29T22:39:37.191;0.29;-0.145;0.602;0.16
1.6828E+12;2023-04-29T22:39:37.201;0.3;0.595;0.511;0.29
1.6828E+12;2023-04-29T22:39:37.211;0.31;1.326;0.389;0.412
1.6828E+12;2023-04-29T22:39:37.221;0.32;2.149;0.343;0.389
1.6828E+12;2023-04-29T22:39:37.231;0.33;3.041;0.534;0.442
1.6828E+12;2023-04-29T22:39:37.241;0.34;3.689;0.465;0.579
1.6828E+12;2023-04-29T22:39:37.251;0.35;3.636;0.213;0.633
1.6828E+12;2023-04-29T22:39:37.261;0.36;3.651;0.305;0.739
1.6828E+12;2023-04-29T22:39:37.271;0.37;3.537;0.434;0.755
1.6828E+12;2023-04-29T22:39:37.281;0.38;3.186;0.305;0.724
1.6828E+12;2023-04-29T22:39:37.291;0.39;2.805;0.259;0.595
1.6828E+12;2023-04-29T22:39:37.301;0.4;2.134;0.267;0.29
1.6828E+12;2023-04-29T22:39:37.311;0.41;1.41;0.381;0.069
1.6828E+12;2023-04-29T22:39:37.321;0.42;0.93;0.595;0.015
1.6828E+12;2023-04-29T22:39:37.331;0.43;0.335;0.755;-0.03
1.6828E+12;2023-04-29T22:39:37.341;0.44;-0.556;0.625;-0.259
