epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.6819E+12;2023-04-19T12:02:33.025;0;0.122;4.55;1.181
1.6819E+12;2023-04-19T12:02:33.035;0.01;0.244;4.413;1.09
1.6819E+12;2023-04-19T12:02:33.045;0.02;0.953;3.468;0.938
1.6819E+12;2023-04-19T12:02:33.055;0.03;2.325;3.201;2.058
1.6819E+12;2023-04-19T12:02:33.065;0.04;4.017;3.422;2.317
1.6819E+12;2023-04-19T12:02:33.075;0.05;6.105;3.849;2.447
1.6819E+12;2023-04-19T12:02:33.085;0.06;8.407;3.841;2.721
1.6819E+12;2023-04-19T12:02:33.095;0.07;9.756;3.796;2.919
1.6819E+12;2023-04-19T12:02:33.105;0.08;10.335;4.207;2.95
1.6819E+12;2023-04-19T12:02:33.115;0.09;10.587;4.588;3.034
1.6819E+12;2023-04-19T12:02:33.125;0.1;10.922;4.55;3.186
1.6819E+12;2023-04-19T12:02:33.135;0.11;11.38;4.52;3.514
1.6819E+12;2023-04-19T12:02:33.145;0.12;12.332;4.39;3.689
1.6819E+12;2023-04-19T12:02:33.155;0.13;13.453;4.672;3.712
1.6819E+12;2023-04-19T12:02:33.165;0.14;13.826;5.381;3.849
1.6819E+12;2023-04-19T12:02:33.175;0.15;14.101;5.877;3.841
1.6819E+12;2023-04-19T12:02:33.185;0.16;14.345;6.357;3.659
1.6819E+12;2023-04-19T12:02:33.195;0.17;14.223;6.829;3.643
1.6819E+12;2023-04-19T12:02:33.205;0.18;13.697;7.386;3.674
1.6819E+12;2023-04-19T12:02:33.215;0.19;12.835;8.003;3.483
1.6819E+12;2023-04-19T12:02:33.225;0.2;12.256;7.706;3.095
1.6819E+12;2023-04-19T12:02:33.235;0.21;11.654;7.066;2.637
1.6819E+12;2023-04-19T12:02:33.245;0.22;10.8;6.502;2.546
1.6819E+12;2023-04-19T12:02:33.255;0.23;10.473;6.448;2.652
1.6819E+12;2023-04-19T12:02:33.265;0.24;11.25;7.21;2.767
1.6819E+12;2023-04-19T12:02:33.275;0.25;12.736;7.904;2.538
1.6819E+12;2023-04-19T12:02:33.285;0.26;13.72;8.521;2.424
1.6819E+12;2023-04-19T12:02:33.295;0.27;14.093;8.506;2.63
1.6819E+12;2023-04-19T12:02:33.305;0.28;14.672;7.53;3.072
1.6819E+12;2023-04-19T12:02:33.315;0.29;15.32;6.517;3.224
1.6819E+12;2023-04-19T12:02:33.325;0.3;15.053;5.716;3.14
1.6819E+12;2023-04-19T12:02:33.335;0.31;13.659;4.863;3.034
1.6819E+12;2023-04-19T12:02:33.345;0.32;12.066;4.505;3.133
1.6819E+12;2023-04-19T12:02:33.355;0.33;10.93;4.718;3.064
1.6819E+12;2023-04-19T12:02:33.365;0.34;9.977;4.954;2.744
1.6819E+12;2023-04-19T12:02:33.375;0.35;8.887;5.541;2.309
1.6819E+12;2023-04-19T12:02:33.385;0.36;7.355;5.877;2.134
1.6819E+12;2023-04-19T12:02:33.395;0.37;6.105;5.694;1.974
1.6819E+12;2023-04-19T12:02:33.405;0.38;5.091;4.909;2.149
1.6819E+12;2023-04-19T12:02:33.415;0.39;4.276;3.666;2.149
1.6819E+12;2023-04-19T12:02:33.425;0.4;3.605;2.553;2.058
1.6819E+12;2023-04-19T12:02:33.435;0.41;2.835;1.319;2.111
1.6819E+12;2023-04-19T12:02:33.445;0.42;2.508;0.381;2.188
1.6819E+12;2023-04-19T12:02:33.455;0.43;2.607;-0.015;2.203
1.6819E+12;2023-04-19T12:02:33.465;0.44;2.942;0.03;2.096
1.6819E+12;2023-04-19T12:02:33.475;0.45;3.445;0.076;1.951
1.6819E+12;2023-04-19T12:02:33.485;0.46;4.055;0;1.944
1.6819E+12;2023-04-19T12:02:33.495;0.47;4.695;-0.313;2.134
1.6819E+12;2023-04-19T12:02:33.505;0.48;5.877;-1.204;2.424
1.6819E+12;2023-04-19T12:02:33.515;0.49;7.569;-2.256;2.851
1.6819E+12;2023-04-19T12:02:33.525;0.5;9.322;-2.523;3.293
1.6819E+12;2023-04-19T12:02:33.535;0.51;11.441;-2.866;3.659
1.6819E+12;2023-04-19T12:02:33.545;0.52;13.011;-3.803;4.162
1.6819E+12;2023-04-19T12:02:33.555;0.53;13.849;-4.322;4.573
1.6819E+12;2023-04-19T12:02:33.565;0.54;14.375;-5.015;4.771
1.6819E+12;2023-04-19T12:02:33.575;0.55;15.244;-5.8;4.703
1.6819E+12;2023-04-19T12:02:33.585;0.56;16.151;-6.608;4.581
1.6819E+12;2023-04-19T12:02:33.595;0.57;16.28;-6.768;4.436
1.6819E+12;2023-04-19T12:02:33.605;0.58;15.465;-6.098;4.444
1.6819E+12;2023-04-19T12:02:33.615;0.59;13.659;-5.252;4.459
1.6819E+12;2023-04-19T12:02:33.625;0.6;11.86;-4.581;4.329
1.6819E+12;2023-04-19T12:02:33.635;0.61;10.168;-4.695;3.864
