epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68198E+12;2023-04-20T09:45:43.666;0;-4.863;0.373;6.479
1.68198E+12;2023-04-20T09:45:43.676;0.01;-4.703;-1.128;3.537
1.68198E+12;2023-04-20T09:45:43.686;0.02;-4.931;-1.12;4.444
1.68198E+12;2023-04-20T09:45:43.696;0.03;-5.023;-1.425;5.457
1.68198E+12;2023-04-20T09:45:43.706;0.04;-4.444;-1.913;5.899
1.68198E+12;2023-04-20T09:45:43.716;0.05;-3.216;-2.18;6.425
1.68198E+12;2023-04-20T09:45:43.726;0.06;-1.555;-2.462;6.875
1.68198E+12;2023-04-20T09:45:43.736;0.07;0.191;-2.561;7.127
1.68198E+12;2023-04-20T09:45:43.746;0.08;2.325;-2.645;7.233
1.68198E+12;2023-04-20T09:45:43.756;0.09;4.123;-2.851;7.096
1.68198E+12;2023-04-20T09:45:43.766;0.1;4.916;-3.087;6.822
1.68198E+12;2023-04-20T09:45:43.776;0.11;5.549;-3.316;6.593
1.68198E+12;2023-04-20T09:45:43.786;0.12;6.136;-3.079;6.509
1.68198E+12;2023-04-20T09:45:43.796;0.13;6.692;-2.98;6.326
1.68198E+12;2023-04-20T09:45:43.806;0.14;7.47;-3.018;6.212
1.68198E+12;2023-04-20T09:45:43.816;0.15;8.346;-2.95;6.159
1.68198E+12;2023-04-20T09:45:43.826;0.16;9.23;-2.767;5.854
1.68198E+12;2023-04-20T09:45:43.836;0.17;9.817;-2.508;5.381
1.68198E+12;2023-04-20T09:45:43.846;0.18;10.091;-2.37;4.787
1.68198E+12;2023-04-20T09:45:43.856;0.19;9.787;-2.355;4.04
1.68198E+12;2023-04-20T09:45:43.866;0.2;9.375;-2.736;3.476
1.68198E+12;2023-04-20T09:45:43.876;0.21;9.085;-2.942;3.369
1.68198E+12;2023-04-20T09:45:43.886;0.22;8.956;-2.881;3.209
1.68198E+12;2023-04-20T09:45:43.896;0.23;9.223;-2.912;2.858
1.68198E+12;2023-04-20T09:45:43.906;0.24;10.16;-3.041;2.576
1.68198E+12;2023-04-20T09:45:43.916;0.25;12.363;-3.262;2.454
1.68198E+12;2023-04-20T09:45:43.926;0.26;14.718;-3.239;2.47
1.68198E+12;2023-04-20T09:45:43.936;0.27;15.625;-2.79;2.447
1.68198E+12;2023-04-20T09:45:43.946;0.28;15.373;-2.409;2.195
1.68198E+12;2023-04-20T09:45:43.956;0.29;14.169;-2.096;1.7
1.68198E+12;2023-04-20T09:45:43.966;0.3;11.745;-1.867;1.136
1.68198E+12;2023-04-20T09:45:43.976;0.31;8.552;-2.027;0.854
1.68198E+12;2023-04-20T09:45:43.986;0.32;6.006;-2.226;0.899
1.68198E+12;2023-04-20T09:45:43.996;0.33;5.061;-2.302;1.143
1.68198E+12;2023-04-20T09:45:44.006;0.34;5.884;-2.462;1.456
1.68198E+12;2023-04-20T09:45:44.016;0.35;7.927;-2.843;1.616
1.68198E+12;2023-04-20T09:45:44.026;0.36;9.947;-2.858;1.654
1.68198E+12;2023-04-20T09:45:44.036;0.37;11.578;-2.744;1.41
1.68198E+12;2023-04-20T09:45:44.046;0.38;12.104;-2.645;1.151
1.68198E+12;2023-04-20T09:45:44.056;0.39;11.471;-2.576;0.938
1.68198E+12;2023-04-20T09:45:44.066;0.4;10.534;-2.416;0.77
1.68198E+12;2023-04-20T09:45:44.076;0.41;9.284;-2.127;0.541
1.68198E+12;2023-04-20T09:45:44.086;0.42;8.209;-1.776;0.404
1.68198E+12;2023-04-20T09:45:44.096;0.43;7.713;-1.555;0.29
1.68198E+12;2023-04-20T09:45:44.106;0.44;7.805;-1.646;0.183
1.68198E+12;2023-04-20T09:45:44.116;0.45;7.973;-1.799;-0.015
1.68198E+12;2023-04-20T09:45:44.126;0.46;8.598;-1.936;0.099
1.68198E+12;2023-04-20T09:45:44.136;0.47;8.88;-2.035;0.236
1.68198E+12;2023-04-20T09:45:44.146;0.48;8.59;-1.982;0.427
1.68198E+12;2023-04-20T09:45:44.156;0.49;8.117;-1.921;0.61
1.68198E+12;2023-04-20T09:45:44.166;0.5;7.218;-1.593;0.816
1.68198E+12;2023-04-20T09:45:44.176;0.51;5.48;-1.334;0.869
1.68198E+12;2023-04-20T09:45:44.186;0.52;3.575;-0.96;0.945
1.68198E+12;2023-04-20T09:45:44.196;0.53;2.073;-0.587;1.006
1.68198E+12;2023-04-20T09:45:44.206;0.54;0.633;-0.45;0.976
1.68198E+12;2023-04-20T09:45:44.216;0.55;-0.892;-0.297;0.831
1.68198E+12;2023-04-20T09:45:44.226;0.56;-2.363;-0.069;0.762
1.68198E+12;2023-04-20T09:45:44.236;0.57;-3.544;0.076;0.823
1.68198E+12;2023-04-20T09:45:44.246;0.58;-4.741;0.213;1.014
1.68198E+12;2023-04-20T09:45:44.256;0.59;-5.716;0.534;1.174
1.68198E+12;2023-04-20T09:45:44.266;0.6;-6.41;0.709;1.273
1.68198E+12;2023-04-20T09:45:44.276;0.61;-6.875;0.777;1.425
1.68198E+12;2023-04-20T09:45:44.286;0.62;-6.974;0.8;1.715
1.68198E+12;2023-04-20T09:45:44.296;0.63;-6.463;0.732;2.149
1.68198E+12;2023-04-20T09:45:44.306;0.64;-5.252;0.541;2.401
1.68198E+12;2023-04-20T09:45:44.316;0.65;-4.078;0.427;2.462
1.68198E+12;2023-04-20T09:45:44.326;0.66;-3.133;0.168;2.409
1.68198E+12;2023-04-20T09:45:44.336;0.67;-2.523;0.152;2.248
1.68198E+12;2023-04-20T09:45:44.346;0.68;-2.668;0.274;2.195
1.68198E+12;2023-04-20T09:45:44.356;0.69;-2.934;0.442;2.256
1.68198E+12;2023-04-20T09:45:44.366;0.7;-2.851;0.351;2.165
1.68198E+12;2023-04-20T09:45:44.376;0.71;-2.416;0.03;2.21
1.68198E+12;2023-04-20T09:45:44.386;0.72;-1.829;-0.221;2.165
1.68198E+12;2023-04-20T09:45:44.396;0.73;-1.616;-0.503;2.027
1.68198E+12;2023-04-20T09:45:44.406;0.74;-1.509;-0.831;2.058
1.68198E+12;2023-04-20T09:45:44.416;0.75;-0.846;-1.189;2.248
1.68198E+12;2023-04-20T09:45:44.426;0.76;0.114;-1.456;2.287
1.68198E+12;2023-04-20T09:45:44.436;0.77;0.953;-1.357;2.302
1.68198E+12;2023-04-20T09:45:44.446;0.78;1.837;-1.151;2.332
1.68198E+12;2023-04-20T09:45:44.456;0.79;2.027;-0.595;2.363
1.68198E+12;2023-04-20T09:45:44.466;0.8;1.723;-0.107;2.096
1.68198E+12;2023-04-20T09:45:44.476;0.81;1.28;-0.076;1.738
1.68198E+12;2023-04-20T09:45:44.486;0.82;0.831;-0.152;1.288
1.68198E+12;2023-04-20T09:45:44.496;0.83;0.427;-0.473;1.052
1.68198E+12;2023-04-20T09:45:44.506;0.84;-0.122;-0.777;0.861
1.68198E+12;2023-04-20T09:45:44.516;0.85;-0.556;-0.915;0.816
1.68198E+12;2023-04-20T09:45:44.526;0.86;-0.419;-0.884;0.907
1.68198E+12;2023-04-20T09:45:44.536;0.87;0.084;-0.762;0.861
1.68198E+12;2023-04-20T09:45:44.546;0.88;0.389;-0.503;0.77
