epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681555290026,2023-04-15T12.41.30.026,0.000,-1.055,0.010,-0.093
1681555290036,2023-04-15T12.41.30.036,0.010,-1.072,0.012,-0.101
1681555290046,2023-04-15T12.41.30.046,0.020,-1.069,0.006,-0.097
1681555290056,2023-04-15T12.41.30.056,0.030,-1.057,-0.001,-0.091
1681555290066,2023-04-15T12.41.30.066,0.040,-1.058,-0.002,-0.095
1681555290076,2023-04-15T12.41.30.076,0.050,-1.063,-0.008,-0.100
1681555290086,2023-04-15T12.41.30.086,0.060,-1.050,-0.013,-0.093
1681555290096,2023-04-15T12.41.30.096,0.070,-1.049,-0.009,-0.092
1681555290106,2023-04-15T12.41.30.106,0.080,-1.059,-0.005,-0.100
1681555290116,2023-04-15T12.41.30.116,0.090,-1.061,-0.002,-0.100
1681555290126,2023-04-15T12.41.30.126,0.100,-1.057,0.003,-0.100
1681555290136,2023-04-15T12.41.30.136,0.110,-1.055,0.006,-0.096
1681555290146,2023-04-15T12.41.30.146,0.120,-1.053,0.004,-0.093
1681555290156,2023-04-15T12.41.30.156,0.130,-1.057,0.004,-0.093
1681555290166,2023-04-15T12.41.30.166,0.140,-1.060,0.000,-0.091
1681555290176,2023-04-15T12.41.30.176,0.150,-1.064,-0.003,-0.094
1681555290186,2023-04-15T12.41.30.186,0.160,-1.063,-0.004,-0.096
1681555290196,2023-04-15T12.41.30.196,0.170,-1.061,-0.008,-0.096
1681555290206,2023-04-15T12.41.30.206,0.180,-1.057,-0.007,-0.096
1681555290216,2023-04-15T12.41.30.216,0.190,-1.064,-0.004,-0.106
1681555290226,2023-04-15T12.41.30.226,0.200,-1.063,-0.005,-0.106
1681555290236,2023-04-15T12.41.30.236,0.210,-1.050,-0.008,-0.102
1681555290246,2023-04-15T12.41.30.246,0.220,-1.049,-0.009,-0.096
1681555290256,2023-04-15T12.41.30.256,0.230,-1.049,-0.008,-0.098
1681555290266,2023-04-15T12.41.30.266,0.240,-1.063,-0.004,-0.101
1681555290276,2023-04-15T12.41.30.276,0.250,-1.062,-0.003,-0.095
1681555290286,2023-04-15T12.41.30.286,0.260,-1.053,0.001,-0.091
1681555290296,2023-04-15T12.41.30.296,0.270,-1.061,0.003,-0.094
1681555290306,2023-04-15T12.41.30.306,0.280,-1.061,-0.001,-0.098
1681555290316,2023-04-15T12.41.30.316,0.290,-1.056,-0.001,-0.097
1681555290326,2023-04-15T12.41.30.326,0.300,-1.059,-0.002,-0.098
1681555290336,2023-04-15T12.41.30.336,0.310,-1.055,-0.003,-0.100
1681555290346,2023-04-15T12.41.30.346,0.320,-1.059,-0.003,-0.103
1681555290356,2023-04-15T12.41.30.356,0.330,-1.060,-0.004,-0.102
1681555290366,2023-04-15T12.41.30.366,0.340,-1.058,-0.004,-0.100
1681555290376,2023-04-15T12.41.30.376,0.350,-1.052,-0.006,-0.099
1681555290386,2023-04-15T12.41.30.386,0.360,-1.055,-0.001,-0.098
1681555290396,2023-04-15T12.41.30.396,0.370,-1.059,-0.003,-0.096
1681555290406,2023-04-15T12.41.30.406,0.380,-1.055,-0.002,-0.093
1681555290416,2023-04-15T12.41.30.416,0.390,-1.067,0.001,-0.102
1681555290426,2023-04-15T12.41.30.426,0.400,-1.076,-0.001,-0.108
1681555290436,2023-04-15T12.41.30.436,0.410,-1.063,-0.002,-0.104
1681555290446,2023-04-15T12.41.30.446,0.420,-1.049,0.002,-0.102
1681555290456,2023-04-15T12.41.30.456,0.430,-1.050,0.004,-0.100
1681555290466,2023-04-15T12.41.30.466,0.440,-1.048,0.000,-0.096
1681555290476,2023-04-15T12.41.30.476,0.450,-1.049,-0.000,-0.092
1681555290486,2023-04-15T12.41.30.486,0.460,-1.058,0.003,-0.093
1681555290496,2023-04-15T12.41.30.496,0.470,-1.068,0.006,-0.095
1681555290506,2023-04-15T12.41.30.506,0.480,-1.073,0.006,-0.100
1681555290516,2023-04-15T12.41.30.516,0.490,-1.059,0.002,-0.097
1681555290526,2023-04-15T12.41.30.526,0.500,-1.047,-0.001,-0.092
1681555290536,2023-04-15T12.41.30.536,0.510,-1.051,-0.002,-0.094
1681555290546,2023-04-15T12.41.30.546,0.520,-1.062,-0.004,-0.097
1681555290556,2023-04-15T12.41.30.556,0.530,-1.063,-0.005,-0.091
1681555290566,2023-04-15T12.41.30.566,0.540,-1.058,-0.002,-0.083
1681555290576,2023-04-15T12.41.30.576,0.550,-1.054,0.004,-0.090
1681555290586,2023-04-15T12.41.30.586,0.560,-1.058,0.010,-0.096
1681555290596,2023-04-15T12.41.30.596,0.570,-1.066,0.006,-0.102
1681555290606,2023-04-15T12.41.30.606,0.580,-1.062,0.003,-0.099
1681555290616,2023-04-15T12.41.30.616,0.590,-1.058,0.004,-0.101
1681555290626,2023-04-15T12.41.30.626,0.600,-1.053,-0.000,-0.101
1681555290636,2023-04-15T12.41.30.636,0.610,-1.054,-0.003,-0.099
1681555290646,2023-04-15T12.41.30.646,0.620,-1.056,-0.004,-0.098
1681555290656,2023-04-15T12.41.30.656,0.630,-1.058,0.002,-0.096
1681555290666,2023-04-15T12.41.30.666,0.640,-1.052,0.008,-0.097
1681555290676,2023-04-15T12.41.30.676,0.650,-1.054,0.011,-0.094
1681555290686,2023-04-15T12.41.30.686,0.660,-1.069,0.012,-0.099
1681555290696,2023-04-15T12.41.30.696,0.670,-1.062,0.005,-0.095
1681555290706,2023-04-15T12.41.30.706,0.680,-1.049,0.003,-0.089
1681555290716,2023-04-15T12.41.30.716,0.690,-1.053,0.005,-0.091
1681555290726,2023-04-15T12.41.30.726,0.700,-1.066,0.002,-0.097
1681555290736,2023-04-15T12.41.30.736,0.710,-1.068,0.000,-0.098
1681555290746,2023-04-15T12.41.30.746,0.720,-1.062,0.001,-0.096
1681555290756,2023-04-15T12.41.30.756,0.730,-1.055,0.006,-0.090
1681555290766,2023-04-15T12.41.30.766,0.740,-1.048,0.009,-0.092
1681555290776,2023-04-15T12.41.30.776,0.750,-1.046,0.008,-0.087
1681555290786,2023-04-15T12.41.30.786,0.760,-1.054,0.005,-0.091
1681555290796,2023-04-15T12.41.30.796,0.770,-1.068,0.003,-0.094
1681555290806,2023-04-15T12.41.30.806,0.780,-1.067,0.001,-0.096
1681555290816,2023-04-15T12.41.30.816,0.790,-1.054,0.002,-0.095
1681555290826,2023-04-15T12.41.30.826,0.800,-1.056,0.002,-0.094
1681555290836,2023-04-15T12.41.30.836,0.810,-1.061,0.000,-0.097
1681555290846,2023-04-15T12.41.30.846,0.820,-1.053,-0.000,-0.094
1681555290856,2023-04-15T12.41.30.856,0.830,-1.052,0.005,-0.100
1681555290866,2023-04-15T12.41.30.866,0.840,-1.049,0.004,-0.093
1681555290876,2023-04-15T12.41.30.876,0.850,-1.052,0.006,-0.093
1681555290886,2023-04-15T12.41.30.886,0.860,-1.066,0.005,-0.101
1681555290896,2023-04-15T12.41.30.896,0.870,-1.071,0.003,-0.099
1681555290906,2023-04-15T12.41.30.906,0.880,-1.058,0.002,-0.097
1681555290916,2023-04-15T12.41.30.916,0.890,-1.056,0.002,-0.100
1681555290926,2023-04-15T12.41.30.926,0.900,-1.055,-0.001,-0.096
1681555290936,2023-04-15T12.41.30.936,0.910,-1.055,-0.008,-0.094
1681555290946,2023-04-15T12.41.30.946,0.920,-1.055,-0.006,-0.095
1681555290956,2023-04-15T12.41.30.956,0.930,-1.060,-0.000,-0.097
1681555290966,2023-04-15T12.41.30.966,0.940,-1.064,0.002,-0.096
1681555290976,2023-04-15T12.41.30.976,0.950,-1.059,0.004,-0.096
1681555290986,2023-04-15T12.41.30.986,0.960,-1.051,0.006,-0.095
1681555290996,2023-04-15T12.41.30.996,0.970,-1.051,0.007,-0.097
1681555291006,2023-04-15T12.41.31.006,0.980,-1.057,0.006,-0.096
1681555291016,2023-04-15T12.41.31.016,0.990,-1.058,0.002,-0.094
1681555291026,2023-04-15T12.41.31.026,1.000,-1.064,-0.004,-0.095
1681555291036,2023-04-15T12.41.31.036,1.010,-1.071,-0.004,-0.096
1681555291046,2023-04-15T12.41.31.046,1.020,-1.066,-0.002,-0.098
1681555291056,2023-04-15T12.41.31.056,1.030,-1.062,-0.001,-0.100
1681555291066,2023-04-15T12.41.31.066,1.040,-1.053,0.001,-0.096
1681555291076,2023-04-15T12.41.31.076,1.050,-1.045,-0.000,-0.093
1681555291086,2023-04-15T12.41.31.086,1.060,-1.049,0.003,-0.093
1681555291096,2023-04-15T12.41.31.096,1.070,-1.054,0.001,-0.092
1681555291106,2023-04-15T12.41.31.106,1.080,-1.059,0.001,-0.092
1681555291116,2023-04-15T12.41.31.116,1.090,-1.063,0.002,-0.095
1681555291126,2023-04-15T12.41.31.126,1.100,-1.073,-0.001,-0.095
1681555291136,2023-04-15T12.41.31.136,1.110,-1.068,-0.007,-0.095
1681555291146,2023-04-15T12.41.31.146,1.120,-1.062,-0.002,-0.097
1681555291156,2023-04-15T12.41.31.156,1.130,-1.052,0.001,-0.099
1681555291166,2023-04-15T12.41.31.166,1.140,-1.050,-0.001,-0.102
1681555291176,2023-04-15T12.41.31.176,1.150,-1.051,0.000,-0.103
1681555291186,2023-04-15T12.41.31.186,1.160,-1.052,-0.001,-0.095
1681555291196,2023-04-15T12.41.31.196,1.170,-1.054,0.003,-0.091
1681555291206,2023-04-15T12.41.31.206,1.180,-1.065,0.008,-0.095
1681555291216,2023-04-15T12.41.31.216,1.190,-1.065,0.007,-0.092
1681555291226,2023-04-15T12.41.31.226,1.200,-1.058,0.005,-0.093
1681555291236,2023-04-15T12.41.31.236,1.210,-1.059,-0.000,-0.093
1681555291246,2023-04-15T12.41.31.246,1.220,-1.060,-0.006,-0.095
1681555291256,2023-04-15T12.41.31.256,1.230,-1.055,-0.007,-0.093
1681555291266,2023-04-15T12.41.31.266,1.240,-1.056,-0.007,-0.096
1681555291276,2023-04-15T12.41.31.276,1.250,-1.061,-0.002,-0.099
1681555291286,2023-04-15T12.41.31.286,1.260,-1.056,0.004,-0.098
1681555291296,2023-04-15T12.41.31.296,1.270,-1.055,0.006,-0.099
