epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681555290027,2023-04-15T12.41.30.027,0.000,-2.119,-0.191,-0.084
1681555290037,2023-04-15T12.41.30.037,0.010,-2.043,0.053,-0.213
1681555290047,2023-04-15T12.41.30.047,0.020,-2.248,-0.122,-0.236
1681555290057,2023-04-15T12.41.30.057,0.030,-1.974,0.274,0.061
1681555290067,2023-04-15T12.41.30.067,0.040,-1.174,0.274,0.069
1681555290077,2023-04-15T12.41.30.077,0.050,0.221,-0.534,0.061
1681555290087,2023-04-15T12.41.30.087,0.060,0.991,0.328,-0.038
1681555290097,2023-04-15T12.41.30.097,0.070,1.014,0.732,-0.381
1681555290107,2023-04-15T12.41.30.107,0.080,1.258,0.274,-0.488
1681555290117,2023-04-15T12.41.30.117,0.090,0.930,0.198,-0.442
1681555290127,2023-04-15T12.41.30.127,0.100,0.107,0.488,-0.381
1681555290137,2023-04-15T12.41.30.137,0.110,-0.701,0.541,-0.252
1681555290147,2023-04-15T12.41.30.147,0.120,-1.441,0.800,-0.160
1681555290157,2023-04-15T12.41.30.157,0.130,-1.921,1.044,-0.099
1681555290167,2023-04-15T12.41.30.167,0.140,-1.776,1.250,0.069
1681555290177,2023-04-15T12.41.30.177,0.150,-0.884,1.082,-0.084
1681555290187,2023-04-15T12.41.30.187,0.160,-0.069,0.450,-0.229
1681555290197,2023-04-15T12.41.30.197,0.170,-0.282,0.427,-0.107
1681555290207,2023-04-15T12.41.30.207,0.180,-0.488,0.968,-0.008
1681555290217,2023-04-15T12.41.30.217,0.190,-0.312,0.305,-0.023
1681555290227,2023-04-15T12.41.30.227,0.200,-0.213,0.008,0.076
1681555290237,2023-04-15T12.41.30.237,0.210,-0.099,0.328,0.076
1681555290247,2023-04-15T12.41.30.247,0.220,0.114,0.633,0.000
1681555290257,2023-04-15T12.41.30.257,0.230,0.312,0.816,-0.038
1681555290267,2023-04-15T12.41.30.267,0.240,0.724,0.122,0.145
1681555290277,2023-04-15T12.41.30.277,0.250,0.724,0.076,0.213
1681555290287,2023-04-15T12.41.30.287,0.260,0.473,0.716,0.175
1681555290297,2023-04-15T12.41.30.297,0.270,0.312,0.534,0.229
1681555290307,2023-04-15T12.41.30.307,0.280,0.114,0.252,0.343
1681555290317,2023-04-15T12.41.30.317,0.290,0.114,0.206,0.267
1681555290327,2023-04-15T12.41.30.327,0.300,0.534,-0.099,0.168
1681555290337,2023-04-15T12.41.30.337,0.310,0.457,0.305,0.137
1681555290347,2023-04-15T12.41.30.347,0.320,0.191,0.320,0.282
1681555290357,2023-04-15T12.41.30.357,0.330,0.541,-0.008,0.526
1681555290367,2023-04-15T12.41.30.367,0.340,0.831,-0.137,0.716
1681555290377,2023-04-15T12.41.30.377,0.350,0.991,0.114,0.633
1681555290387,2023-04-15T12.41.30.387,0.360,0.816,0.206,0.473
1681555290397,2023-04-15T12.41.30.397,0.370,0.998,0.267,0.351
1681555290407,2023-04-15T12.41.30.407,0.380,1.341,1.014,-0.015
1681555290417,2023-04-15T12.41.30.417,0.390,0.968,0.282,-0.137
1681555290427,2023-04-15T12.41.30.427,0.400,0.968,-1.082,0.252
1681555290437,2023-04-15T12.41.30.437,0.410,1.250,-1.021,0.511
1681555290447,2023-04-15T12.41.30.447,0.420,0.861,-0.602,0.678
1681555290457,2023-04-15T12.41.30.457,0.430,0.442,-0.404,0.838
1681555290467,2023-04-15T12.41.30.467,0.440,0.404,-0.008,0.854
1681555290477,2023-04-15T12.41.30.477,0.450,0.488,0.595,0.549
1681555290487,2023-04-15T12.41.30.487,0.460,0.465,0.998,0.053
1681555290497,2023-04-15T12.41.30.497,0.470,0.107,0.625,0.076
1681555290507,2023-04-15T12.41.30.507,0.480,-0.015,-0.617,0.297
1681555290517,2023-04-15T12.41.30.517,0.490,-0.114,-0.892,0.495
1681555290527,2023-04-15T12.41.30.527,0.500,-0.137,-0.069,0.556
1681555290537,2023-04-15T12.41.30.537,0.510,0.473,0.328,0.328
1681555290547,2023-04-15T12.41.30.547,0.520,0.861,-0.236,0.434
1681555290557,2023-04-15T12.41.30.557,0.530,1.105,-0.442,0.633
1681555290567,2023-04-15T12.41.30.567,0.540,1.578,-0.198,0.457
1681555290577,2023-04-15T12.41.30.577,0.550,1.410,0.191,0.107
1681555290587,2023-04-15T12.41.30.587,0.560,0.640,0.191,0.183
1681555290597,2023-04-15T12.41.30.597,0.570,0.145,-0.076,0.473
1681555290607,2023-04-15T12.41.30.607,0.580,-0.130,-0.312,0.610
1681555290617,2023-04-15T12.41.30.617,0.590,-0.160,-0.412,0.793
1681555290627,2023-04-15T12.41.30.627,0.600,0.434,-0.404,0.686
1681555290637,2023-04-15T12.41.30.637,0.610,1.570,-0.488,0.419
1681555290647,2023-04-15T12.41.30.647,0.620,1.944,-0.366,0.305
1681555290657,2023-04-15T12.41.30.657,0.630,1.631,-0.389,0.229
1681555290667,2023-04-15T12.41.30.667,0.640,0.922,0.046,0.099
1681555290677,2023-04-15T12.41.30.677,0.650,-0.465,0.800,0.023
1681555290687,2023-04-15T12.41.30.687,0.660,-0.823,-0.053,0.236
1681555290697,2023-04-15T12.41.30.697,0.670,-0.915,-0.267,0.404
1681555290707,2023-04-15T12.41.30.707,0.680,-1.105,0.709,0.381
1681555290717,2023-04-15T12.41.30.717,0.690,-0.739,0.953,0.069
1681555290727,2023-04-15T12.41.30.727,0.700,-0.015,0.023,0.061
1681555290737,2023-04-15T12.41.30.737,0.710,0.671,-0.732,0.137
1681555290747,2023-04-15T12.41.30.747,0.720,0.777,-0.724,0.137
1681555290757,2023-04-15T12.41.30.757,0.730,0.518,-0.549,0.107
1681555290767,2023-04-15T12.41.30.767,0.740,-0.053,-0.236,0.160
1681555290777,2023-04-15T12.41.30.777,0.750,-0.694,0.755,0.000
1681555290787,2023-04-15T12.41.30.787,0.760,-0.884,1.258,-0.221
1681555290797,2023-04-15T12.41.30.797,0.770,-0.602,0.457,-0.076
1681555290807,2023-04-15T12.41.30.807,0.780,-0.343,-0.389,0.168
1681555290817,2023-04-15T12.41.30.817,0.790,-0.206,-0.191,0.046
1681555290827,2023-04-15T12.41.30.827,0.800,-0.152,-0.244,0.000
1681555290837,2023-04-15T12.41.30.837,0.810,0.229,-0.587,0.023
1681555290847,2023-04-15T12.41.30.847,0.820,0.488,-0.396,-0.122
1681555290857,2023-04-15T12.41.30.857,0.830,0.221,-0.381,-0.221
1681555290867,2023-04-15T12.41.30.867,0.840,-0.381,0.549,-0.267
1681555290877,2023-04-15T12.41.30.877,0.850,-0.907,1.319,-0.419
1681555290887,2023-04-15T12.41.30.887,0.860,-0.899,0.762,-0.328
1681555290897,2023-04-15T12.41.30.897,0.870,-0.777,-0.023,0.008
1681555290907,2023-04-15T12.41.30.907,0.880,-0.953,0.137,0.221
1681555290917,2023-04-15T12.41.30.917,0.890,-0.793,0.183,0.175
1681555290927,2023-04-15T12.41.30.927,0.900,-0.267,0.274,0.030
1681555290937,2023-04-15T12.41.30.937,0.910,0.099,0.290,0.114
1681555290947,2023-04-15T12.41.30.947,0.920,0.640,0.450,-0.076
1681555290957,2023-04-15T12.41.30.957,0.930,1.029,0.160,-0.297
1681555290967,2023-04-15T12.41.30.967,0.940,0.953,-0.587,-0.267
1681555290977,2023-04-15T12.41.30.977,0.950,0.770,-0.739,-0.130
1681555290987,2023-04-15T12.41.30.987,0.960,0.358,-0.038,-0.160
1681555290997,2023-04-15T12.41.30.997,0.970,-0.008,0.534,-0.114
1681555291007,2023-04-15T12.41.31.007,0.980,-0.130,0.625,-0.213
1681555291017,2023-04-15T12.41.31.017,0.990,-0.259,1.006,-0.221
1681555291027,2023-04-15T12.41.31.027,1.000,-0.076,1.128,-0.130
1681555291037,2023-04-15T12.41.31.037,1.010,0.312,0.427,0.084
1681555291047,2023-04-15T12.41.31.047,1.020,0.503,-0.343,0.152
1681555291057,2023-04-15T12.41.31.057,1.030,0.686,-0.556,0.114
1681555291067,2023-04-15T12.41.31.067,1.040,0.655,-0.335,-0.008
1681555291077,2023-04-15T12.41.31.077,1.050,0.259,0.213,0.008
