epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1681555290020,2023-04-15T12:41:30.020,0.000,-174.675,-65.596,0.017,0.017
1681555290030,2023-04-15T12:41:30.030,0.010,-174.679,-65.603,0.033,0.033
1681555290040,2023-04-15T12:41:30.040,0.020,-174.682,-65.604,0.045,0.045
1681555290050,2023-04-15T12:41:30.050,0.030,-174.678,-65.602,0.048,0.048
1681555290060,2023-04-15T12:41:30.060,0.040,-174.671,-65.601,0.040,0.040
1681555290070,2023-04-15T12:41:30.070,0.050,-174.663,-65.600,0.031,0.031
1681555290080,2023-04-15T12:41:30.080,0.060,-174.656,-65.590,0.022,0.022
1681555290090,2023-04-15T12:41:30.090,0.070,-174.656,-65.585,0.021,0.021
1681555290100,2023-04-15T12:41:30.100,0.080,-174.656,-65.585,0.021,0.021
1681555290110,2023-04-15T12:41:30.110,0.090,-174.656,-65.586,0.021,0.021
1681555290120,2023-04-15T12:41:30.120,0.100,-174.656,-65.587,0.022,0.022
1681555290130,2023-04-15T12:41:30.130,0.110,-174.657,-65.589,0.022,0.022
1681555290140,2023-04-15T12:41:30.140,0.120,-174.653,-65.589,0.025,0.025
1681555290150,2023-04-15T12:41:30.150,0.130,-174.652,-65.590,0.035,0.035
1681555290160,2023-04-15T12:41:30.160,0.140,-174.650,-65.591,0.046,0.046
1681555290170,2023-04-15T12:41:30.170,0.150,-174.649,-65.592,0.059,0.059
1681555290180,2023-04-15T12:41:30.180,0.160,-174.646,-65.591,0.065,0.065
1681555290190,2023-04-15T12:41:30.190,0.170,-174.646,-65.592,0.065,0.065
1681555290200,2023-04-15T12:41:30.200,0.180,-174.646,-65.593,0.064,0.064
1681555290210,2023-04-15T12:41:30.210,0.190,-174.646,-65.593,0.064,0.064
1681555290220,2023-04-15T12:41:30.220,0.200,-174.646,-65.594,0.064,0.064
1681555290230,2023-04-15T12:41:30.230,0.210,-174.644,-65.593,0.073,0.073
1681555290240,2023-04-15T12:41:30.240,0.220,-174.644,-65.591,0.092,0.092
1681555290250,2023-04-15T12:41:30.250,0.230,-174.644,-65.590,0.108,0.108
1681555290260,2023-04-15T12:41:30.260,0.240,-174.643,-65.589,0.117,0.117
1681555290270,2023-04-15T12:41:30.270,0.250,-174.641,-65.582,0.114,0.114
1681555290280,2023-04-15T12:41:30.280,0.260,-174.638,-65.583,0.103,0.103
1681555290290,2023-04-15T12:41:30.290,0.270,-174.634,-65.584,0.091,0.091
1681555290300,2023-04-15T12:41:30.300,0.280,-174.629,-65.586,0.072,0.072
1681555290310,2023-04-15T12:41:30.310,0.290,-174.625,-65.580,0.055,0.055
1681555290320,2023-04-15T12:41:30.320,0.300,-174.625,-65.582,0.056,0.056
1681555290330,2023-04-15T12:41:30.330,0.310,-174.629,-65.584,0.068,0.068
1681555290340,2023-04-15T12:41:30.340,0.320,-174.629,-65.586,0.068,0.068
1681555290350,2023-04-15T12:41:30.350,0.330,-174.629,-65.587,0.068,0.068
1681555290360,2023-04-15T12:41:30.360,0.340,-174.628,-65.589,0.068,0.068
1681555290370,2023-04-15T12:41:30.370,0.350,-174.625,-65.583,0.055,0.055
1681555290380,2023-04-15T12:41:30.380,0.360,-174.621,-65.572,0.038,0.038
1681555290390,2023-04-15T12:41:30.390,0.370,-174.622,-65.566,0.038,0.038
1681555290400,2023-04-15T12:41:30.400,0.380,-174.622,-65.569,0.038,0.038
