epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1681555723570,2023-04-15T12:48:43.570,0.000,178.298,-73.870,0.001,0.001
1681555723580,2023-04-15T12:48:43.580,0.010,178.298,-73.870,0.001,0.001
1681555723590,2023-04-15T12:48:43.590,0.020,178.298,-73.864,0.001,0.001
1681555723600,2023-04-15T12:48:43.600,0.030,178.298,-73.857,0.001,0.001
1681555723610,2023-04-15T12:48:43.610,0.040,178.296,-73.851,0.009,0.009
1681555723620,2023-04-15T12:48:43.620,0.050,178.297,-73.851,0.009,0.009
1681555723630,2023-04-15T12:48:43.630,0.060,178.297,-73.851,0.009,0.009
1681555723640,2023-04-15T12:48:43.640,0.070,178.297,-73.851,0.008,0.008
1681555723650,2023-04-15T12:48:43.650,0.080,178.297,-73.845,0.009,0.009
1681555723660,2023-04-15T12:48:43.660,0.090,178.297,-73.838,0.009,0.009
1681555723670,2023-04-15T12:48:43.670,0.100,178.297,-73.832,0.009,0.009
1681555723680,2023-04-15T12:48:43.680,0.110,178.298,-73.833,0.008,0.008
1681555723690,2023-04-15T12:48:43.690,0.120,178.298,-73.833,0.008,0.008
1681555723700,2023-04-15T12:48:43.700,0.130,178.298,-73.833,0.008,0.008
1681555723710,2023-04-15T12:48:43.710,0.140,178.298,-73.833,0.007,0.007
1681555723720,2023-04-15T12:48:43.720,0.150,178.297,-73.834,0.015,0.015
1681555723730,2023-04-15T12:48:43.730,0.160,178.298,-73.828,0.015,0.015
1681555723740,2023-04-15T12:48:43.740,0.170,178.298,-73.820,0.015,0.015
1681555723750,2023-04-15T12:48:43.750,0.180,178.298,-73.813,0.015,0.015
1681555723760,2023-04-15T12:48:43.760,0.190,178.298,-73.807,0.015,0.015
1681555723770,2023-04-15T12:48:43.770,0.200,178.298,-73.800,0.015,0.015
1681555723780,2023-04-15T12:48:43.780,0.210,178.298,-73.792,0.015,0.015
1681555723790,2023-04-15T12:48:43.790,0.220,178.297,-73.785,0.024,0.024
1681555723800,2023-04-15T12:48:43.800,0.230,178.294,-73.780,0.035,0.035
1681555723810,2023-04-15T12:48:43.810,0.240,178.292,-73.780,0.048,0.048
1681555723820,2023-04-15T12:48:43.820,0.250,178.289,-73.780,0.060,0.060
1681555723830,2023-04-15T12:48:43.830,0.260,178.289,-73.780,0.060,0.060
1681555723840,2023-04-15T12:48:43.840,0.270,178.289,-73.773,0.060,0.060
1681555723850,2023-04-15T12:48:43.850,0.280,178.290,-73.765,0.060,0.060
1681555723860,2023-04-15T12:48:43.860,0.290,178.290,-73.757,0.061,0.061
1681555723870,2023-04-15T12:48:43.870,0.300,178.290,-73.749,0.061,0.061
1681555723880,2023-04-15T12:48:43.880,0.310,178.290,-73.743,0.061,0.061
1681555723890,2023-04-15T12:48:43.890,0.320,178.290,-73.742,0.061,0.061
1681555723900,2023-04-15T12:48:43.900,0.330,178.290,-73.735,0.061,0.061
1681555723910,2023-04-15T12:48:43.910,0.340,178.288,-73.728,0.072,0.072
1681555723920,2023-04-15T12:48:43.920,0.350,178.286,-73.720,0.082,0.082
1681555723930,2023-04-15T12:48:43.930,0.360,178.284,-73.713,0.092,0.092
1681555723940,2023-04-15T12:48:43.940,0.370,178.283,-73.708,0.100,0.100
1681555723950,2023-04-15T12:48:43.950,0.380,178.283,-73.703,0.108,0.108
1681555723960,2023-04-15T12:48:43.960,0.390,178.284,-73.699,0.106,0.106
1681555723970,2023-04-15T12:48:43.970,0.400,178.286,-73.694,0.105,0.105
1681555723980,2023-04-15T12:48:43.980,0.410,178.287,-73.687,0.104,0.104
1681555723990,2023-04-15T12:48:43.990,0.420,178.287,-73.680,0.103,0.103
1681555724000,2023-04-15T12:48:44.000,0.430,178.288,-73.671,0.103,0.103
1681555724010,2023-04-15T12:48:44.010,0.440,178.288,-73.663,0.103,0.103
1681555724020,2023-04-15T12:48:44.020,0.450,178.289,-73.656,0.102,0.102
1681555724030,2023-04-15T12:48:44.030,0.460,178.289,-73.651,0.102,0.102
1681555724040,2023-04-15T12:48:44.040,0.470,178.290,-73.651,0.101,0.101
1681555724050,2023-04-15T12:48:44.050,0.480,178.290,-73.652,0.100,0.100
1681555724060,2023-04-15T12:48:44.060,0.490,178.291,-73.653,0.100,0.100
1681555724070,2023-04-15T12:48:44.070,0.500,178.291,-73.647,0.100,0.100
1681555724080,2023-04-15T12:48:44.080,0.510,178.292,-73.640,0.099,0.099
1681555724090,2023-04-15T12:48:44.090,0.520,178.292,-73.633,0.099,0.099
1681555724100,2023-04-15T12:48:44.100,0.530,178.292,-73.633,0.099,0.099
1681555724110,2023-04-15T12:48:44.110,0.540,178.293,-73.633,0.098,0.098
1681555724120,2023-04-15T12:48:44.120,0.550,178.293,-73.634,0.098,0.098
1681555724130,2023-04-15T12:48:44.130,0.560,178.293,-73.634,0.097,0.097
