epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1680987320500,2023-04-08T22:55:20.500,0.000,170.905,-78.838,0.065,0.065
1680987320510,2023-04-08T22:55:20.510,0.010,170.844,-78.793,0.125,0.125
1680987320520,2023-04-08T22:55:20.520,0.020,170.785,-78.748,0.184,0.184
1680987320530,2023-04-08T22:55:20.530,0.030,170.727,-78.707,0.240,0.240
1680987320540,2023-04-08T22:55:20.540,0.040,170.689,-78.679,0.284,0.284
1680987320550,2023-04-08T22:55:20.550,0.050,170.659,-78.655,0.328,0.328
1680987320560,2023-04-08T22:55:20.560,0.060,170.638,-78.640,0.375,0.375
1680987320570,2023-04-08T22:55:20.570,0.070,170.634,-78.633,0.422,0.422
1680987320580,2023-04-08T22:55:20.580,0.080,170.634,-78.625,0.479,0.479
1680987320590,2023-04-08T22:55:20.590,0.090,170.643,-78.623,0.549,0.549
1680987320600,2023-04-08T22:55:20.600,0.100,170.660,-78.628,0.630,0.630
1680987320610,2023-04-08T22:55:20.610,0.110,170.684,-78.640,0.719,0.719
1680987320620,2023-04-08T22:55:20.620,0.120,170.714,-78.655,0.810,0.810
1680987320630,2023-04-08T22:55:20.630,0.130,170.747,-78.673,0.905,0.905
1680987320640,2023-04-08T22:55:20.640,0.140,170.779,-78.692,1.008,1.008
1680987320650,2023-04-08T22:55:20.650,0.150,170.639,-78.536,1.299,1.299
1680987320660,2023-04-08T22:55:20.660,0.160,170.526,-78.413,1.545,1.545
1680987320670,2023-04-08T22:55:20.670,0.170,170.432,-78.316,1.753,1.753
1680987320680,2023-04-08T22:55:20.680,0.180,170.346,-78.227,1.939,1.939
1680987320690,2023-04-08T22:55:20.690,0.190,170.266,-78.143,2.103,2.103
1680987320700,2023-04-08T22:55:20.700,0.200,170.193,-78.066,2.247,2.247
1680987320710,2023-04-08T22:55:20.710,0.210,170.105,-77.971,2.389,2.389
1680987320720,2023-04-08T22:55:20.720,0.220,169.970,-77.813,2.560,2.560
1680987320730,2023-04-08T22:55:20.730,0.230,169.946,-77.767,2.587,2.587
1680987320740,2023-04-08T22:55:20.740,0.240,169.914,-77.709,2.611,2.611
1680987320750,2023-04-08T22:55:20.750,0.250,169.896,-77.680,2.610,2.610
1680987320760,2023-04-08T22:55:20.760,0.260,169.917,-77.712,2.540,2.540
1680987320770,2023-04-08T22:55:20.770,0.270,169.968,-77.796,2.400,2.400
1680987320780,2023-04-08T22:55:20.780,0.280,170.022,-77.881,2.258,2.258
1680987320790,2023-04-08T22:55:20.790,0.290,170.069,-77.944,2.167,2.167
1680987320800,2023-04-08T22:55:20.800,0.300,170.115,-77.992,2.117,2.117
1680987320810,2023-04-08T22:55:20.810,0.310,170.158,-78.012,2.100,2.100
1680987320820,2023-04-08T22:55:20.820,0.320,170.188,-77.990,2.135,2.135
1680987320830,2023-04-08T22:55:20.830,0.330,170.201,-77.947,2.216,2.216
1680987320840,2023-04-08T22:55:20.840,0.340,170.203,-77.908,2.269,2.269
1680987320850,2023-04-08T22:55:20.850,0.350,170.200,-77.901,2.227,2.227
1680987320860,2023-04-08T22:55:20.860,0.360,170.218,-77.939,2.051,2.051
1680987320870,2023-04-08T22:55:20.870,0.370,170.274,-78.018,1.777,1.777
1680987320880,2023-04-08T22:55:20.880,0.380,170.374,-78.115,1.467,1.467
1680987320890,2023-04-08T22:55:20.890,0.390,170.493,-78.193,1.156,1.156
1680987320900,2023-04-08T22:55:20.900,0.400,170.592,-78.244,0.899,0.899
1680987320910,2023-04-08T22:55:20.910,0.410,170.654,-78.285,0.707,0.707
1680987320920,2023-04-08T22:55:20.920,0.420,170.683,-78.325,0.570,0.570
1680987320930,2023-04-08T22:55:20.930,0.430,170.702,-78.370,0.488,0.488
1680987320940,2023-04-08T22:55:20.940,0.440,170.724,-78.417,0.478,0.478
1680987320950,2023-04-08T22:55:20.950,0.450,170.751,-78.447,0.538,0.538
1680987320960,2023-04-08T22:55:20.960,0.460,170.777,-78.454,0.660,0.660
1680987320970,2023-04-08T22:55:20.970,0.470,170.798,-78.445,0.847,0.847
1680987320980,2023-04-08T22:55:20.980,0.480,170.814,-78.417,1.071,1.071
1680987320990,2023-04-08T22:55:20.990,0.490,170.825,-78.366,1.306,1.306
1680987321000,2023-04-08T22:55:21.000,0.500,170.834,-78.301,1.553,1.553
1680987321010,2023-04-08T22:55:21.010,0.510,170.853,-78.230,1.793,1.793
1680987321020,2023-04-08T22:55:21.020,0.520,170.887,-78.139,1.953,1.953
1680987321030,2023-04-08T22:55:21.030,0.530,170.933,-78.013,1.953,1.953
1680987321040,2023-04-08T22:55:21.040,0.540,170.975,-77.842,1.858,1.858
1680987321050,2023-04-08T22:55:21.050,0.550,170.991,-77.641,1.782,1.782
1680987321060,2023-04-08T22:55:21.060,0.560,170.971,-77.430,1.749,1.749
1680987321070,2023-04-08T22:55:21.070,0.570,170.918,-77.220,1.746,1.746
1680987321080,2023-04-08T22:55:21.080,0.580,170.853,-77.013,1.787,1.787
