epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679512373552,2023-03-22T20:12:53.552,0.000,-0.084,0.572,0.808
1679512373562,2023-03-22T20:12:53.562,0.010,0.221,0.434,-0.381
1679512373572,2023-03-22T20:12:53.572,0.020,0.244,0.762,0.351
1679512373582,2023-03-22T20:12:53.582,0.030,0.511,0.739,0.419
1679512373592,2023-03-22T20:12:53.592,0.040,0.663,0.686,0.282
1679512373602,2023-03-22T20:12:53.602,0.050,0.640,0.587,0.221
1679512373612,2023-03-22T20:12:53.612,0.060,0.358,0.473,0.229
1679512373622,2023-03-22T20:12:53.622,0.070,0.114,0.541,0.290
1679512373632,2023-03-22T20:12:53.632,0.080,-0.008,0.549,0.297
1679512373642,2023-03-22T20:12:53.642,0.090,-0.069,0.564,0.313
1679512373652,2023-03-22T20:12:53.652,0.100,-0.053,0.602,0.297
1679512373662,2023-03-22T20:12:53.662,0.110,0.183,0.633,0.358
1679512373672,2023-03-22T20:12:53.672,0.120,0.290,0.633,0.389
1679512373682,2023-03-22T20:12:53.682,0.130,0.358,0.549,0.267
1679512373692,2023-03-22T20:12:53.692,0.140,0.373,0.572,0.267
1679512373702,2023-03-22T20:12:53.702,0.150,0.320,0.686,0.244
1679512373712,2023-03-22T20:12:53.712,0.160,0.313,0.686,0.358
1679512373722,2023-03-22T20:12:53.722,0.170,0.305,0.678,0.282
1679512373732,2023-03-22T20:12:53.732,0.180,0.221,0.739,0.252
1679512373742,2023-03-22T20:12:53.742,0.190,0.030,0.625,0.252
1679512373752,2023-03-22T20:12:53.752,0.200,-0.206,0.572,0.305
1679512373762,2023-03-22T20:12:53.762,0.210,-0.274,0.541,0.274
1679512373772,2023-03-22T20:12:53.772,0.220,-0.434,0.602,0.313
1679512373782,2023-03-22T20:12:53.782,0.230,-0.244,0.633,0.290
1679512373792,2023-03-22T20:12:53.792,0.240,0.084,0.556,0.328
1679512373802,2023-03-22T20:12:53.802,0.250,0.381,0.572,0.442
1679512373812,2023-03-22T20:12:53.812,0.260,0.480,0.541,0.434
1679512373822,2023-03-22T20:12:53.822,0.270,0.412,0.770,0.495
1679512373832,2023-03-22T20:12:53.832,0.280,0.282,0.823,0.442
1679512373842,2023-03-22T20:12:53.842,0.290,0.419,0.663,0.412
1679512373852,2023-03-22T20:12:53.852,0.300,0.511,0.579,0.358
1679512373862,2023-03-22T20:12:53.862,0.310,0.655,0.633,0.373
1679512373872,2023-03-22T20:12:53.872,0.320,0.663,0.572,0.412
1679512373882,2023-03-22T20:12:53.882,0.330,0.480,0.572,0.457
1679512373892,2023-03-22T20:12:53.892,0.340,0.191,0.640,0.404
1679512373902,2023-03-22T20:12:53.902,0.350,0.000,0.518,0.381
1679512373912,2023-03-22T20:12:53.912,0.360,0.038,0.457,0.480
1679512373922,2023-03-22T20:12:53.922,0.370,0.160,0.541,0.534
1679512373932,2023-03-22T20:12:53.932,0.380,0.160,0.549,0.396
1679512373942,2023-03-22T20:12:53.942,0.390,-0.015,0.366,0.419
1679512373952,2023-03-22T20:12:53.952,0.400,0.152,0.358,0.450
1679512373962,2023-03-22T20:12:53.962,0.410,0.160,0.389,0.328
1679512373972,2023-03-22T20:12:53.972,0.420,0.297,0.434,0.366
1679512373982,2023-03-22T20:12:53.982,0.430,0.313,0.541,0.305
1679512373992,2023-03-22T20:12:53.992,0.440,0.130,0.678,0.373
1679512374002,2023-03-22T20:12:54.002,0.450,0.000,0.671,0.419
1679512374012,2023-03-22T20:12:54.012,0.460,-0.152,0.655,0.412
1679512374022,2023-03-22T20:12:54.022,0.470,-0.252,0.732,0.396
1679512374032,2023-03-22T20:12:54.032,0.480,-0.168,0.701,0.427
1679512374042,2023-03-22T20:12:54.042,0.490,0.000,0.755,0.503
1679512374052,2023-03-22T20:12:54.052,0.500,0.313,0.854,0.518
1679512374062,2023-03-22T20:12:54.062,0.510,0.427,0.831,0.465
1679512374072,2023-03-22T20:12:54.072,0.520,0.549,0.869,0.473
1679512374082,2023-03-22T20:12:54.082,0.530,0.655,0.892,0.518
1679512374092,2023-03-22T20:12:54.092,0.540,0.709,0.938,0.511
1679512374102,2023-03-22T20:12:54.102,0.550,0.671,1.006,0.534
1679512374112,2023-03-22T20:12:54.112,0.560,0.625,0.907,0.518
