epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679821672370,2023-03-26T11:07:52.370,0.000,-0.282,0.800,0.465
1679821672380,2023-03-26T11:07:52.380,0.010,-0.602,0.328,-0.877
1679821672390,2023-03-26T11:07:52.390,0.020,-0.160,1.212,0.694
1679821672400,2023-03-26T11:07:52.400,0.030,0.473,0.793,0.480
1679821672410,2023-03-26T11:07:52.410,0.040,0.823,0.282,0.389
1679821672420,2023-03-26T11:07:52.420,0.050,0.816,0.168,0.404
1679821672430,2023-03-26T11:07:52.430,0.060,0.854,0.412,0.434
1679821672440,2023-03-26T11:07:52.440,0.070,1.082,0.625,0.389
1679821672450,2023-03-26T11:07:52.450,0.080,1.143,0.572,0.335
1679821672460,2023-03-26T11:07:52.460,0.090,1.082,0.465,0.396
1679821672470,2023-03-26T11:07:52.470,0.100,0.785,0.579,0.412
1679821672480,2023-03-26T11:07:52.480,0.110,0.625,0.595,0.313
1679821672490,2023-03-26T11:07:52.490,0.120,0.732,0.534,0.381
1679821672500,2023-03-26T11:07:52.500,0.130,0.663,0.579,0.427
1679821672510,2023-03-26T11:07:52.510,0.140,0.884,0.488,0.389
1679821672520,2023-03-26T11:07:52.520,0.150,1.120,0.412,0.366
1679821672530,2023-03-26T11:07:52.530,0.160,1.402,0.297,0.396
1679821672540,2023-03-26T11:07:52.540,0.170,1.936,0.259,0.381
1679821672550,2023-03-26T11:07:52.550,0.180,1.486,0.358,0.259
1679821672560,2023-03-26T11:07:52.560,0.190,0.922,0.655,0.343
1679821672570,2023-03-26T11:07:52.570,0.200,0.617,0.724,0.259
1679821672580,2023-03-26T11:07:52.580,0.210,0.274,0.526,0.274
1679821672590,2023-03-26T11:07:52.590,0.220,0.236,0.351,0.328
1679821672600,2023-03-26T11:07:52.600,0.230,0.274,0.389,0.335
1679821672610,2023-03-26T11:07:52.610,0.240,0.305,0.595,0.274
1679821672620,2023-03-26T11:07:52.620,0.250,0.244,0.770,0.282
1679821672630,2023-03-26T11:07:52.630,0.260,0.183,0.709,0.244
1679821672640,2023-03-26T11:07:52.640,0.270,0.229,0.709,0.168
1679821672650,2023-03-26T11:07:52.650,0.280,0.663,0.762,0.213
1679821672660,2023-03-26T11:07:52.660,0.290,1.113,0.572,0.320
1679821672670,2023-03-26T11:07:52.670,0.300,1.471,0.511,0.259
1679821672680,2023-03-26T11:07:52.680,0.310,1.311,0.610,0.282
1679821672690,2023-03-26T11:07:52.690,0.320,0.770,0.877,0.259
1679821672700,2023-03-26T11:07:52.700,0.330,0.579,0.938,0.297
1679821672710,2023-03-26T11:07:52.710,0.340,0.335,0.762,0.282
1679821672720,2023-03-26T11:07:52.720,0.350,0.000,0.709,0.335
1679821672730,2023-03-26T11:07:52.730,0.360,0.008,0.587,0.328
1679821672740,2023-03-26T11:07:52.740,0.370,-0.107,0.511,0.252
1679821672750,2023-03-26T11:07:52.750,0.380,-0.221,0.655,0.290
1679821672760,2023-03-26T11:07:52.760,0.390,0.122,0.747,0.358
1679821672770,2023-03-26T11:07:52.770,0.400,0.564,0.473,0.442
1679821672780,2023-03-26T11:07:52.780,0.410,0.648,0.343,0.450
1679821672790,2023-03-26T11:07:52.790,0.420,0.998,0.373,0.343
1679821672800,2023-03-26T11:07:52.800,0.430,1.052,0.549,0.282
1679821672810,2023-03-26T11:07:52.810,0.440,0.648,0.633,0.244
1679821672820,2023-03-26T11:07:52.820,0.450,0.572,0.755,0.244
1679821672830,2023-03-26T11:07:52.830,0.460,0.457,0.739,0.366
1679821672840,2023-03-26T11:07:52.840,0.470,0.427,0.655,0.381
1679821672850,2023-03-26T11:07:52.850,0.480,0.564,0.694,0.175
1679821672860,2023-03-26T11:07:52.860,0.490,0.495,0.724,0.320
1679821672870,2023-03-26T11:07:52.870,0.500,0.602,0.762,0.366
1679821672880,2023-03-26T11:07:52.880,0.510,0.800,0.564,0.366
1679821672890,2023-03-26T11:07:52.890,0.520,0.884,0.465,0.434
1679821672900,2023-03-26T11:07:52.900,0.530,0.549,0.564,0.389
1679821672910,2023-03-26T11:07:52.910,0.540,0.511,0.625,0.320
1679821672920,2023-03-26T11:07:52.920,0.550,0.663,0.587,0.259
1679821672930,2023-03-26T11:07:52.930,0.560,0.404,0.572,0.274
1679821672940,2023-03-26T11:07:52.940,0.570,0.107,0.587,0.366
1679821672950,2023-03-26T11:07:52.950,0.580,0.114,0.747,0.442
1679821672960,2023-03-26T11:07:52.960,0.590,0.130,0.709,0.335
1679821672970,2023-03-26T11:07:52.970,0.600,0.252,0.663,0.373
1679821672980,2023-03-26T11:07:52.980,0.610,0.343,0.648,0.450
1679821672990,2023-03-26T11:07:52.990,0.620,0.381,0.716,0.358
1679821673000,2023-03-26T11:07:53.000,0.630,0.366,0.755,0.267
1679821673010,2023-03-26T11:07:53.010,0.640,-0.076,0.648,0.297
