epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.68198E+12;2023-04-20T10:33:10.922;0;6.298;-78.698;0;0
1.68198E+12;2023-04-20T10:33:10.932;0.01;6.33;-78.638;0.017;0.017
1.68198E+12;2023-04-20T10:33:10.942;0.02;6.359;-78.581;0.025;0.025
1.68198E+12;2023-04-20T10:33:10.952;0.03;6.394;-78.518;0.042;0.042
1.68198E+12;2023-04-20T10:33:10.962;0.04;6.433;-78.454;0.06;0.06
1.68198E+12;2023-04-20T10:33:10.972;0.05;6.475;-78.386;0.08;0.08
1.68198E+12;2023-04-20T10:33:10.982;0.06;6.522;-78.311;0.108;0.108
1.68198E+12;2023-04-20T10:33:10.992;0.07;6.572;-78.231;0.144;0.144
1.68198E+12;2023-04-20T10:33:11.002;0.08;6.621;-78.154;0.181;0.181
1.68198E+12;2023-04-20T10:33:11.012;0.09;6.671;-78.072;0.219;0.219
1.68198E+12;2023-04-20T10:33:11.022;0.1;6.723;-77.988;0.257;0.257
1.68198E+12;2023-04-20T10:33:11.032;0.11;6.776;-77.902;0.296;0.296
1.68198E+12;2023-04-20T10:33:11.042;0.12;6.829;-77.813;0.336;0.336
1.68198E+12;2023-04-20T10:33:11.052;0.13;6.884;-77.724;0.376;0.376
1.68198E+12;2023-04-20T10:33:11.062;0.14;6.941;-77.637;0.416;0.416
1.68198E+12;2023-04-20T10:33:11.072;0.15;7.002;-77.55;0.457;0.457
1.68198E+12;2023-04-20T10:33:11.082;0.16;7.066;-77.465;0.498;0.498
1.68198E+12;2023-04-20T10:33:11.092;0.17;7.131;-77.388;0.534;0.534
1.68198E+12;2023-04-20T10:33:11.102;0.18;7.196;-77.325;0.567;0.567
1.68198E+12;2023-04-20T10:33:11.112;0.19;7.274;-77.232;0.61;0.61
1.68198E+12;2023-04-20T10:33:11.122;0.2;7.36;-77.132;0.665;0.665
1.68198E+12;2023-04-20T10:33:11.132;0.21;7.449;-77.023;0.734;0.734
1.68198E+12;2023-04-20T10:33:11.142;0.22;7.537;-76.905;0.814;0.814
1.68198E+12;2023-04-20T10:33:11.152;0.23;7.609;-76.828;0.889;0.889
1.68198E+12;2023-04-20T10:33:11.162;0.24;7.696;-76.698;0.981;0.981
1.68198E+12;2023-04-20T10:33:11.172;0.25;7.789;-76.564;1.078;1.078
1.68198E+12;2023-04-20T10:33:11.182;0.26;7.886;-76.43;1.174;1.174
1.68198E+12;2023-04-20T10:33:11.192;0.27;7.989;-76.291;1.268;1.268
1.68198E+12;2023-04-20T10:33:11.202;0.28;8.096;-76.153;1.366;1.366
1.68198E+12;2023-04-20T10:33:11.212;0.29;8.194;-76.061;1.447;1.447
1.68198E+12;2023-04-20T10:33:11.222;0.3;8.297;-75.986;1.523;1.523
1.68198E+12;2023-04-20T10:33:11.232;0.31;8.42;-75.863;1.607;1.607
1.68198E+12;2023-04-20T10:33:11.242;0.32;8.556;-75.739;1.692;1.692
1.68198E+12;2023-04-20T10:33:11.252;0.33;8.707;-75.613;1.779;1.779
1.68198E+12;2023-04-20T10:33:11.262;0.34;8.867;-75.487;1.869;1.869
1.68198E+12;2023-04-20T10:33:11.272;0.35;9.035;-75.358;1.976;1.976
1.68198E+12;2023-04-20T10:33:11.282;0.36;9.2;-75.221;2.097;2.097
1.68198E+12;2023-04-20T10:33:11.292;0.37;9.363;-75.081;2.218;2.218
1.68198E+12;2023-04-20T10:33:11.302;0.38;9.531;-74.936;2.331;2.331
1.68198E+12;2023-04-20T10:33:11.312;0.39;9.711;-74.793;2.427;2.427
1.68198E+12;2023-04-20T10:33:11.322;0.4;9.913;-74.66;2.504;2.504
1.68198E+12;2023-04-20T10:33:11.332;0.41;10.135;-74.532;2.576;2.576
1.68198E+12;2023-04-20T10:33:11.342;0.42;10.371;-74.395;2.649;2.649
1.68198E+12;2023-04-20T10:33:11.352;0.43;10.625;-74.246;2.715;2.715
1.68198E+12;2023-04-20T10:33:11.362;0.44;10.89;-74.104;2.75;2.75
1.68198E+12;2023-04-20T10:33:11.372;0.45;11.153;-73.982;2.755;2.755
1.68198E+12;2023-04-20T10:33:11.382;0.46;11.39;-73.9;2.755;2.755
1.68198E+12;2023-04-20T10:33:11.392;0.47;11.581;-73.844;2.779;2.779
1.68198E+12;2023-04-20T10:33:11.402;0.48;11.734;-73.792;2.838;2.838
1.68198E+12;2023-04-20T10:33:11.412;0.49;11.851;-73.736;2.919;2.919
1.68198E+12;2023-04-20T10:33:11.422;0.5;11.949;-73.681;3.009;3.009
1.68198E+12;2023-04-20T10:33:11.432;0.51;12.036;-73.638;3.104;3.104
1.68198E+12;2023-04-20T10:33:11.442;0.52;12.121;-73.598;3.228;3.228
1.68198E+12;2023-04-20T10:33:11.452;0.53;12.21;-73.545;3.391;3.391
1.68198E+12;2023-04-20T10:33:11.462;0.54;12.298;-73.462;3.589;3.589
1.68198E+12;2023-04-20T10:33:11.472;0.55;12.381;-73.352;3.824;3.824
1.68198E+12;2023-04-20T10:33:11.482;0.56;12.453;-73.22;4.095;4.095
1.68198E+12;2023-04-20T10:33:11.492;0.57;12.51;-73.075;4.406;4.406
1.68198E+12;2023-04-20T10:33:11.502;0.58;12.557;-72.912;4.772;4.772
1.68198E+12;2023-04-20T10:33:11.512;0.59;12.597;-72.73;5.178;5.178
1.68198E+12;2023-04-20T10:33:11.522;0.6;12.64;-72.522;5.615;5.615
1.68198E+12;2023-04-20T10:33:11.532;0.61;12.687;-72.293;6.056;6.056
1.68198E+12;2023-04-20T10:33:11.542;0.62;12.73;-72.062;6.455;6.455
1.68198E+12;2023-04-20T10:33:11.552;0.63;12.761;-71.842;6.785;6.785
1.68198E+12;2023-04-20T10:33:11.562;0.64;12.782;-71.637;7.035;7.035
1.68198E+12;2023-04-20T10:33:11.572;0.65;12.801;-71.435;7.228;7.228
1.68198E+12;2023-04-20T10:33:11.582;0.66;12.825;-71.225;7.384;7.384
1.68198E+12;2023-04-20T10:33:11.592;0.67;12.858;-70.995;7.507;7.507
