epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.68198E+12;2023-04-20T10:38:07.563;0;-171.67;-81.531;359.999;359.999
1.68198E+12;2023-04-20T10:38:07.573;0.01;-171.62;-81.491;359.917;359.917
1.68198E+12;2023-04-20T10:38:07.583;0.02;-171.561;-81.441;359.828;359.828
1.68198E+12;2023-04-20T10:38:07.593;0.03;-171.506;-81.397;359.743;359.743
1.68198E+12;2023-04-20T10:38:07.603;0.04;-171.449;-81.35;359.659;359.659
1.68198E+12;2023-04-20T10:38:07.613;0.05;-171.388;-81.298;359.577;359.577
1.68198E+12;2023-04-20T10:38:07.623;0.06;-171.327;-81.248;359.503;359.503
1.68198E+12;2023-04-20T10:38:07.633;0.07;-171.268;-81.199;359.423;359.423
1.68198E+12;2023-04-20T10:38:07.643;0.08;-171.212;-81.151;359.343;359.343
1.68198E+12;2023-04-20T10:38:07.653;0.09;-171.16;-81.108;359.271;359.271
1.68198E+12;2023-04-20T10:38:07.663;0.1;-171.115;-81.07;359.202;359.202
1.68198E+12;2023-04-20T10:38:07.673;0.11;-171.075;-81.037;359.139;359.139
1.68198E+12;2023-04-20T10:38:07.683;0.12;-171.038;-81.006;359.082;359.082
1.68198E+12;2023-04-20T10:38:07.693;0.13;-171.004;-80.978;359.03;359.03
1.68198E+12;2023-04-20T10:38:07.703;0.14;-170.974;-80.955;358.986;358.986
1.68198E+12;2023-04-20T10:38:07.713;0.15;-170.946;-80.933;358.942;358.942
1.68198E+12;2023-04-20T10:38:07.723;0.16;-170.921;-80.913;358.891;358.891
1.68198E+12;2023-04-20T10:38:07.733;0.17;-170.894;-80.891;358.822;358.822
1.68198E+12;2023-04-20T10:38:07.743;0.18;-170.868;-80.867;358.743;358.743
1.68198E+12;2023-04-20T10:38:07.753;0.19;-170.836;-80.836;358.652;358.652
1.68198E+12;2023-04-20T10:38:07.763;0.2;-9.209;-80.79;358.537;358.537
1.68198E+12;2023-04-20T10:38:07.773;0.21;-9.27;-80.728;358.401;358.401
1.68198E+12;2023-04-20T10:38:07.783;0.22;-9.34;-80.654;358.258;358.258
1.68198E+12;2023-04-20T10:38:07.793;0.23;-9.41;-80.577;358.126;358.126
1.68198E+12;2023-04-20T10:38:07.803;0.24;-9.476;-80.503;357.988;357.988
1.68198E+12;2023-04-20T10:38:07.813;0.25;-9.533;-80.44;357.838;357.838
1.68198E+12;2023-04-20T10:38:07.823;0.26;-9.584;-80.381;357.667;357.667
1.68198E+12;2023-04-20T10:38:07.833;0.27;-9.619;-80.336;357.489;357.489
1.68198E+12;2023-04-20T10:38:07.843;0.28;-9.643;-80.298;357.294;357.294
1.68198E+12;2023-04-20T10:38:07.853;0.29;-9.673;-80.251;357.064;357.064
1.68198E+12;2023-04-20T10:38:07.863;0.3;-9.715;-80.187;356.805;356.805
1.68198E+12;2023-04-20T10:38:07.873;0.31;-9.766;-80.113;356.563;356.563
1.68198E+12;2023-04-20T10:38:07.883;0.32;-9.819;-80.035;356.368;356.368
1.68198E+12;2023-04-20T10:38:07.893;0.33;-9.869;-79.956;356.225;356.225
1.68198E+12;2023-04-20T10:38:07.903;0.34;-9.921;-79.871;356.108;356.108
1.68198E+12;2023-04-20T10:38:07.913;0.35;-9.974;-79.782;356;356
1.68198E+12;2023-04-20T10:38:07.923;0.36;-10.028;-79.692;355.899;355.899
1.68198E+12;2023-04-20T10:38:07.933;0.37;-10.076;-79.604;355.788;355.788
1.68198E+12;2023-04-20T10:38:07.943;0.38;-10.115;-79.518;355.638;355.638
1.68198E+12;2023-04-20T10:38:07.953;0.39;-10.16;-79.417;355.447;355.447
1.68198E+12;2023-04-20T10:38:07.963;0.4;-10.219;-79.296;355.268;355.268
1.68198E+12;2023-04-20T10:38:07.973;0.41;-10.29;-79.166;355.151;355.151
1.68198E+12;2023-04-20T10:38:07.983;0.42;-10.367;-79.037;355.083;355.083
1.68198E+12;2023-04-20T10:38:07.993;0.43;-10.449;-78.907;354.994;354.994
1.68198E+12;2023-04-20T10:38:08.003;0.44;-10.558;-78.75;354.876;354.876
1.68198E+12;2023-04-20T10:38:08.013;0.45;-10.715;-78.542;354.748;354.748
1.68198E+12;2023-04-20T10:38:08.023;0.46;-10.924;-78.287;354.622;354.622
1.68198E+12;2023-04-20T10:38:08.033;0.47;-11.177;-77.995;354.498;354.498
1.68198E+12;2023-04-20T10:38:08.043;0.48;-11.458;-77.68;354.401;354.401
1.68198E+12;2023-04-20T10:38:08.053;0.49;-11.754;-77.352;354.338;354.338
1.68198E+12;2023-04-20T10:38:08.063;0.5;-12.074;-77.002;354.33;354.33
1.68198E+12;2023-04-20T10:38:08.073;0.51;-12.406;-76.645;354.374;354.374
1.68198E+12;2023-04-20T10:38:08.083;0.52;-12.75;-76.279;354.478;354.478
1.68198E+12;2023-04-20T10:38:08.093;0.53;-13.092;-75.92;354.627;354.627
1.68198E+12;2023-04-20T10:38:08.103;0.54;-13.418;-75.578;354.786;354.786
1.68198E+12;2023-04-20T10:38:08.113;0.55;-13.733;-75.245;354.926;354.926
1.68198E+12;2023-04-20T10:38:08.123;0.56;-14.042;-74.916;355.032;355.032
1.68198E+12;2023-04-20T10:38:08.133;0.57;-14.359;-74.577;355.096;355.096
1.68198E+12;2023-04-20T10:38:08.143;0.58;-14.674;-74.238;355.113;355.113
1.68198E+12;2023-04-20T10:38:08.153;0.59;-14.996;-73.889;355.091;355.091
1.68198E+12;2023-04-20T10:38:08.163;0.6;-15.326;-73.532;355.044;355.044
1.68198E+12;2023-04-20T10:38:08.173;0.61;-15.66;-73.172;354.987;354.987
1.68198E+12;2023-04-20T10:38:08.183;0.62;-16.01;-72.798;354.921;354.921
1.68198E+12;2023-04-20T10:38:08.193;0.63;-16.368;-72.416;354.841;354.841
