epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68198E+12;2023-04-20T10:14:48.403;0;0.854;-0.419;1.059
1.68198E+12;2023-04-20T10:14:48.413;0.01;1.014;-1.082;-0.61
1.68198E+12;2023-04-20T10:14:48.423;0.02;0.998;-0.854;-0.252
1.68198E+12;2023-04-20T10:14:48.433;0.03;0.93;-0.899;-0.069
1.68198E+12;2023-04-20T10:14:48.443;0.04;0.899;-1.014;-0.076
1.68198E+12;2023-04-20T10:14:48.453;0.05;0.976;-0.899;-0.015
1.68198E+12;2023-04-20T10:14:48.463;0.06;1.014;-0.678;0.168
1.68198E+12;2023-04-20T10:14:48.473;0.07;0.716;-0.716;0.297
1.68198E+12;2023-04-20T10:14:48.483;0.08;0.427;-0.762;0.32
1.68198E+12;2023-04-20T10:14:48.493;0.09;0.13;-0.777;0.32
1.68198E+12;2023-04-20T10:14:48.503;0.1;-0.198;-0.861;0.282
1.68198E+12;2023-04-20T10:14:48.513;0.11;-0.13;-0.976;0.13
1.68198E+12;2023-04-20T10:14:48.523;0.12;0.076;-1.006;0.099
1.68198E+12;2023-04-20T10:14:48.533;0.13;0.198;-1.029;0.023
1.68198E+12;2023-04-20T10:14:48.543;0.14;0.282;-0.877;-0.152
1.68198E+12;2023-04-20T10:14:48.553;0.15;0.419;-0.922;-0.244
1.68198E+12;2023-04-20T10:14:48.563;0.16;0.686;-0.998;-0.389
1.68198E+12;2023-04-20T10:14:48.573;0.17;0.785;-0.945;-0.434
1.68198E+12;2023-04-20T10:14:48.583;0.18;0.808;-1.021;-0.434
1.68198E+12;2023-04-20T10:14:48.593;0.19;0.838;-1.075;-0.389
1.68198E+12;2023-04-20T10:14:48.603;0.2;0.77;-1.212;-0.351
1.68198E+12;2023-04-20T10:14:48.613;0.21;0.595;-1.22;-0.45
1.68198E+12;2023-04-20T10:14:48.623;0.22;0.473;-1.166;-0.442
1.68198E+12;2023-04-20T10:14:48.633;0.23;0.328;-1.159;-0.32
1.68198E+12;2023-04-20T10:14:48.643;0.24;0.023;-1.044;-0.198
1.68198E+12;2023-04-20T10:14:48.653;0.25;-0.114;-0.861;-0.191
1.68198E+12;2023-04-20T10:14:48.663;0.26;-0.213;-0.518;-0.335
1.68198E+12;2023-04-20T10:14:48.673;0.27;-0.183;-0.335;-0.427
1.68198E+12;2023-04-20T10:14:48.683;0.28;0.023;-0.351;-0.541
1.68198E+12;2023-04-20T10:14:48.693;0.29;0.145;-0.412;-0.526
1.68198E+12;2023-04-20T10:14:48.703;0.3;0.373;-0.274;-0.541
1.68198E+12;2023-04-20T10:14:48.713;0.31;0.663;0.053;-0.854
1.68198E+12;2023-04-20T10:14:48.723;0.32;0.846;0.023;-1.273
1.68198E+12;2023-04-20T10:14:48.733;0.33;1.41;-0.183;-1.402
1.68198E+12;2023-04-20T10:14:48.743;0.34;1.768;-0.32;-1.502
1.68198E+12;2023-04-20T10:14:48.753;0.35;1.745;-0.526;-1.563
1.68198E+12;2023-04-20T10:14:48.763;0.36;1.578;-0.617;-1.608
1.68198E+12;2023-04-20T10:14:48.773;0.37;1.258;-0.701;-1.784
1.68198E+12;2023-04-20T10:14:48.783;0.38;1.189;-0.739;-1.639
1.68198E+12;2023-04-20T10:14:48.793;0.39;1.456;-0.518;-1.486
1.68198E+12;2023-04-20T10:14:48.803;0.4;1.852;-0.282;-1.349
1.68198E+12;2023-04-20T10:14:48.813;0.41;1.944;-0.137;-1.159
1.68198E+12;2023-04-20T10:14:48.823;0.42;1.639;-0.122;-1.235
1.68198E+12;2023-04-20T10:14:48.833;0.43;1.204;-0.351;-1.441
1.68198E+12;2023-04-20T10:14:48.843;0.44;0.777;-0.709;-1.723
1.68198E+12;2023-04-20T10:14:48.853;0.45;0.495;-0.808;-2.027
1.68198E+12;2023-04-20T10:14:48.863;0.46;0.587;-0.884;-2.34
