epoch (ms);time (01:00);elapsed (s);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.68198E+12;2023-04-20T10:20:51.640;0;-1.166;-3.018;5.29
1.68198E+12;2023-04-20T10:20:51.650;0.01;-1.105;-1.982;6.677
1.68198E+12;2023-04-20T10:20:51.660;0.02;-1.326;-2.691;5.602
1.68198E+12;2023-04-20T10:20:51.670;0.03;-1.441;-2.82;6.09
1.68198E+12;2023-04-20T10:20:51.680;0.04;-0.838;-2.934;6.646
1.68198E+12;2023-04-20T10:20:51.690;0.05;-0.953;-3.026;6.799
1.68198E+12;2023-04-20T10:20:51.700;0.06;-1.441;-3.117;6.684
1.68198E+12;2023-04-20T10:20:51.710;0.07;-1.73;-2.942;6.54
1.68198E+12;2023-04-20T10:20:51.720;0.08;-1.921;-2.912;6.296
1.68198E+12;2023-04-20T10:20:51.730;0.09;-1.982;-3.155;6.326
1.68198E+12;2023-04-20T10:20:51.740;0.1;-1.966;-3.453;6.502
1.68198E+12;2023-04-20T10:20:51.750;0.11;-1.921;-3.742;6.86
1.68198E+12;2023-04-20T10:20:51.760;0.12;-1.944;-3.971;7.386
1.68198E+12;2023-04-20T10:20:51.770;0.13;-1.928;-4.192;7.866
1.68198E+12;2023-04-20T10:20:51.780;0.14;-1.7;-4.444;8.209
1.68198E+12;2023-04-20T10:20:51.790;0.15;-1.25;-4.657;8.224
1.68198E+12;2023-04-20T10:20:51.800;0.16;-1.113;-5.099;8.171
1.68198E+12;2023-04-20T10:20:51.810;0.17;-0.716;-5.503;8.323
1.68198E+12;2023-04-20T10:20:51.820;0.18;-0.549;-5.762;8.559
1.68198E+12;2023-04-20T10:20:51.830;0.19;-0.808;-6.181;8.849
1.68198E+12;2023-04-20T10:20:51.840;0.2;-1.265;-6.425;9.169
1.68198E+12;2023-04-20T10:20:51.850;0.21;-0.991;-6.761;9.611
1.68198E+12;2023-04-20T10:20:51.860;0.22;-0.991;-7.546;10.084
1.68198E+12;2023-04-20T10:20:51.870;0.23;-0.8;-8.095;10.861
1.68198E+12;2023-04-20T10:20:51.880;0.24;0.93;-8.255;11.425
1.68198E+12;2023-04-20T10:20:51.890;0.25;2.378;-8.613;11.776
1.68198E+12;2023-04-20T10:20:51.900;0.26;3.316;-9.055;12.02
1.68198E+12;2023-04-20T10:20:51.910;0.27;3.994;-9.276;12.325
1.68198E+12;2023-04-20T10:20:51.920;0.28;3.377;-9.527;12.569
1.68198E+12;2023-04-20T10:20:51.930;0.29;2.454;-9.832;12.713
1.68198E+12;2023-04-20T10:20:51.940;0.3;1.928;-9.604;13.011
1.68198E+12;2023-04-20T10:20:51.950;0.31;0.518;-9.497;13.239
1.68198E+12;2023-04-20T10:20:51.960;0.32;-1.303;-9.771;13.575
1.68198E+12;2023-04-20T10:20:51.970;0.33;-2.721;-10.122;14.284
1.68198E+12;2023-04-20T10:20:51.980;0.34;-3.407;-10.427;15.137
1.68198E+12;2023-04-20T10:20:51.990;0.35;-3.666;-10.777;16.197
1.68198E+12;2023-04-20T10:20:52.000;0.36;-3.956;-11.799;17.21
1.68198E+12;2023-04-20T10:20:52.010;0.37;-4.405;-12.698;18.293
1.68198E+12;2023-04-20T10:20:52.020;0.38;-4.84;-12.744;19.291
1.68198E+12;2023-04-20T10:20:52.030;0.39;-5.206;-12.706;19.97
1.68198E+12;2023-04-20T10:20:52.040;0.4;-4.527;-13.018;20.541
1.68198E+12;2023-04-20T10:20:52.050;0.41;-2.797;-12.843;20.915
1.68198E+12;2023-04-20T10:20:52.060;0.42;-1.303;-12.043;20.32
1.68198E+12;2023-04-20T10:20:52.070;0.43;-1.38;-12.127;19.375
1.68198E+12;2023-04-20T10:20:52.080;0.44;-3.201;-13.155;18.963
1.68198E+12;2023-04-20T10:20:52.090;0.45;-4.131;-14.032;19.733
1.68198E+12;2023-04-20T10:20:52.100;0.46;-2.95;-13.75;20.663
1.68198E+12;2023-04-20T10:20:52.110;0.47;-0.023;-14.093;20.465
1.68198E+12;2023-04-20T10:20:52.120;0.48;2.142;-14.543;19.642
1.68198E+12;2023-04-20T10:20:52.130;0.49;1.852;-14.779;19.55
1.68198E+12;2023-04-20T10:20:52.140;0.5;2.866;-15.625;20.823
1.68198E+12;2023-04-20T10:20:52.150;0.51;4.977;-15.442;21.684
1.68198E+12;2023-04-20T10:20:52.160;0.52;5.412;-13.438;21.547
1.68198E+12;2023-04-20T10:20:52.170;0.53;7.348;-12.165;21.387
1.68198E+12;2023-04-20T10:20:52.180;0.54;10.922;-13.087;21.25
1.68198E+12;2023-04-20T10:20:52.190;0.55;13.323;-14.116;20.892
1.68198E+12;2023-04-20T10:20:52.200;0.56;12.172;-14.017;20.221
1.68198E+12;2023-04-20T10:20:52.210;0.57;7.858;-13.308;19.505
1.68198E+12;2023-04-20T10:20:52.220;0.58;2.561;-12.325;18.765
1.68198E+12;2023-04-20T10:20:52.230;0.59;0.091;-12.035;18.773
1.68198E+12;2023-04-20T10:20:52.240;0.6;1.867;-11.944;20.221
1.68198E+12;2023-04-20T10:20:52.250;0.61;3.628;-11.326;21.402
1.68198E+12;2023-04-20T10:20:52.260;0.62;3.079;-9.733;22.348
1.68198E+12;2023-04-20T10:20:52.270;0.63;1.09;-7.5;22.637
1.68198E+12;2023-04-20T10:20:52.280;0.64;2.561;-7.302;21.563
1.68198E+12;2023-04-20T10:20:52.290;0.65;2.218;-7.386;19.855
1.68198E+12;2023-04-20T10:20:52.300;0.66;-3.735;-6.799;18.78
1.68198E+12;2023-04-20T10:20:52.310;0.67;-10.335;-6.723;17.706
1.68198E+12;2023-04-20T10:20:52.320;0.68;-12.454;-6.471;16.806
1.68198E+12;2023-04-20T10:20:52.330;0.69;-9.032;-5.61;16.25
1.68198E+12;2023-04-20T10:20:52.340;0.7;-3.62;-6.311;15.023
1.68198E+12;2023-04-20T10:20:52.350;0.71;3.125;-7.881;14.688
1.68198E+12;2023-04-20T10:20:52.360;0.72;9.009;-9.002;14.634
1.68198E+12;2023-04-20T10:20:52.370;0.73;13.613;-9.703;14.726
1.68198E+12;2023-04-20T10:20:52.380;0.74;17.569;-9.611;15.724
1.68198E+12;2023-04-20T10:20:52.390;0.75;21.875;-10.091;16.753
1.68198E+12;2023-04-20T10:20:52.400;0.76;25.13;-10.892;17.111
1.68198E+12;2023-04-20T10:20:52.410;0.77;26.456;-12.043;17.805
1.68198E+12;2023-04-20T10:20:52.420;0.78;26.197;-13.117;19.474
1.68198E+12;2023-04-20T10:20:52.430;0.79;23.979;-13.018;21.524
1.68198E+12;2023-04-20T10:20:52.440;0.8;21.014;-12.287;22.828
1.68198E+12;2023-04-20T10:20:52.450;0.81;20.274;-12.774;24.093
1.68198E+12;2023-04-20T10:20:52.460;0.82;19.215;-12.53;25.678
1.68198E+12;2023-04-20T10:20:52.470;0.83;16.974;-11.41;27.149
1.68198E+12;2023-04-20T10:20:52.480;0.84;15.32;-11.22;28.003
1.68198E+12;2023-04-20T10:20:52.490;0.85;15.64;-11.608;28.697
1.68198E+12;2023-04-20T10:20:52.500;0.86;15.762;-11.258;29.489
