epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679512054796,2023-03-22T20:07:34.796,0.000,-0.168,1.326,1.128
1679512054806,2023-03-22T20:07:34.806,0.010,0.183,0.716,0.122
1679512054816,2023-03-22T20:07:34.816,0.020,0.091,0.465,0.793
1679512054826,2023-03-22T20:07:34.826,0.030,-0.252,0.579,0.846
1679512054836,2023-03-22T20:07:34.836,0.040,-0.320,1.197,0.716
1679512054846,2023-03-22T20:07:34.846,0.050,0.252,1.242,0.785
1679512054856,2023-03-22T20:07:34.856,0.060,0.716,1.265,0.846
1679512054866,2023-03-22T20:07:34.866,0.070,1.105,0.800,0.831
1679512054876,2023-03-22T20:07:34.876,0.080,1.250,0.442,0.854
1679512054886,2023-03-22T20:07:34.886,0.090,1.189,0.640,0.884
1679512054896,2023-03-22T20:07:34.896,0.100,0.877,0.922,0.800
1679512054906,2023-03-22T20:07:34.906,0.110,0.701,0.930,0.747
1679512054916,2023-03-22T20:07:34.916,0.120,0.579,0.808,0.808
1679512054926,2023-03-22T20:07:34.926,0.130,0.434,0.747,0.838
1679512054936,2023-03-22T20:07:34.936,0.140,0.038,0.960,0.793
1679512054946,2023-03-22T20:07:34.946,0.150,-0.434,1.136,0.770
1679512054956,2023-03-22T20:07:34.956,0.160,-0.861,0.930,0.633
1679512054966,2023-03-22T20:07:34.966,0.170,-1.059,0.366,0.450
1679512054976,2023-03-22T20:07:34.976,0.180,-1.502,0.328,0.488
1679512054986,2023-03-22T20:07:34.986,0.190,-1.784,0.473,0.473
1679512054996,2023-03-22T20:07:34.996,0.200,-1.654,0.191,0.465
1679512055006,2023-03-22T20:07:35.006,0.210,-1.608,-0.061,0.480
1679512055016,2023-03-22T20:07:35.016,0.220,-1.791,0.084,0.602
1679512055026,2023-03-22T20:07:35.026,0.230,-2.370,-0.381,0.480
1679512055036,2023-03-22T20:07:35.036,0.240,-2.942,-0.434,0.495
1679512055046,2023-03-22T20:07:35.046,0.250,-1.860,0.366,0.610
1679512055056,2023-03-22T20:07:35.056,0.260,-3.011,-0.419,0.488
1679512055066,2023-03-22T20:07:35.066,0.270,-3.567,-0.602,0.511
1679512055076,2023-03-22T20:07:35.076,0.280,-3.468,-0.526,0.534
1679512055086,2023-03-22T20:07:35.086,0.290,-3.056,-1.082,0.488
1679512055096,2023-03-22T20:07:35.096,0.300,-2.248,-0.564,0.610
1679512055106,2023-03-22T20:07:35.106,0.310,-1.547,-0.457,0.640
1679512055116,2023-03-22T20:07:35.116,0.320,-1.075,-0.130,0.678
1679512055126,2023-03-22T20:07:35.126,0.330,-0.968,0.107,0.831
1679512055136,2023-03-22T20:07:35.136,0.340,-1.113,-0.061,0.777
1679512055146,2023-03-22T20:07:35.146,0.350,-1.204,-0.130,0.777
1679512055156,2023-03-22T20:07:35.156,0.360,-0.770,-0.229,0.793
1679512055166,2023-03-22T20:07:35.166,0.370,-0.465,0.069,0.808
1679512055176,2023-03-22T20:07:35.176,0.380,-0.564,0.412,0.854
1679512055186,2023-03-22T20:07:35.186,0.390,-0.213,0.229,0.831
1679512055196,2023-03-22T20:07:35.196,0.400,0.130,-0.053,0.892
1679512055206,2023-03-22T20:07:35.206,0.410,0.000,0.015,0.869
1679512055216,2023-03-22T20:07:35.216,0.420,-0.328,0.152,0.732
1679512055226,2023-03-22T20:07:35.226,0.430,-0.358,-0.038,0.663
1679512055236,2023-03-22T20:07:35.236,0.440,-0.381,-0.206,0.709
1679512055246,2023-03-22T20:07:35.246,0.450,-0.694,0.084,0.732
1679512055256,2023-03-22T20:07:35.256,0.460,-0.503,0.069,0.831
1679512055266,2023-03-22T20:07:35.266,0.470,-0.229,0.305,0.877
1679512055276,2023-03-22T20:07:35.276,0.480,-0.267,0.655,0.922
1679512055286,2023-03-22T20:07:35.286,0.490,-0.030,0.343,0.877
1679512055296,2023-03-22T20:07:35.296,0.500,0.122,0.030,0.915
1679512055306,2023-03-22T20:07:35.306,0.510,-0.030,0.305,0.953
1679512055316,2023-03-22T20:07:35.316,0.520,-0.023,0.511,1.014
1679512055326,2023-03-22T20:07:35.326,0.530,0.213,0.351,0.922
1679512055336,2023-03-22T20:07:35.336,0.540,0.328,0.373,0.998
1679512055346,2023-03-22T20:07:35.346,0.550,0.191,0.747,0.930
1679512055356,2023-03-22T20:07:35.356,0.560,0.419,0.899,0.930
1679512055366,2023-03-22T20:07:35.366,0.570,0.861,0.549,0.945
1679512055376,2023-03-22T20:07:35.376,0.580,0.892,0.572,0.968
1679512055386,2023-03-22T20:07:35.386,0.590,0.892,0.564,0.953
1679512055396,2023-03-22T20:07:35.396,0.600,0.732,0.777,0.877
1679512055406,2023-03-22T20:07:35.406,0.610,0.198,1.075,1.021
1679512055416,2023-03-22T20:07:35.416,0.620,-0.008,1.547,1.120
1679512055426,2023-03-22T20:07:35.426,0.630,0.587,0.976,1.090
1679512055436,2023-03-22T20:07:35.436,0.640,1.456,-0.152,1.037
1679512055446,2023-03-22T20:07:35.446,0.650,1.829,-0.160,0.968
1679512055456,2023-03-22T20:07:35.456,0.660,1.280,0.488,0.899
1679512055466,2023-03-22T20:07:35.466,0.670,0.816,1.082,1.082
1679512055476,2023-03-22T20:07:35.476,0.680,0.686,1.288,1.105
1679512055486,2023-03-22T20:07:35.486,0.690,0.930,0.854,0.922
1679512055496,2023-03-22T20:07:35.496,0.700,1.349,0.572,0.831
1679512055506,2023-03-22T20:07:35.506,0.710,1.265,0.854,0.816
1679512055516,2023-03-22T20:07:35.516,0.720,0.785,1.075,0.747
1679512055526,2023-03-22T20:07:35.526,0.730,0.076,0.793,0.671
1679512055536,2023-03-22T20:07:35.536,0.740,-0.381,0.152,0.678
1679512055546,2023-03-22T20:07:35.546,0.750,-0.457,-0.084,0.808
1679512055556,2023-03-22T20:07:35.556,0.760,-0.030,0.084,0.762
1679512055566,2023-03-22T20:07:35.566,0.770,0.465,0.198,0.716
1679512055576,2023-03-22T20:07:35.576,0.780,0.564,0.191,0.793
1679512055586,2023-03-22T20:07:35.586,0.790,0.008,0.838,0.808
1679512055596,2023-03-22T20:07:35.596,0.800,-0.175,1.776,0.816
1679512055606,2023-03-22T20:07:35.606,0.810,0.267,1.380,0.861
1679512055616,2023-03-22T20:07:35.616,0.820,0.816,0.709,0.907
1679512055626,2023-03-22T20:07:35.626,0.830,0.998,0.640,0.838
1679512055636,2023-03-22T20:07:35.636,0.840,1.220,0.816,0.838
1679512055646,2023-03-22T20:07:35.646,0.850,1.204,0.968,0.922
1679512055656,2023-03-22T20:07:35.656,0.860,1.067,0.800,0.953
1679512055666,2023-03-22T20:07:35.666,0.870,1.136,0.686,0.755
1679512055676,2023-03-22T20:07:35.676,0.880,1.425,1.326,0.785
