epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679821477667,2023-03-26T11:04:37.667,0.000,-0.404,-0.358,-0.015
1679821477677,2023-03-26T11:04:37.677,0.010,-0.846,0.633,1.433
1679821477687,2023-03-26T11:04:37.687,0.020,-0.213,-0.023,0.175
1679821477697,2023-03-26T11:04:37.697,0.030,-0.107,0.160,0.274
1679821477707,2023-03-26T11:04:37.707,0.040,-0.267,0.419,0.206
1679821477717,2023-03-26T11:04:37.717,0.050,-0.495,0.610,0.252
1679821477727,2023-03-26T11:04:37.727,0.060,-0.343,0.503,0.313
1679821477737,2023-03-26T11:04:37.737,0.070,-0.358,0.366,0.236
1679821477747,2023-03-26T11:04:37.747,0.080,-0.655,0.549,0.160
1679821477757,2023-03-26T11:04:37.757,0.090,-0.724,0.770,0.160
1679821477767,2023-03-26T11:04:37.767,0.100,-0.427,0.945,0.274
1679821477777,2023-03-26T11:04:37.777,0.110,-0.267,0.968,0.191
1679821477787,2023-03-26T11:04:37.787,0.120,-0.259,0.968,0.175
1679821477797,2023-03-26T11:04:37.797,0.130,-0.633,0.930,0.236
1679821477807,2023-03-26T11:04:37.807,0.140,-1.181,0.854,0.381
1679821477817,2023-03-26T11:04:37.817,0.150,-1.128,0.869,0.282
1679821477827,2023-03-26T11:04:37.827,0.160,-0.846,0.800,0.305
1679821477837,2023-03-26T11:04:37.837,0.170,-0.617,0.442,0.442
1679821477847,2023-03-26T11:04:37.847,0.180,-0.617,0.465,0.541
1679821477857,2023-03-26T11:04:37.857,0.190,0.114,0.633,0.602
1679821477867,2023-03-26T11:04:37.867,0.200,0.877,0.648,0.610
1679821477877,2023-03-26T11:04:37.877,0.210,1.418,0.511,0.610
1679821477887,2023-03-26T11:04:37.887,0.220,1.601,0.587,0.755
1679821477897,2023-03-26T11:04:37.897,0.230,1.456,0.793,0.747
1679821477907,2023-03-26T11:04:37.907,0.240,1.242,0.793,0.648
1679821477917,2023-03-26T11:04:37.917,0.250,1.021,0.686,0.610
1679821477927,2023-03-26T11:04:37.927,0.260,0.534,0.541,0.640
1679821477937,2023-03-26T11:04:37.937,0.270,-0.145,0.488,0.709
1679821477947,2023-03-26T11:04:37.947,0.280,-0.198,0.442,0.770
1679821477957,2023-03-26T11:04:37.957,0.290,-0.457,0.488,0.770
1679821477967,2023-03-26T11:04:37.967,0.300,-0.785,0.808,0.678
1679821477977,2023-03-26T11:04:37.977,0.310,-0.831,0.938,0.701
1679821477987,2023-03-26T11:04:37.987,0.320,-0.556,0.907,0.541
1679821477997,2023-03-26T11:04:37.997,0.330,-0.061,0.587,0.328
1679821478007,2023-03-26T11:04:38.007,0.340,-0.252,0.617,0.366
1679821478017,2023-03-26T11:04:38.017,0.350,-0.724,0.816,0.404
1679821478027,2023-03-26T11:04:38.027,0.360,-0.419,0.800,0.427
1679821478037,2023-03-26T11:04:38.037,0.370,0.160,0.899,0.526
1679821478047,2023-03-26T11:04:38.047,0.380,0.191,1.052,0.655
1679821478057,2023-03-26T11:04:38.057,0.390,0.297,1.288,0.732
1679821478067,2023-03-26T11:04:38.067,0.400,0.572,1.143,0.762
1679821478077,2023-03-26T11:04:38.077,0.410,0.556,0.945,0.640
1679821478087,2023-03-26T11:04:38.087,0.420,0.053,0.785,0.511
1679821478097,2023-03-26T11:04:38.097,0.430,-0.137,0.541,0.473
1679821478107,2023-03-26T11:04:38.107,0.440,-0.107,0.488,0.473
1679821478117,2023-03-26T11:04:38.117,0.450,0.282,0.732,0.480
1679821478127,2023-03-26T11:04:38.127,0.460,0.526,0.998,0.473
1679821478137,2023-03-26T11:04:38.137,0.470,0.473,1.128,0.404
1679821478147,2023-03-26T11:04:38.147,0.480,0.404,1.334,0.442
1679821478157,2023-03-26T11:04:38.157,0.490,0.701,1.242,0.572
1679821478167,2023-03-26T11:04:38.167,0.500,0.869,1.029,0.556
1679821478177,2023-03-26T11:04:38.177,0.510,0.694,0.976,0.564
1679821478187,2023-03-26T11:04:38.187,0.520,0.564,1.090,0.694
1679821478197,2023-03-26T11:04:38.197,0.530,0.366,1.120,0.762
