epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679821541037,2023-03-26T11:05:41.037,0.000,-0.069,0.480,-0.404
1679821541047,2023-03-26T11:05:41.047,0.010,0.015,1.524,1.608
1679821541057,2023-03-26T11:05:41.057,0.020,-0.343,0.869,0.511
1679821541067,2023-03-26T11:05:41.067,0.030,-0.274,0.762,0.183
1679821541077,2023-03-26T11:05:41.077,0.040,-0.160,0.724,0.313
1679821541087,2023-03-26T11:05:41.087,0.050,-0.122,0.694,0.335
1679821541097,2023-03-26T11:05:41.097,0.060,-0.099,0.716,0.335
1679821541107,2023-03-26T11:05:41.107,0.070,-0.061,0.869,0.320
1679821541117,2023-03-26T11:05:41.117,0.080,0.015,0.922,0.465
1679821541127,2023-03-26T11:05:41.127,0.090,0.122,1.021,0.518
1679821541137,2023-03-26T11:05:41.137,0.100,0.396,1.075,0.541
1679821541147,2023-03-26T11:05:41.147,0.110,0.419,1.159,0.473
1679821541157,2023-03-26T11:05:41.157,0.120,0.229,1.212,0.419
1679821541167,2023-03-26T11:05:41.167,0.130,-0.076,1.128,0.335
1679821541177,2023-03-26T11:05:41.177,0.140,-0.008,0.831,0.366
1679821541187,2023-03-26T11:05:41.187,0.150,-0.030,0.793,0.389
1679821541197,2023-03-26T11:05:41.197,0.160,-0.114,0.747,0.236
1679821541207,2023-03-26T11:05:41.207,0.170,-0.091,0.716,0.130
1679821541217,2023-03-26T11:05:41.217,0.180,-0.015,0.671,0.130
1679821541227,2023-03-26T11:05:41.227,0.190,-0.297,0.678,0.046
1679821541237,2023-03-26T11:05:41.237,0.200,-0.442,0.701,0.084
1679821541247,2023-03-26T11:05:41.247,0.210,-0.389,0.739,0.229
1679821541257,2023-03-26T11:05:41.257,0.220,-0.617,0.968,0.191
1679821541267,2023-03-26T11:05:41.267,0.230,-0.495,1.151,0.152
1679821541277,2023-03-26T11:05:41.277,0.240,-0.213,1.044,0.313
1679821541287,2023-03-26T11:05:41.287,0.250,-0.274,0.968,0.320
1679821541297,2023-03-26T11:05:41.297,0.260,-0.061,0.945,0.328
1679821541307,2023-03-26T11:05:41.307,0.270,0.541,0.846,0.366
1679821541317,2023-03-26T11:05:41.317,0.280,0.899,0.602,0.389
1679821541327,2023-03-26T11:05:41.327,0.290,0.808,0.427,0.396
1679821541337,2023-03-26T11:05:41.337,0.300,0.892,0.473,0.351
1679821541347,2023-03-26T11:05:41.347,0.310,1.105,0.549,0.488
1679821541357,2023-03-26T11:05:41.357,0.320,0.953,0.518,0.480
1679821541367,2023-03-26T11:05:41.367,0.330,0.503,0.633,0.396
1679821541377,2023-03-26T11:05:41.377,0.340,0.335,0.549,0.381
1679821541387,2023-03-26T11:05:41.387,0.350,0.381,0.465,0.343
1679821541397,2023-03-26T11:05:41.397,0.360,0.091,0.373,0.290
