elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
0;-1.045;0.075;-0.088;-0.709;1.189;0.8
0.01;-1.06;0.076;-0.09;-0.838;0.724;0.183
0.02;-1.057;0.074;-0.088;-0.877;0.526;0.076
0.03;-1.054;0.074;-0.09;-0.823;0.381;0.191
0.04;-1.057;0.068;-0.09;-0.541;0.358;0.175
0.05;-1.052;0.065;-0.087;-0.678;0.069;0.32
0.06;-1.061;0.066;-0.103;0.244;0.663;0.015
0.07;-1.063;0.069;-0.102;1.227;-0.015;-0.282
0.08;-1.057;0.069;-0.102;1.38;-0.404;-0.145
0.09;-1.055;0.071;-0.104;1.395;-0.137;-0.206
0.1;-1.056;0.073;-0.105;1.136;-0.015;-0.282
0.11;-1.054;0.074;-0.102;0.457;-0.053;-0.244
0.12;-1.056;0.072;-0.097;-0.175;0.046;-0.099
0.13;-1.053;0.07;-0.09;-0.274;0;0.175
0.14;-1.051;0.074;-0.086;-0.282;0.03;0.183
0.15;-1.055;0.073;-0.081;-0.335;0.305;-0.114
0.16;-1.057;0.074;-0.081;-0.305;0.549;-0.168
0.17;-1.058;0.073;-0.091;-0.358;0.709;-0.13
0.18;-1.064;0.069;-0.101;-0.053;0.434;-0.145
0.19;-1.056;0.065;-0.1;0.381;-0.259;-0.145
0.2;-1.049;0.068;-0.1;0.617;-0.152;-0.152
0.21;-1.051;0.069;-0.102;0.739;0.206;-0.091
0.22;-1.052;0.071;-0.096;0.503;0.335;-0.168
0.23;-1.057;0.069;-0.094;0.16;0.518;-0.168
0.24;-1.058;0.071;-0.092;-0.053;0.373;-0.175
0.25;-1.054;0.072;-0.093;-0.114;0.038;-0.122
0.26;-1.053;0.072;-0.092;-0.107;0.16;-0.13
0.27;-1.055;0.071;-0.094;-0.145;0.366;-0.221
0.28;-1.054;0.071;-0.092;-0.099;0.244;-0.191
0.29;-1.052;0.07;-0.09;-0.107;0.328;-0.191
0.3;-1.06;0.07;-0.097;0.091;0.518;-0.229
0.31;-1.061;0.067;-0.095;0.175;0.221;-0.206
0.32;-1.056;0.065;-0.097;0.358;-0.038;-0.038
0.33;-1.055;0.065;-0.102;0.655;0.099;-0.084
0.34;-1.054;0.066;-0.1;0.93;-0.29;0.015
0.35;-1.052;0.071;-0.098;1.037;-0.244;0.038
0.36;-1.054;0.073;-0.096;0.495;0.069;-0.091
0.37;-1.056;0.072;-0.091;-0.03;0.13;-0.038
0.38;-1.059;0.072;-0.093;-0.122;0.335;-0.114
0.39;-1.057;0.073;-0.095;-0.236;0.236;-0.13
0.4;-1.057;0.071;-0.093;-0.099;0.107;-0.297
0.41;-1.057;0.068;-0.098;0.046;0.221;-0.305
0.42;-1.062;0.063;-0.107;0;0.267;-0.282
0.43;-1.058;0.063;-0.102;-0.099;0.099;-0.396
0.44;-1.072;0.061;-0.129;-0.93;0.678;-0.64
0.45;-1.069;0.067;-0.119;0.114;-0.938;-0.96
0.46;-1.044;0.066;-0.118;-0.526;-1.555;-1.166
0.47;-1.031;0.074;-0.105;-1.372;-0.945;-0.564
0.48;-1.028;0.089;-0.086;-2.409;-0.053;-0.023
0.49;-1.05;0.078;-0.078;-4.123;1.402;-0.122
0.5;-1.075;0.052;-0.077;-4.131;1.41;-0.564
0.51;-1.066;0.048;-0.078;-1.928;-0.312;-0.678
0.52;-1.037;0.083;-0.069;-1.288;-1.418;-0.473
0.53;-1.028;0.104;-0.068;-2.561;-1.006;-0.739
