elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
0;-1.03;0.232;-0.147;24.695;50.252;9.169
0.01;-1.078;0.272;-0.187;24.459;51.098;9.047
0.02;-1.156;0.371;-0.25;21.364;55.137;7.957
0.03;-1.291;0.394;-0.35;16.303;53.91;2.447
0.04;-1.354;0.32;-0.407;13.125;46.311;-0.808
0.05;-1.317;0.296;-0.397;8.59;38.392;-2.005
0.06;-1.272;0.303;-0.339;-0.694;31.486;-6.044
0.07;-1.229;0.244;-0.303;-9.748;25.282;-9.085
0.08;-1.18;0.185;-0.265;-16.631;19.893;-8.948
0.09;-1.155;0.147;-0.217;-21.113;14.024;-8.346
0.1;-1.138;0.099;-0.165;-19.07;7.759;-8.582
0.11;-1.1;0.042;-0.099;-11.349;2.386;-8.75
0.12;-1.062;0.005;-0.037;-4.436;-2.165;-8.133
0.13;-1.014;-0.046;0;2.424;-4.672;-7.744
0.14;-0.992;-0.117;0.029;12.416;-9.261;-7.325
0.15;-0.983;-0.171;0.049;26.578;-12.203;-7.104
0.16;-0.963;-0.201;0.028;43.956;-13.537;-7.63
0.17;-0.969;-0.196;-0.006;61.73;-14.535;-7.896
0.18;-0.987;-0.132;-0.056;74.009;-16.837;-7.492
0.19;-1.04;-0.024;-0.088;76.86;-19.97;-7.241
0.2;-1.039;0.075;-0.123;76.982;-20.915;-6.082
0.21;-1.03;0.159;-0.144;74.123;-21.311;-7.309
0.22;-0.988;0.166;-0.171;71.075;-21.181;-9.2
0.23;-0.977;0.143;-0.212;69.733;-24.497;-9.939
0.24;-0.965;0.143;-0.253;67.569;-25.732;-9.695
0.25;-0.986;0.142;-0.285;66.38;-25.373;-8.826
0.26;-1.063;0.134;-0.355;70.343;-28.59;-8.971
0.27;-1.149;0.15;-0.447;70.343;-36.829;-7.637
0.28;-1.2;0.212;-0.549;62.363;-46.57;-5.16
0.29;-1.26;0.279;-0.63;49.68;-59.04;-5.907
0.3;-1.287;0.302;-0.627;36.921;-72.264;-7.683
0.31;-1.271;0.305;-0.566;24.002;-83.628;-8.125
0.32;-1.228;0.326;-0.501;8.369;-91.715;-7.355
0.33;-1.199;0.345;-0.455;-8.994;-96.852;-6.89
0.34;-1.198;0.331;-0.418;-23.049;-99.97;-6.547
0.35;-1.194;0.29;-0.398;-31.372;-102.096;-5.915
0.36;-1.195;0.244;-0.389;-35.366;-104.84;-5.655
0.37;-1.198;0.242;-0.396;-41.159;-106.181;-6.524
0.38;-1.201;0.241;-0.434;-49.085;-107.66;-8.605
0.39;-1.208;0.227;-0.467;-53.308;-110.556;-11.273
0.4;-1.213;0.241;-0.472;-57.393;-114.886;-13.407
0.41;-1.189;0.242;-0.467;-61.997;-119.009;-13.872
0.42;-1.166;0.224;-0.442;-67.043;-121.692;-14.261
0.43;-1.173;0.206;-0.43;-69.97;-125.495;-15.633
0.44;-1.178;0.169;-0.447;-67.309;-130.358;-16.989
0.45;-1.149;0.138;-0.456;-60.305;-134.703;-17.812
0.46;-1.114;0.148;-0.445;-55.48;-137.95;-18.659
0.47;-1.061;0.173;-0.433;-54.672;-138.674;-19.581
0.48;-1.015;0.184;-0.426;-54.771;-137.645;-20.755
0.49;-0.98;0.173;-0.419;-52.828;-136.067;-22.462
0.5;-0.95;0.149;-0.413;-49.87;-134.345;-24.108
0.51;-0.922;0.129;-0.4;-48.468;-132.553;-25.114
0.52;-0.896;0.121;-0.397;-47.927;-130.633;-26.075
0.53;-0.863;0.109;-0.39;-46.341;-128.133;-27.332
0.54;-0.837;0.094;-0.383;-43.422;-125.328;-28.956
0.55;-0.815;0.076;-0.373;-39.535;-122.79;-30.069
0.56;-0.797;0.051;-0.361;-34.68;-120.488;-30.998
0.57;-0.77;0.04;-0.343;-28.323;-118.643;-31.006
0.58;-0.755;0.072;-0.319;-26.113;-117.447;-29.047
0.59;-0.736;0.119;-0.299;-31.014;-113.643;-26.997
0.6;-0.711;0.145;-0.282;-36.502;-108.62;-25.488
0.61;-0.714;0.17;-0.262;-41.905;-105.861;-23.941
0.62;-0.7;0.187;-0.232;-45.846;-101.57;-22.317
0.63;-0.728;0.182;-0.191;-47.774;-99.84;-21.562
0.64;-0.799;0.194;-0.132;-53.018;-97.637;-21.593
0.65;-0.821;0.183;-0.038;-55.785;-92.591;-22.904
0.66;-0.837;0.123;0.113;-55.099;-89.87;-25.823
0.67;-0.812;0.013;0.29;-50.32;-84.299;-28.567
0.68;-0.713;-0.135;0.431;-38.308;-66.143;-27.058
0.69;-0.646;-0.269;0.561;-24.367;-39.909;-20.32
0.7;-0.697;-0.351;0.743;-17.477;-15.434;-10.099
0.71;-0.805;-0.389;0.922;-12.226;4.878;0.655
0.72;-0.926;-0.373;0.944;-1.776;17.439;10.755
0.73;-1.007;-0.301;0.862;11.029;22.248;20.572
0.74;-1.014;-0.17;0.796;17.454;27.492;30.724
