epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681555605726,2023-04-15T12.46.45.726,0.000,24.695,50.252,9.169
1681555605736,2023-04-15T12.46.45.736,0.010,24.459,51.098,9.047
1681555605746,2023-04-15T12.46.45.746,0.020,21.364,55.137,7.957
1681555605756,2023-04-15T12.46.45.756,0.030,16.303,53.910,2.447
1681555605766,2023-04-15T12.46.45.766,0.040,13.125,46.311,-0.808
1681555605776,2023-04-15T12.46.45.776,0.050,8.590,38.392,-2.005
1681555605786,2023-04-15T12.46.45.786,0.060,-0.694,31.486,-6.044
1681555605796,2023-04-15T12.46.45.796,0.070,-9.748,25.282,-9.085
1681555605806,2023-04-15T12.46.45.806,0.080,-16.631,19.893,-8.948
1681555605816,2023-04-15T12.46.45.816,0.090,-21.113,14.024,-8.346
1681555605826,2023-04-15T12.46.45.826,0.100,-19.070,7.759,-8.582
1681555605836,2023-04-15T12.46.45.836,0.110,-11.349,2.386,-8.750
1681555605846,2023-04-15T12.46.45.846,0.120,-4.436,-2.165,-8.133
1681555605856,2023-04-15T12.46.45.856,0.130,2.424,-4.672,-7.744
1681555605866,2023-04-15T12.46.45.866,0.140,12.416,-9.261,-7.325
1681555605876,2023-04-15T12.46.45.876,0.150,26.578,-12.203,-7.104
1681555605886,2023-04-15T12.46.45.886,0.160,43.956,-13.537,-7.630
1681555605896,2023-04-15T12.46.45.896,0.170,61.730,-14.535,-7.896
1681555605906,2023-04-15T12.46.45.906,0.180,74.009,-16.837,-7.492
1681555605916,2023-04-15T12.46.45.916,0.190,76.860,-19.970,-7.241
1681555605926,2023-04-15T12.46.45.926,0.200,76.982,-20.915,-6.082
1681555605936,2023-04-15T12.46.45.936,0.210,74.123,-21.311,-7.309
1681555605946,2023-04-15T12.46.45.946,0.220,71.075,-21.181,-9.200
1681555605956,2023-04-15T12.46.45.956,0.230,69.733,-24.497,-9.939
1681555605966,2023-04-15T12.46.45.966,0.240,67.569,-25.732,-9.695
1681555605976,2023-04-15T12.46.45.976,0.250,66.380,-25.373,-8.826
1681555605986,2023-04-15T12.46.45.986,0.260,70.343,-28.590,-8.971
1681555605996,2023-04-15T12.46.45.996,0.270,70.343,-36.829,-7.637
1681555606006,2023-04-15T12.46.46.006,0.280,62.363,-46.570,-5.160
1681555606016,2023-04-15T12.46.46.016,0.290,49.680,-59.040,-5.907
1681555606026,2023-04-15T12.46.46.026,0.300,36.921,-72.264,-7.683
1681555606036,2023-04-15T12.46.46.036,0.310,24.002,-83.628,-8.125
