epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1681555072671,2023-04-15T12:37:52.671,0.000,-172.679,-68.876,0.000,0.000
1681555072681,2023-04-15T12:37:52.681,0.010,-172.689,-68.879,0.011,0.011
1681555072691,2023-04-15T12:37:52.691,0.020,-172.707,-68.897,0.020,0.020
1681555072701,2023-04-15T12:37:52.701,0.030,-172.712,-68.903,359.991,359.991
1681555072711,2023-04-15T12:37:52.711,0.040,-172.707,-68.901,359.926,359.926
1681555072721,2023-04-15T12:37:52.721,0.050,-172.713,-68.896,359.858,359.858
1681555072731,2023-04-15T12:37:52.731,0.060,-172.715,-68.887,359.764,359.764
1681555072741,2023-04-15T12:37:52.741,0.070,-172.712,-68.872,359.664,359.664
1681555072751,2023-04-15T12:37:52.751,0.080,-172.708,-68.863,359.584,359.584
1681555072761,2023-04-15T12:37:52.761,0.090,-172.715,-68.870,359.553,359.553
1681555072771,2023-04-15T12:37:52.771,0.100,-172.734,-68.877,359.573,359.573
1681555072781,2023-04-15T12:37:52.781,0.110,-172.758,-68.885,359.610,359.610
1681555072791,2023-04-15T12:37:52.791,0.120,-172.783,-68.894,359.637,359.637
1681555072801,2023-04-15T12:37:52.801,0.130,-172.805,-68.904,359.645,359.645
1681555072811,2023-04-15T12:37:52.811,0.140,-172.822,-68.904,359.632,359.632
1681555072821,2023-04-15T12:37:52.821,0.150,-172.820,-68.882,359.589,359.589
1681555072831,2023-04-15T12:37:52.831,0.160,-172.837,-68.879,359.574,359.574
1681555072841,2023-04-15T12:37:52.841,0.170,-172.856,-68.878,359.564,359.564
1681555072851,2023-04-15T12:37:52.851,0.180,-172.874,-68.882,359.541,359.541
1681555072861,2023-04-15T12:37:52.861,0.190,-172.888,-68.885,359.502,359.502
1681555072871,2023-04-15T12:37:52.871,0.200,-172.901,-68.881,359.454,359.454
1681555072881,2023-04-15T12:37:52.881,0.210,-172.912,-68.871,359.399,359.399
1681555072891,2023-04-15T12:37:52.891,0.220,-172.924,-68.859,359.354,359.354
1681555072901,2023-04-15T12:37:52.901,0.230,-172.936,-68.849,359.313,359.313
1681555072911,2023-04-15T12:37:52.911,0.240,-172.942,-68.830,359.273,359.273
1681555072921,2023-04-15T12:37:52.921,0.250,-172.950,-68.807,359.257,359.257
1681555072931,2023-04-15T12:37:52.931,0.260,-172.963,-68.791,359.277,359.277
1681555072941,2023-04-15T12:37:52.941,0.270,-172.979,-68.775,359.341,359.341
1681555072951,2023-04-15T12:37:52.951,0.280,-173.003,-68.757,359.458,359.458
1681555072961,2023-04-15T12:37:52.961,0.290,-173.035,-68.736,359.620,359.620
1681555072971,2023-04-15T12:37:52.971,0.300,-173.068,-68.711,359.796,359.796
1681555072981,2023-04-15T12:37:52.981,0.310,-173.100,-68.680,359.969,359.969
1681555072991,2023-04-15T12:37:52.991,0.320,-173.134,-68.647,0.137,0.137
