epoch (ms),time (01:00),elapsed (s),pitch (deg),roll (deg),yaw (deg), heading (deg)
1679822148505,2023-03-26T11:15:48.505,0.000,-172.500,-82.494,0.049,0.049
1679822148515,2023-03-26T11:15:48.515,0.010,-172.489,-82.480,0.095,0.095
1679822148525,2023-03-26T11:15:48.525,0.020,-172.488,-82.476,0.140,0.140
1679822148535,2023-03-26T11:15:48.535,0.030,-172.472,-82.458,0.171,0.171
1679822148545,2023-03-26T11:15:48.545,0.040,-172.458,-82.440,0.208,0.208
1679822148555,2023-03-26T11:15:48.555,0.050,-172.441,-82.420,0.249,0.249
1679822148565,2023-03-26T11:15:48.565,0.060,-172.422,-82.396,0.291,0.291
1679822148575,2023-03-26T11:15:48.575,0.070,-172.401,-82.372,0.321,0.321
1679822148585,2023-03-26T11:15:48.585,0.080,-172.416,-82.384,0.365,0.365
1679822148595,2023-03-26T11:15:48.595,0.090,-172.439,-82.405,0.410,0.410
1679822148605,2023-03-26T11:15:48.605,0.100,-172.451,-82.414,0.435,0.435
1679822148615,2023-03-26T11:15:48.615,0.110,-172.438,-82.398,0.437,0.437
1679822148625,2023-03-26T11:15:48.625,0.120,-172.431,-82.389,0.447,0.447
1679822148635,2023-03-26T11:15:48.635,0.130,-172.425,-82.380,0.444,0.444
1679822148645,2023-03-26T11:15:48.645,0.140,-172.419,-82.372,0.436,0.436
1679822148655,2023-03-26T11:15:48.655,0.150,-172.412,-82.365,0.422,0.422
1679822148665,2023-03-26T11:15:48.665,0.160,-172.412,-82.365,0.412,0.412
1679822148675,2023-03-26T11:15:48.675,0.170,-172.412,-82.365,0.393,0.393
1679822148685,2023-03-26T11:15:48.685,0.180,-172.411,-82.366,0.369,0.369
1679822148695,2023-03-26T11:15:48.695,0.190,-172.411,-82.368,0.333,0.333
1679822148705,2023-03-26T11:15:48.705,0.200,-172.410,-82.369,0.272,0.272
1679822148715,2023-03-26T11:15:48.715,0.210,-172.409,-82.369,0.198,0.198
1679822148725,2023-03-26T11:15:48.725,0.220,-172.408,-82.369,0.118,0.118
1679822148735,2023-03-26T11:15:48.735,0.230,-172.407,-82.369,0.043,0.043
1679822148745,2023-03-26T11:15:48.745,0.240,-172.406,-82.371,359.970,359.970
1679822148755,2023-03-26T11:15:48.755,0.250,-172.405,-82.373,359.874,359.874
1679822148765,2023-03-26T11:15:48.765,0.260,-172.403,-82.375,359.753,359.753
1679822148775,2023-03-26T11:15:48.775,0.270,-172.402,-82.378,359.620,359.620
1679822148785,2023-03-26T11:15:48.785,0.280,-172.400,-82.379,359.479,359.479
1679822148795,2023-03-26T11:15:48.795,0.290,-172.399,-82.380,359.331,359.331
1679822148805,2023-03-26T11:15:48.805,0.300,-172.397,-82.381,359.157,359.157
1679822148815,2023-03-26T11:15:48.815,0.310,-172.390,-82.375,358.947,358.947
1679822148825,2023-03-26T11:15:48.825,0.320,-172.385,-82.372,358.711,358.711
1679822148835,2023-03-26T11:15:48.835,0.330,-172.383,-82.372,358.449,358.449
1679822148845,2023-03-26T11:15:48.845,0.340,-172.381,-82.372,358.156,358.156
1679822148855,2023-03-26T11:15:48.855,0.350,-172.379,-82.372,357.867,357.867
1679822148865,2023-03-26T11:15:48.865,0.360,-172.367,-82.361,357.620,357.620
1679822148875,2023-03-26T11:15:48.875,0.370,-172.355,-82.351,357.411,357.411
1679822148885,2023-03-26T11:15:48.885,0.380,-172.355,-82.351,357.248,357.248
1679822148895,2023-03-26T11:15:48.895,0.390,-172.360,-82.357,357.160,357.160
1679822148905,2023-03-26T11:15:48.905,0.400,-172.371,-82.368,357.124,357.124
1679822148915,2023-03-26T11:15:48.915,0.410,-172.382,-82.378,357.088,357.088
1679822148925,2023-03-26T11:15:48.925,0.420,-172.394,-82.389,357.049,357.049
1679822148935,2023-03-26T11:15:48.935,0.430,-172.411,-82.404,357.016,357.016
1679822148945,2023-03-26T11:15:48.945,0.440,-172.426,-82.417,356.989,356.989
1679822148955,2023-03-26T11:15:48.955,0.450,-172.438,-82.426,356.957,356.957
1679822148965,2023-03-26T11:15:48.965,0.460,-172.447,-82.432,356.939,356.939
1679822148975,2023-03-26T11:15:48.975,0.470,-172.447,-82.428,356.965,356.965
1679822148985,2023-03-26T11:15:48.985,0.480,-172.448,-82.424,357.050,357.050
1679822148995,2023-03-26T11:15:48.995,0.490,-172.443,-82.413,357.156,357.156
1679822149005,2023-03-26T11:15:49.005,0.500,-172.436,-82.399,357.278,357.278
1679822149015,2023-03-26T11:15:49.015,0.510,-172.430,-82.387,357.434,357.434
1679822149025,2023-03-26T11:15:49.025,0.520,-172.432,-82.384,357.614,357.614
1679822149035,2023-03-26T11:15:49.035,0.530,-172.435,-82.381,357.762,357.762
1679822149045,2023-03-26T11:15:49.045,0.540,-172.437,-82.376,357.886,357.886
1679822149055,2023-03-26T11:15:49.055,0.550,-172.432,-82.365,357.995,357.995
1679822149065,2023-03-26T11:15:49.065,0.560,-172.420,-82.346,358.096,358.096
1679822149075,2023-03-26T11:15:49.075,0.570,-172.398,-82.318,358.153,358.153
1679822149085,2023-03-26T11:15:49.085,0.580,-172.373,-82.284,358.154,358.154
1679822149095,2023-03-26T11:15:49.095,0.590,-172.353,-82.255,358.162,358.162
1679822149105,2023-03-26T11:15:49.105,0.600,-172.342,-82.237,358.240,358.240
1679822149115,2023-03-26T11:15:49.115,0.610,-172.336,-82.220,358.366,358.366
1679822149125,2023-03-26T11:15:49.125,0.620,-172.333,-82.202,358.512,358.512
1679822149135,2023-03-26T11:15:49.135,0.630,-172.337,-82.187,358.672,358.672
1679822149145,2023-03-26T11:15:49.145,0.640,-172.342,-82.169,358.825,358.825
1679822149155,2023-03-26T11:15:49.155,0.650,-172.346,-82.148,358.965,358.965
1679822149165,2023-03-26T11:15:49.165,0.660,-172.360,-82.138,359.102,359.102
1679822149175,2023-03-26T11:15:49.175,0.670,-172.375,-82.128,359.232,359.232
1679822149185,2023-03-26T11:15:49.185,0.680,-172.386,-82.114,359.352,359.352
1679822149195,2023-03-26T11:15:49.195,0.690,-172.396,-82.100,359.466,359.466
1679822149205,2023-03-26T11:15:49.205,0.700,-172.407,-82.087,359.578,359.578
1679822149215,2023-03-26T11:15:49.215,0.710,-172.410,-82.069,359.668,359.668
1679822149225,2023-03-26T11:15:49.225,0.720,-172.414,-82.052,359.746,359.746
1679822149235,2023-03-26T11:15:49.235,0.730,-172.417,-82.038,359.821,359.821
1679822149245,2023-03-26T11:15:49.245,0.740,-172.420,-82.024,359.897,359.897
1679822149255,2023-03-26T11:15:49.255,0.750,-172.441,-82.027,359.995,359.995
1679822149265,2023-03-26T11:15:49.265,0.760,-172.465,-82.035,0.093,0.093
1679822149275,2023-03-26T11:15:49.275,0.770,-172.498,-82.049,0.181,0.181
1679822149285,2023-03-26T11:15:49.285,0.780,-172.500,-82.034,0.220,0.220
1679822149295,2023-03-26T11:15:49.295,0.790,-172.502,-82.019,0.253,0.253
1679822149305,2023-03-26T11:15:49.305,0.800,-172.504,-82.003,0.286,0.286
1679822149315,2023-03-26T11:15:49.315,0.810,-172.506,-81.986,0.330,0.330
1679822149325,2023-03-26T11:15:49.325,0.820,-172.509,-81.971,0.386,0.386
1679822149335,2023-03-26T11:15:49.335,0.830,-172.507,-81.948,0.441,0.441
1679822149345,2023-03-26T11:15:49.345,0.840,-172.503,-81.924,0.497,0.497
1679822149355,2023-03-26T11:15:49.355,0.850,-172.596,-81.971,0.662,0.662
1679822149365,2023-03-26T11:15:49.365,0.860,-172.600,-81.953,0.728,0.728
1679822149375,2023-03-26T11:15:49.375,0.870,-172.603,-81.935,0.775,0.775
1679822149385,2023-03-26T11:15:49.385,0.880,-172.605,-81.917,0.804,0.804
1679822149395,2023-03-26T11:15:49.395,0.890,-172.606,-81.901,0.828,0.828
1679822149405,2023-03-26T11:15:49.405,0.900,-172.607,-81.887,0.843,0.843
1679822149415,2023-03-26T11:15:49.415,0.910,-172.641,-81.903,0.890,0.890
1679822149425,2023-03-26T11:15:49.425,0.920,-172.673,-81.918,0.935,0.935
1679822149435,2023-03-26T11:15:49.435,0.930,-172.706,-81.935,0.982,0.982
1679822149445,2023-03-26T11:15:49.445,0.940,-172.736,-81.951,1.023,1.023
1679822149455,2023-03-26T11:15:49.455,0.950,-172.777,-81.974,1.076,1.076
1679822149465,2023-03-26T11:15:49.465,0.960,-172.836,-82.013,1.156,1.156
1679822149475,2023-03-26T11:15:49.475,0.970,-172.826,-81.993,1.172,1.172
1679822149485,2023-03-26T11:15:49.485,0.980,-172.818,-81.973,1.201,1.201
1679822149495,2023-03-26T11:15:49.495,0.990,-172.812,-81.955,1.240,1.240
1679822149505,2023-03-26T11:15:49.505,1.000,-172.847,-81.963,1.309,1.309
1679822149515,2023-03-26T11:15:49.515,1.010,-172.848,-81.950,1.323,1.323
1679822149525,2023-03-26T11:15:49.525,1.020,-172.848,-81.939,1.320,1.320
1679822149535,2023-03-26T11:15:49.535,1.030,-172.847,-81.929,1.303,1.303
1679822149545,2023-03-26T11:15:49.545,1.040,-172.846,-81.917,1.275,1.275
1679822149555,2023-03-26T11:15:49.555,1.050,-172.865,-81.921,1.262,1.262
1679822149565,2023-03-26T11:15:49.565,1.060,-172.880,-81.925,1.235,1.235
1679822149575,2023-03-26T11:15:49.575,1.070,-172.892,-81.926,1.194,1.194
1679822149585,2023-03-26T11:15:49.585,1.080,-172.906,-81.931,1.156,1.156
1679822149595,2023-03-26T11:15:49.595,1.090,-172.930,-81.945,1.127,1.127
1679822149605,2023-03-26T11:15:49.605,1.100,-172.955,-81.960,1.096,1.096
1679822149615,2023-03-26T11:15:49.615,1.110,-172.994,-81.987,1.080,1.080
1679822149625,2023-03-26T11:15:49.625,1.120,-173.046,-82.026,1.088,1.088
1679822149635,2023-03-26T11:15:49.635,1.130,-173.099,-82.064,1.107,1.107
1679822149645,2023-03-26T11:15:49.645,1.140,-173.154,-82.099,1.138,1.138
1679822149655,2023-03-26T11:15:49.655,1.150,-173.207,-82.133,1.178,1.178
1679822149665,2023-03-26T11:15:49.665,1.160,-173.243,-82.154,1.209,1.209
1679822149675,2023-03-26T11:15:49.675,1.170,-173.279,-82.171,1.245,1.245
1679822149685,2023-03-26T11:15:49.685,1.180,-173.320,-82.191,1.287,1.287
1679822149695,2023-03-26T11:15:49.695,1.190,-173.355,-82.208,1.332,1.332
1679822149705,2023-03-26T11:15:49.705,1.200,-173.383,-82.220,1.376,1.376
1679822149715,2023-03-26T11:15:49.715,1.210,-173.404,-82.227,1.415,1.415
1679822149725,2023-03-26T11:15:49.725,1.220,-173.417,-82.227,1.440,1.440
1679822149735,2023-03-26T11:15:49.735,1.230,-173.426,-82.226,1.450,1.450
1679822149745,2023-03-26T11:15:49.745,1.240,-173.441,-82.231,1.466,1.466
1679822149755,2023-03-26T11:15:49.755,1.250,-173.465,-82.240,1.482,1.482
1679822149765,2023-03-26T11:15:49.765,1.260,-173.503,-82.258,1.522,1.522
1679822149775,2023-03-26T11:15:49.775,1.270,-173.551,-82.285,1.582,1.582
1679822149785,2023-03-26T11:15:49.785,1.280,-173.599,-82.309,1.650,1.650
1679822149795,2023-03-26T11:15:49.795,1.290,-173.638,-82.324,1.714,1.714
1679822149805,2023-03-26T11:15:49.805,1.300,-173.671,-82.334,1.775,1.775
1679822149815,2023-03-26T11:15:49.815,1.310,-173.698,-82.342,1.832,1.832
1679822149825,2023-03-26T11:15:49.825,1.320,-173.717,-82.345,1.884,1.884
1679822149835,2023-03-26T11:15:49.835,1.330,-173.729,-82.345,1.926,1.926
1679822149845,2023-03-26T11:15:49.845,1.340,-173.733,-82.337,1.955,1.955
1679822149855,2023-03-26T11:15:49.855,1.350,-173.733,-82.328,1.975,1.975
