epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679512003050,2023-03-22T20:06:43.050,0.000,0.282,0.381,-0.137
1679512003060,2023-03-22T20:06:43.060,0.010,0.091,1.151,1.479
1679512003070,2023-03-22T20:06:43.070,0.020,-0.053,1.303,0.907
1679512003080,2023-03-22T20:06:43.080,0.030,-0.069,0.808,0.610
1679512003090,2023-03-22T20:06:43.090,0.040,-0.351,0.739,0.724
1679512003100,2023-03-22T20:06:43.100,0.050,-0.518,0.739,0.785
1679512003110,2023-03-22T20:06:43.110,0.060,-0.518,0.838,0.732
1679512003120,2023-03-22T20:06:43.120,0.070,-0.526,0.953,0.793
1679512003130,2023-03-22T20:06:43.130,0.080,-0.389,0.800,0.869
1679512003140,2023-03-22T20:06:43.140,0.090,-0.450,0.770,0.831
1679512003150,2023-03-22T20:06:43.150,0.100,-0.678,0.747,0.838
1679512003160,2023-03-22T20:06:43.160,0.110,-0.663,0.747,0.877
1679512003170,2023-03-22T20:06:43.170,0.120,-0.412,0.526,0.785
1679512003180,2023-03-22T20:06:43.180,0.130,-0.282,0.625,0.755
1679512003190,2023-03-22T20:06:43.190,0.140,-0.023,0.617,0.770
1679512003200,2023-03-22T20:06:43.200,0.150,0.160,0.434,0.831
1679512003210,2023-03-22T20:06:43.210,0.160,0.152,0.564,0.800
1679512003220,2023-03-22T20:06:43.220,0.170,0.145,0.930,0.831
1679512003230,2023-03-22T20:06:43.230,0.180,0.328,0.884,0.892
1679512003240,2023-03-22T20:06:43.240,0.190,0.297,0.739,0.838
1679512003250,2023-03-22T20:06:43.250,0.200,-0.061,0.671,0.907
1679512003260,2023-03-22T20:06:43.260,0.210,-0.473,0.274,1.006
1679512003270,2023-03-22T20:06:43.270,0.220,-0.716,0.343,0.869
1679512003280,2023-03-22T20:06:43.280,0.230,-0.655,0.381,0.884
1679512003290,2023-03-22T20:06:43.290,0.240,-0.701,0.648,0.899
1679512003300,2023-03-22T20:06:43.300,0.250,-0.762,0.709,0.915
1679512003310,2023-03-22T20:06:43.310,0.260,-1.021,0.709,0.930
1679512003320,2023-03-22T20:06:43.320,0.270,-1.029,0.633,0.899
1679512003330,2023-03-22T20:06:43.330,0.280,-0.930,0.602,0.938
1679512003340,2023-03-22T20:06:43.340,0.290,-0.556,0.587,0.854
1679512003350,2023-03-22T20:06:43.350,0.300,-0.221,0.770,0.838
1679512003360,2023-03-22T20:06:43.360,0.310,0.084,0.602,0.823
1679512003370,2023-03-22T20:06:43.370,0.320,0.274,0.465,0.907
1679512003380,2023-03-22T20:06:43.380,0.330,0.373,0.602,0.907
1679512003390,2023-03-22T20:06:43.390,0.340,0.213,0.922,0.877
1679512003400,2023-03-22T20:06:43.400,0.350,0.175,0.709,0.938
1679512003410,2023-03-22T20:06:43.410,0.360,0.114,0.564,0.930
1679512003420,2023-03-22T20:06:43.420,0.370,-0.175,0.861,0.907
1679512003430,2023-03-22T20:06:43.430,0.380,-0.046,0.785,0.915
1679512003440,2023-03-22T20:06:43.440,0.390,0.160,0.389,0.915
1679512003450,2023-03-22T20:06:43.450,0.400,0.206,0.328,0.777
1679512003460,2023-03-22T20:06:43.460,0.410,0.236,0.602,0.808
1679512003470,2023-03-22T20:06:43.470,0.420,0.290,0.854,0.968
1679512003480,2023-03-22T20:06:43.480,0.430,0.808,0.587,0.884
1679512003490,2023-03-22T20:06:43.490,0.440,1.044,0.511,0.709
1679512003500,2023-03-22T20:06:43.500,0.450,0.755,0.861,0.831
1679512003510,2023-03-22T20:06:43.510,0.460,0.861,1.044,0.915
1679512003520,2023-03-22T20:06:43.520,0.470,1.159,0.739,0.907
1679512003530,2023-03-22T20:06:43.530,0.480,1.052,0.701,0.922
1679512003540,2023-03-22T20:06:43.540,0.490,0.556,0.777,0.808
1679512003550,2023-03-22T20:06:43.550,0.500,0.495,0.877,0.846
1679512003560,2023-03-22T20:06:43.560,0.510,0.998,1.692,0.854
1679512003570,2023-03-22T20:06:43.570,0.520,2.081,2.729,0.899
1679512003580,2023-03-22T20:06:43.580,0.530,1.570,0.465,0.808
1679512003590,2023-03-22T20:06:43.590,0.540,1.220,0.229,0.701
1679512003600,2023-03-22T20:06:43.600,0.550,0.785,0.663,0.877
1679512003610,2023-03-22T20:06:43.610,0.560,0.282,0.640,0.907
1679512003620,2023-03-22T20:06:43.620,0.570,0.191,0.488,0.861
1679512003630,2023-03-22T20:06:43.630,0.580,0.252,0.701,0.922
1679512003640,2023-03-22T20:06:43.640,0.590,0.152,0.915,0.854
1679512003650,2023-03-22T20:06:43.650,0.600,0.229,0.793,0.884
1679512003660,2023-03-22T20:06:43.660,0.610,0.328,0.945,0.953
1679512003670,2023-03-22T20:06:43.670,0.620,0.183,0.938,0.861
1679512003680,2023-03-22T20:06:43.680,0.630,0.046,0.808,0.907
1679512003690,2023-03-22T20:06:43.690,0.640,0.145,0.579,0.854
1679512003700,2023-03-22T20:06:43.700,0.650,-0.038,0.861,0.930
1679512003710,2023-03-22T20:06:43.710,0.660,-0.008,1.136,0.968
1679512003720,2023-03-22T20:06:43.720,0.670,0.183,1.181,0.930
1679512003730,2023-03-22T20:06:43.730,0.680,0.168,1.319,0.930
1679512003740,2023-03-22T20:06:43.740,0.690,0.335,0.930,0.831
1679512003750,2023-03-22T20:06:43.750,0.700,0.069,0.480,0.838
1679512003760,2023-03-22T20:06:43.760,0.710,-0.252,0.556,0.877
1679512003770,2023-03-22T20:06:43.770,0.720,-0.160,0.838,0.991
1679512003780,2023-03-22T20:06:43.780,0.730,0.015,0.854,1.037
1679512003790,2023-03-22T20:06:43.790,0.740,0.236,0.503,0.960
1679512003800,2023-03-22T20:06:43.800,0.750,0.274,0.678,0.953
1679512003810,2023-03-22T20:06:43.810,0.760,0.404,0.823,0.854
1679512003820,2023-03-22T20:06:43.820,0.770,0.335,1.021,0.899
1679512003830,2023-03-22T20:06:43.830,0.780,0.267,1.143,0.976
1679512003840,2023-03-22T20:06:43.840,0.790,0.610,0.770,0.907
1679512003850,2023-03-22T20:06:43.850,0.800,0.595,0.655,0.907
1679512003860,2023-03-22T20:06:43.860,0.810,0.678,0.846,0.930
1679512003870,2023-03-22T20:06:43.870,0.820,0.915,0.633,0.838
1679512003880,2023-03-22T20:06:43.880,0.830,0.877,0.495,0.907
1679512003890,2023-03-22T20:06:43.890,0.840,0.777,0.305,0.846
1679512003900,2023-03-22T20:06:43.900,0.850,0.716,0.069,0.884
