epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681469362213,2023-04-14T12:49:22.213,0.000,0.076,0.145,0.061
1681469362223,2023-04-14T12:49:22.223,0.010,0.320,-0.023,-0.907
1681469362233,2023-04-14T12:49:22.233,0.020,0.602,0.869,0.938
1681469362243,2023-04-14T12:49:22.243,0.030,0.716,0.678,0.457
1681469362253,2023-04-14T12:49:22.253,0.040,0.640,0.701,0.457
1681469362263,2023-04-14T12:49:22.263,0.050,0.473,0.800,0.579
1681469362273,2023-04-14T12:49:22.273,0.060,0.373,0.785,0.511
1681469362283,2023-04-14T12:49:22.283,0.070,0.175,0.694,0.556
1681469362293,2023-04-14T12:49:22.293,0.080,0.107,0.595,0.534
1681469362303,2023-04-14T12:49:22.303,0.090,0.130,0.465,0.473
1681469362313,2023-04-14T12:49:22.313,0.100,0.130,0.290,0.473
1681469362323,2023-04-14T12:49:22.323,0.110,0.114,0.229,0.442
1681469362333,2023-04-14T12:49:22.333,0.120,0.122,0.343,0.389
1681469362343,2023-04-14T12:49:22.343,0.130,0.122,0.396,0.419
1681469362353,2023-04-14T12:49:22.353,0.140,-0.023,0.396,0.434
1681469362363,2023-04-14T12:49:22.363,0.150,-0.160,0.495,0.396
1681469362373,2023-04-14T12:49:22.373,0.160,-0.274,0.701,0.450
1681469362383,2023-04-14T12:49:22.383,0.170,-0.221,0.694,0.457
1681469362393,2023-04-14T12:49:22.393,0.180,-0.061,0.625,0.358
1681469362403,2023-04-14T12:49:22.403,0.190,-0.008,0.526,0.427
1681469362413,2023-04-14T12:49:22.413,0.200,0.145,0.366,0.320
1681469362423,2023-04-14T12:49:22.423,0.210,0.183,0.091,0.252
1681469362433,2023-04-14T12:49:22.433,0.220,0.084,0.038,0.290
1681469362443,2023-04-14T12:49:22.443,0.230,-0.061,0.145,0.328
1681469362453,2023-04-14T12:49:22.453,0.240,-0.160,0.221,0.213
1681469362463,2023-04-14T12:49:22.463,0.250,-0.114,0.343,0.206
1681469362473,2023-04-14T12:49:22.473,0.260,-0.145,0.366,0.221
1681469362483,2023-04-14T12:49:22.483,0.270,-0.137,0.389,0.152
1681469362493,2023-04-14T12:49:22.493,0.280,-0.091,0.358,0.114
1681469362503,2023-04-14T12:49:22.503,0.290,-0.168,0.488,0.046
1681469362513,2023-04-14T12:49:22.513,0.300,-0.320,0.419,0.084
1681469362523,2023-04-14T12:49:22.523,0.310,-0.404,0.396,0.076
1681469362533,2023-04-14T12:49:22.533,0.320,-0.305,0.343,0.160
1681469362543,2023-04-14T12:49:22.543,0.330,-0.107,0.168,0.252
1681469362553,2023-04-14T12:49:22.553,0.340,0.252,0.191,0.229
1681469362563,2023-04-14T12:49:22.563,0.350,0.549,0.168,0.099
1681469362573,2023-04-14T12:49:22.573,0.360,0.678,0.000,0.091
1681469362583,2023-04-14T12:49:22.583,0.370,0.625,-0.114,0.152
