gyrox;gyroy;gyroz;promx;promy;promz;label
0.086333333;-1.892833333;2.484666667;-0.141841619;-0.117312059;1.197942311;mal
0.338022629;-1.821242818;2.339553189;-0.210270163;-0.117728406;1.30079523;mal
0.999901997;-1.663239601;2.835783749;-0.297246391;-0.063615565;1.466061616;mal
1.789342485;-1.612130505;3.126600444;-0.337791071;-0.005344599;1.589612325;mal
2.316638325;-1.769395951;3.191862285;-0.324924936;-0.003949073;1.531402711;mal
2.312738214;-1.978918747;3.126103439;-0.293884335;-0.001581775;1.413189623;mal
1.915781531;-2.125370494;3.037136828;-0.203328492;0.051304565;1.374773432;mal
1.196890072;-2.273787687;2.916877482;-0.039363069;0.12887923;1.360031842;mal
0.355146034;-2.345003106;2.749469773;0.154543991;0.230653033;1.39327271;mal
-0.386496118;-2.300949085;2.600063672;0.258933977;0.334910879;1.467491947;mal
-0.979039101;-2.004577926;2.462958957;0.396102331;0.43252493;1.594797012;mal
-1.537697726;-1.408462951;2.301398114;0.575347224;0.418668945;1.700425331;mal
-2.209020355;-0.659801387;1.996925901;0.698278209;0.364994254;1.751020263;mal
-2.468704659;0.065669107;1.546815252;0.781245858;0.329050618;1.798134423;mal
-2.189787798;0.607294676;0.997481087;0.792954717;0.300744028;1.842031492;mal
-1.84570244;1.046611758;0.417528841;0.786666258;0.239618549;1.891925874;mal
-1.951766999;1.703656739;-0.207645923;0.711104908;0.141889354;1.963548758;mal
-2.025247366;2.60842934;-0.951193012;0.553391488;0.036113606;2.033867361;mal
-1.329918747;3.523775652;-1.619069994;0.341726559;-0.069346827;2.132607167;mal
-0.148653189;4.459336384;-2.101798669;0.148248915;-0.14717123;2.245484243;mal
1.418458957;5.678026068;-2.298238214;0.015024137;-0.204805268;2.36860927;mal
3.727370549;6.824600222;-2.006024016;-0.087337456;-0.268003814;2.504944142;mal
6.520851692;7.418815474;-1.376672601;-0.168784235;-0.327202214;2.6621995;mal
9.138533611;7.32260893;-0.518797615;-0.20295031;-0.370856387;2.886153504;mal
11.00180871;6.755339989;0.609845535;-0.187616017;-0.452038123;3.18956697;mal
12.10400361;6.235727399;1.668160011;-0.19481788;-0.632254605;3.561502092;mal
12.85221536;5.999991403;2.262018747;-0.279986744;-0.82760901;3.994903275;mal
13.25047399;5.860227011;2.335905824;-0.433282937;-1.016367212;4.437317675;mal
13.07902368;5.624442207;1.774048697;-0.644815129;-1.238895974;4.853714714;mal
12.30379063;4.960455297;0.929526567;-0.890274502;-1.521540221;5.23703756;mal
11.28459762;4.163173877;0.152631448;-1.098721703;-1.833403179;5.655917357;mal
10.08637793;3.618396839;-0.391939878;-1.293103444;-2.186593779;6.108664466;mal
8.586906767;3.283650083;-0.704493788;-1.429184381;-2.602437865;6.505513113;mal
6.973067942;3.211683916;-0.865855352;-1.235932236;-2.965005907;6.851797984;mal
5.657843649;3.428431725;-0.938891181;-0.672368641;-3.234643197;7.244318333;mal
4.2377066;3.664117582;-1.111761509;-0.217101789;-3.316826728;7.624199709;mal
2.633427011;3.893634664;-1.316212757;0.012282382;-3.307305135;8.045185541;mal
0.898925513;4.003635441;-1.535325014;0.287330732;-3.425904656;8.524205598;mal
-0.833322906;4.12778863;-1.872241209;0.640008364;-3.699818119;8.997077379;mal
-2.40026223;4.314340821;-2.205260011;0.87314597;-3.970818505;9.399658129;mal
-3.814521076;4.286480865;-2.466861065;1.1429496;-4.082963648;9.735585295;mal
-5.045838769;4.056258735;-2.697889961;1.156043285;-4.007567548;10.15460931;mal
-5.904874487;3.754730837;-2.876226345;0.930533268;-3.7804231;10.74552803;mal
-6.378223017;3.453095119;-2.954099945;1.167206337;-3.657322145;11.46831675;mal
-6.592854631;3.154939101;-2.981277094;1.908832716;-3.8813552;12.21033926;mal
-6.59204548;2.959177759;-2.969552967;2.983866195;-4.334583238;12.88971885;mal
-6.513177981;2.871296339;-2.906484082;4.20642471;-4.812621185;13.62187635;mal
-6.495765169;2.742172934;-2.743346256;5.581158111;-4.999227923;14.73149707;mal
-6.562283084;2.451697393;-2.549986079;5.881364115;-4.65190155;16.09681;mal
-6.530528896;2.205831614;-2.306409262;5.098815452;-4.401878302;17.36117251;mal
-6.296079312;1.934994176;-2.131842207;4.545082612;-4.600976253;18.14984615;mal
-5.57128325;1.646407709;-2.043715641;4.031921673;-4.853385199;18.36146491;mal
-4.317325125;1.675615308;-2.008767221;2.974463409;-4.857516593;18.38828846;mal
-2.515214531;2.053852856;-1.810676095;1.630566563;-4.644211477;18.73744181;mal
-0.299829895;2.054723794;-1.340721021;1.109973066;-4.458451472;19.35357396;mal
1.721820022;1.411893511;-0.713405158;1.419225781;-4.352118775;19.8872776;mal
3.270904493;0.660096007;-0.041412812;1.601216588;-4.420838375;20.38480025;mal
4.131343261;0.246551525;0.59125685;1.5372906;-4.661125831;21.20880733;mal
4.290399168;-0.014663616;1.286893012;1.712282957;-4.978880595;22.18628678;mal
3.938248031;-0.221869107;1.991763561;3.013660909;-5.446593087;22.92369179;mal
3.489107876;-0.563185524;2.568775374;4.413583735;-6.051812309;23.43158931;mal
3.15715513;-0.942566556;2.860471215;5.453129254;-6.637138858;24.23274693;mal
2.984392901;-1.277844481;2.912699889;6.2687961;-6.938982219;25.54401436;mal
3.505633666;-1.214681808;2.88360294;6.98633811;-7.268292519;26.8303449;mal
4.332603383;-0.933244925;3.000024348;8.332326099;-7.322364859;27.99899918;mal
4.366700222;-0.797217693;3.324742928;9.50441966;-7.479153637;29.08037752;mal
3.671876983;-0.609766278;3.769762008;9.287633166;-7.146190406;30.20174965;mal
2.967409318;-0.692192235;4.13685208;8.432141218;-6.238733538;31.61166979;mal
2.262397726;-0.977386245;4.021409706;8.071170974;-5.844523341;32.93442489;mal
1.27803838;-1.193019246;3.537897171;7.598994569;-6.439435703;33.72828092;mal
1.344133389;-1.248457571;3.070186633;7.004067711;-7.238383146;34.21838234;mal
2.951130283;-1.34101492;2.829009595;6.940512805;-8.063596435;34.58261864;mal
4.451581253;-1.313702718;2.723626733;7.686167152;-8.541972498;35.73250701;mal
4.82887005;-1.259647698;2.702530283;9.219277323;-8.197941684;37.50188826;mal
4.584630837;-1.542655186;2.655609207;10.76212462;-8.202712757;39.06508158;mal
4.495245979;-1.992240433;2.536417637;11.42888041;-8.639093029;39.29534823;mal
4.654410483;-2.231030782;2.359875541;12.08995627;-8.851624828;38.9378901;mal
4.730919246;-2.266135164;2.152885691;13.46721973;-8.638151875;39.4526346;mal
4.639453966;-2.162980754;2.020001608;14.85625635;-8.362901776;40.28299906;mal
4.195913644;-1.992810704;1.945179978;15.35505267;-8.049207475;40.58218256;mal
3.388541043;-1.940224903;1.828692734;15.34484093;-7.879514601;41.24056685;mal
2.408972657;-1.950894676;1.644240821;15.53565558;-7.842396313;42.49954712;mal
1.519084637;-1.804627232;1.342331614;15.7486855;-7.919397229;43.06648173;mal
0.991701276;-1.529549307;0.984272989;15.36142377;-8.599050711;42.84977902;mal
0.896251303;-1.393778314;0.602802995;14.86111151;-8.879973151;42.66582843;mal
1.143510815;-1.316794786;0.304945923;13.52423598;-8.701660275;42.41443743;mal
1.430283749;-1.158602385;0.068126179;11.5698898;-8.469402157;41.77689899;mal
1.676488353;-1.000750638;-0.214266778;11.17337903;-8.399215149;40.98383076;mal
1.952883472;-0.89212629;-0.537397781;12.4513225;-8.290704045;40.90613047;mal
2.443774986;-0.907653356;-0.747686966;14.06269681;-7.95092863;41.43592316;mal
